PXD,SampleGroup,BaseAccession,IsDdr
PXD033146,pathological rotator cuff tendon,Q01995,FALSE
PXD033146,pathological rotator cuff tendon,Q02539,FALSE
PXD033146,pathological rotator cuff tendon,Q03135,FALSE
PXD033146,pathological rotator cuff tendon,Q03252,FALSE
PXD033146,pathological rotator cuff tendon,Q04637,FALSE
PXD033146,pathological rotator cuff tendon,Q04828,FALSE
PXD033146,pathological rotator cuff tendon,Q05639,FALSE
PXD033146,pathological rotator cuff tendon,Q05682,FALSE
PXD033146,pathological rotator cuff tendon,Q06730,FALSE
PXD033146,pathological rotator cuff tendon,Q06830,FALSE
PXD033146,pathological rotator cuff tendon,Q07065,FALSE
PXD033146,pathological rotator cuff tendon,Q08211,FALSE
PXD033146,pathological rotator cuff tendon,Q08426,FALSE
PXD033146,pathological rotator cuff tendon,Q08431,FALSE
PXD033146,pathological rotator cuff tendon,Q09666,FALSE
PXD033146,pathological rotator cuff tendon,Q0ZGT2,FALSE
PXD033146,pathological rotator cuff tendon,Q12805,FALSE
PXD033146,pathological rotator cuff tendon,Q12905,FALSE
PXD033146,pathological rotator cuff tendon,Q12906,FALSE
PXD033146,pathological rotator cuff tendon,Q13151,FALSE
PXD033146,pathological rotator cuff tendon,Q13177,FALSE
PXD033146,pathological rotator cuff tendon,Q13185,TRUE
PXD033146,pathological rotator cuff tendon,Q13228,FALSE
PXD033146,pathological rotator cuff tendon,Q13263,TRUE
PXD033146,pathological rotator cuff tendon,Q13442,FALSE
PXD033146,pathological rotator cuff tendon,Q13547,FALSE
PXD033146,pathological rotator cuff tendon,Q13564,FALSE
PXD033146,pathological rotator cuff tendon,Q13642,FALSE
PXD033146,pathological rotator cuff tendon,Q13813,FALSE
PXD033146,pathological rotator cuff tendon,Q14019,FALSE
PXD033146,pathological rotator cuff tendon,Q14103,FALSE
PXD033146,pathological rotator cuff tendon,Q14123,FALSE
PXD033146,pathological rotator cuff tendon,Q14155,FALSE
PXD033146,pathological rotator cuff tendon,Q14195,FALSE
PXD033146,pathological rotator cuff tendon,Q14247,FALSE
PXD033146,pathological rotator cuff tendon,Q14258,FALSE
PXD033146,pathological rotator cuff tendon,Q14568,FALSE
PXD033146,pathological rotator cuff tendon,Q14624,FALSE
PXD033146,pathological rotator cuff tendon,Q14644,FALSE
PXD033146,pathological rotator cuff tendon,Q14847,FALSE
PXD033146,pathological rotator cuff tendon,Q15019,FALSE
PXD033146,pathological rotator cuff tendon,Q15056,FALSE
PXD033146,pathological rotator cuff tendon,Q15063,FALSE
PXD033146,pathological rotator cuff tendon,Q15149,FALSE
PXD033146,pathological rotator cuff tendon,Q15185,FALSE
PXD033146,pathological rotator cuff tendon,Q15233,FALSE
PXD033146,pathological rotator cuff tendon,Q15287,FALSE
PXD033146,pathological rotator cuff tendon,Q15365,FALSE
PXD033146,pathological rotator cuff tendon,Q15366,FALSE
PXD033146,pathological rotator cuff tendon,Q15417,FALSE
PXD033146,pathological rotator cuff tendon,Q15582,FALSE
PXD033146,pathological rotator cuff tendon,Q15642,FALSE
PXD033146,pathological rotator cuff tendon,Q15691,FALSE
PXD033146,pathological rotator cuff tendon,Q15746,FALSE
PXD033146,pathological rotator cuff tendon,Q15843,FALSE
PXD033146,pathological rotator cuff tendon,Q15847,FALSE
PXD033146,pathological rotator cuff tendon,Q15942,FALSE
PXD033146,pathological rotator cuff tendon,Q16143,FALSE
PXD033146,pathological rotator cuff tendon,Q16204,FALSE
PXD033146,pathological rotator cuff tendon,Q16363,FALSE
PXD033146,pathological rotator cuff tendon,Q16473,FALSE
PXD033146,pathological rotator cuff tendon,Q16527,FALSE
PXD033146,pathological rotator cuff tendon,Q16531,TRUE
PXD033146,pathological rotator cuff tendon,Q16555,FALSE
PXD033146,pathological rotator cuff tendon,Q16695,FALSE
PXD033146,pathological rotator cuff tendon,Q16777,FALSE
PXD033146,pathological rotator cuff tendon,Q16778,FALSE
PXD033146,pathological rotator cuff tendon,Q494R4,FALSE
PXD033146,pathological rotator cuff tendon,Q53EL6,FALSE
PXD033146,pathological rotator cuff tendon,Q53GG5,FALSE
PXD033146,pathological rotator cuff tendon,Q562R1,FALSE
PXD033146,pathological rotator cuff tendon,Q58FF8,FALSE
PXD033146,pathological rotator cuff tendon,Q5H9R4,FALSE
PXD033146,pathological rotator cuff tendon,Q5QNW6,FALSE
PXD033146,pathological rotator cuff tendon,Q5SRI9,FALSE
PXD033146,pathological rotator cuff tendon,Q5T0N5,FALSE
PXD033146,pathological rotator cuff tendon,Q5TEC6,FALSE
PXD033146,pathological rotator cuff tendon,Q5VTE0,FALSE
PXD033146,pathological rotator cuff tendon,Q5VZY2,FALSE
PXD033146,pathological rotator cuff tendon,Q66K74,FALSE
PXD033146,pathological rotator cuff tendon,Q6DN03,FALSE
PXD033146,pathological rotator cuff tendon,Q6DRA6,FALSE
PXD033146,pathological rotator cuff tendon,Q6FI13,FALSE
PXD033146,pathological rotator cuff tendon,Q6NUK1,FALSE
PXD033146,pathological rotator cuff tendon,Q6NW34,FALSE
PXD033146,pathological rotator cuff tendon,Q6NXT2,FALSE
PXD033146,pathological rotator cuff tendon,Q6NZI2,FALSE
PXD033146,pathological rotator cuff tendon,Q6P996,FALSE
PXD033146,pathological rotator cuff tendon,Q6PEY2,FALSE
PXD033146,pathological rotator cuff tendon,Q6ZMU5,FALSE
PXD033146,pathological rotator cuff tendon,Q6ZRR7,FALSE
PXD033146,pathological rotator cuff tendon,Q70E73,FALSE
PXD033146,pathological rotator cuff tendon,Q70UQ0,FALSE
PXD033146,pathological rotator cuff tendon,Q71DI3,FALSE
PXD033146,pathological rotator cuff tendon,Q71U36,FALSE
PXD033146,pathological rotator cuff tendon,Q7L014,FALSE
PXD033146,pathological rotator cuff tendon,Q7L2Z9,FALSE
PXD033146,pathological rotator cuff tendon,Q7L576,FALSE
PXD033146,pathological rotator cuff tendon,Q7L5A3,FALSE
PXD033146,pathological rotator cuff tendon,Q7L7L0,TRUE
PXD033146,pathological rotator cuff tendon,Q7L9L4,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z333,TRUE
PXD033146,pathological rotator cuff tendon,Q7Z406,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z4V5,TRUE
PXD033146,pathological rotator cuff tendon,Q7Z570,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z5R6,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z6K5,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z7G0,FALSE
PXD033146,pathological rotator cuff tendon,Q7Z7K2,FALSE
PXD033146,pathological rotator cuff tendon,Q86SQ7,FALSE
PXD033146,pathological rotator cuff tendon,Q86VP1,FALSE
PXD033146,pathological rotator cuff tendon,Q86VS8,FALSE
PXD033146,pathological rotator cuff tendon,Q86W26,FALSE
PXD033146,pathological rotator cuff tendon,Q8IUE6,FALSE
PXD033146,pathological rotator cuff tendon,Q8IUL8,FALSE
PXD033146,pathological rotator cuff tendon,Q8IVF2,FALSE
PXD033146,pathological rotator cuff tendon,Q8N0X2,FALSE
PXD033146,pathological rotator cuff tendon,Q8N0Y7,FALSE
PXD033146,pathological rotator cuff tendon,Q8N205,FALSE
PXD033146,pathological rotator cuff tendon,Q8N257,FALSE
PXD033146,pathological rotator cuff tendon,Q8N6N2,FALSE
PXD033146,pathological rotator cuff tendon,Q8N8S7,FALSE
PXD033146,pathological rotator cuff tendon,Q8NBJ5,FALSE
PXD033146,pathological rotator cuff tendon,Q8NDQ6,FALSE
PXD033146,pathological rotator cuff tendon,Q8NEP3,FALSE
PXD033146,pathological rotator cuff tendon,Q8TBR7,FALSE
PXD033146,pathological rotator cuff tendon,Q8TBY0,FALSE
PXD033146,pathological rotator cuff tendon,Q8WXH0,FALSE
PXD033146,pathological rotator cuff tendon,Q8WZ42,FALSE
PXD033146,pathological rotator cuff tendon,Q92743,FALSE
PXD033146,pathological rotator cuff tendon,Q92785,FALSE
PXD033146,pathological rotator cuff tendon,Q92841,FALSE
PXD033146,pathological rotator cuff tendon,Q92945,FALSE
PXD033146,pathological rotator cuff tendon,Q92954,FALSE
