BaseAccession,GeneSymbolAudit,ProteinNameAudit,ReviewedStatus,GeneSymbolAuditSource,AnnotationMappingSource,In_normal_tissue,In_cancer_tissue,In_cancer_cells,In_normal_cells,Region
A0A024R2Y2,[no gene symbol in UniProt/source],Testicular tissue protein Li 201,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R324,RHOA,"Epididymis secretory sperm binding protein (Ras homolog gene family, member A, isoform CRA_a)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R374,[no gene symbol in UniProt/source],Cathepsin B (EC 3.4.22.1),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3B0,C11orf54,"Chromosome 11 open reading frame 54, isoform CRA_b (Epididymis secretory sperm binding protein)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3B9,CRYAB,Alpha-crystallin B chain (Alpha(B)-crystallin),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3E3,[no gene symbol in UniProt/source],Apolipoprotein A-I,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3F8,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3V4,PPIL3,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3X4,HSPD1,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (Heat shock protein 60) (Mitochondrial matrix protein P1)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3Y4,[no gene symbol in UniProt/source],CASP8 and FADD-like apoptosis regulator,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R3Y6,HEL-S-26,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R445,BCS1L,Mitochondrial chaperone BCS1 (BCS1-like protein),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R4A8,BOK,Bcl-2-related ovarian killer protein,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R4B2,STK25,Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R4E5,HDLBP,Vigilin (High density lipoprotein-binding protein),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
A0A024R4F1,HEL-S-17,phosphopyruvate hydratase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R4K3,[no gene symbol in UniProt/source],Malate dehydrogenase (EC 1.1.1.37),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R4M0,RPS9,40S ribosomal protein S9,source-only,Original Kla sample-level table; audit only,Original Kla sample-level table; audit only; UniProt ID not matched in 2026-08-06 snapshot,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
A0A024R4T4,UBE2M,NEDD8-conjugating enzyme UBC12 (EC 2.3.2.34) (NEDD8 carrier protein) (NEDD8-conjugating enzyme Ubc12) (Ubiquitin-conjugating enzyme E2 M),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R542,[no gene symbol in UniProt/source],Testis secretory sperm-binding protein Li 206a,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R549,BSCL2,Berardinelli-Seip congenital lipodystrophy 2 isoform 1,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R571,EHD1,EH domain-containing protein 1,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,TRUE,FALSE,normal_tissue_and_cancer_cells_only
A0A024R573,[no gene symbol in UniProt/source],Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R5F7,DHCR7,7-dehydrocholesterol reductase (7-DHC) (EC 1.3.1.21) (Sterol Delta(7)-reductase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R5J5,RAB6A,small monomeric GTPase (EC 3.6.5.2),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R5K5,ALG8,"Alpha-1,3-glucosyltransferase (EC 2.4.1.-)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R5Q7,ADSS,"Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R5Z7,ANXA2,Annexin,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R601,CLN6,Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 1,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R625,PPP4C,Serine/threonine-protein phosphatase (EC 3.1.3.16),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R640,AGPAT5,"1-acylglycerol-3-phosphate O-acyltransferase 5 (Lysophosphatidic acid acyltransferase, epsilon), isoform CRA_a (Testicular tissue protein Li 144)",non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R693,[no gene symbol in UniProt/source],Epididymis secretory sperm binding protein,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R694,ACTN1,F-actin cross-linking protein,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6A3,PSEN1,Presenilin (EC 3.4.23.-),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6C0,NPC2,NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6G3,[no gene symbol in UniProt/source],Fibulin-5,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6G4,[no gene symbol in UniProt/source],"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)",non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6I3,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6K5,[no gene symbol in UniProt/source],Ena/VASP-like protein (Ena/vasodilator-stimulated phosphoprotein-like),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6K8,[no gene symbol in UniProt/source],"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase)",non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6M6,BAG5,BAG family molecular chaperone regulator 5 (Bcl-2-associated athanogene 5),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R6U7,GPR56,Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R713,[no gene symbol in UniProt/source],Dihydrolipoyl dehydrogenase (EC 1.8.1.4),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R782,[no gene symbol in UniProt/source],Phosphoglycerate mutase (EC 5.4.2.11) (EC 5.4.2.4),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7B0,UBL5,Ubiquitin-like protein 5,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7G2,RAB3D,Ras-related protein Rab-3,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7H5,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7I7,[no gene symbol in UniProt/source],Ras-related protein Rab-3,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7L5,UPF1,Regulator of nonsense transcripts 1 (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (Up-frameshift suppressor 1 homolog),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7N1,[unmapped],[unmapped],unmapped,No matching human UniProt annotation; audit only,No matching human UniProt annotation; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R7W5,YTHDF3,YTH domain-containing family protein,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,FALSE,FALSE,TRUE,FALSE,cancer_cells_only
A0A024R7W9,COPS5,COP9 signalosome complex subunit 5 (Jun activation domain-binding protein 1),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R811,[no gene symbol in UniProt/source],Endoribonuclease LACTB2 (Beta-lactamase-like protein 2),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R861,PPP6C,Serine/threonine-protein phosphatase (EC 3.1.3.16),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R897,ARPC5L,Actin-related protein 2/3 complex subunit 5,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8A0,RABEPK,Rab9 effector protein with kelch motifs,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8C8,[no gene symbol in UniProt/source],TBC1 domain family member 13,non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8F9,[no gene symbol in UniProt/source],1-acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8G3,[no gene symbol in UniProt/source],Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8S5,[no gene symbol in UniProt/source],Protein disulfide-isomerase (EC 5.3.4.1),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R8Z4,FMO3,Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (Hepatic flavin-containing monooxygenase 3) (Trimethylamine monooxygenase),non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R971,[no gene symbol in UniProt/source],Fibromodulin (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R9B7,[no gene symbol in UniProt/source],Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc),non-reviewed,UniProt protein name only; no gene symbol in UniProt/source,UniProtKB Homo sapiens non-reviewed protein name only; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
A0A024R9I0,ATP6V1C1,V-type proton ATPase subunit C,non-reviewed,UniProt UniProt primary gene name,UniProtKB Homo sapiens non-reviewed UniProt primary gene name; audit only,TRUE,FALSE,FALSE,FALSE,normal_tissue_only
