PXD,SampleGroup,ReferencePXD,SourceProteinID,IdentifierType,MappedBaseAccessions,IsDdr
PXD033146,pathological rotator cuff tendon,PXD033146,C9JLJ4,UniProtKB,C9JLJ4,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,C9JPN9,UniProtKB,C9JPN9,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,C9JVI0,UniProtKB,C9JVI0,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6R901,UniProtKB,D6R901,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6R9N7,UniProtKB,D6R9N7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6RA61,UniProtKB,D6RA61,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6RBQ6,UniProtKB,D6RBQ6,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6RCP7,UniProtKB,D6RCP7,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,D6RJB6,UniProtKB,D6RJB6,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,E9PAV3,UniProtKB,E9PAV3,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,L0R819,UniProtKB,L0R819,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00116,UniProtKB,O00116,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00142,UniProtKB,O00142,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00151,UniProtKB,O00151,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00154,UniProtKB,O00154,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00159,UniProtKB,O00159,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00161,UniProtKB,O00161,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00170,UniProtKB,O00170,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00178,UniProtKB,O00178,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00186,UniProtKB,O00186,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00193,UniProtKB,O00193,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00203,UniProtKB,O00203,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00214,UniProtKB,O00214,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00217,UniProtKB,O00217,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00231,UniProtKB,O00231,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00232,UniProtKB,O00232,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00233,UniProtKB,O00233,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00244,UniProtKB,O00244,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00264,UniProtKB,O00264,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00273,UniProtKB,O00273,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00291,UniProtKB,O00291,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00299,UniProtKB,O00299,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00300,UniProtKB,O00300,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00303,UniProtKB,O00303,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00330,UniProtKB,O00330,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00339,UniProtKB,O00339,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00391,UniProtKB,O00391,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00399,UniProtKB,O00399,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00410,UniProtKB,O00410,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00422,UniProtKB,O00422,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00423,UniProtKB,O00423,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00429,UniProtKB,O00429,FALSE
PXD033146,pathological rotator cuff tendon,PXD033146,O00461,UniProtKB,O00461,FALSE
