PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD046800,hypertrophic scar,Q9UQL6,HDAC5,0,0,4,0,,"",""
PXD046800,hypertrophic scar,Q9Y232,CDYL,0,0,4,0,,"",""
PXD046800,hypertrophic scar,Q9Y6E7,SIRT4,0,0,4,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,O14929,HAT1,80.3629515493922,9,9,1,30.5567294503756,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,O15379,HDAC3,26.4350195878045,9,9,1,26.2753317092366,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,O60885,BRD4,71.3166411173565,9,9,1,29.6691877383067,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,O75607,NPM3,75.7241379310345,9,9,1,30.066636516385,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,O95251,KAT7,25.8430774445009,9,9,1,26.2516560724529,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P05783,KRT18,99.8614718614719,9,9,1,36.4298100858514,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P41227,NAA10,72.8117607299763,9,9,1,29.8061042889286,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P42568,MLLT3,12.4327140128495,7,9,0.777777777777778,25.1930242014984,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P49588,AARS1,93.6163045309079,9,9,1,32.4400566464773,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P51532,SMARCA4,89.0429720938196,9,9,1,31.6434505981063,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,P56524,HDAC4,13.2004769204565,9,9,1,25.0931741732162,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q09472,EP300,1.54083204930663,5,9,0.555555555555556,23.7355189421598,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q13547,HDAC1,64.716096544539,9,9,1,29.1031457149771,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q56NI9,ESCO2,2.56896551724138,6,9,0.666666666666667,23.916506043061,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q5JTZ9,AARS2,60.7099567099567,9,9,1,28.6789559723339,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q5SQI0,ATAT1,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q8IXJ6,SIRT2,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q8N6T7,SIRT6,15.9175397093613,9,9,1,25.3765668893057,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q8WUI4,HDAC7,43.2130147432639,9,9,1,27.5434048922942,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q8WYB5,KAT6B,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92769,HDAC2,85.8793103448276,9,9,1,31.1579205488108,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92785,DPF2,55.9204985683005,9,9,1,28.5028661556218,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92793,CREBBP,37.1592290328182,8,9,0.888888888888889,27.1737071598934,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92794,KAT6A,0,0,9,0,,"",""
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92830,KAT2A,0,3,9,0.333333333333333,23.6138048613924,ordinary MaxQuant protein intensity; no PTM enrichment,data/PXD050147/search_results/SIRT_proteinGroups.txt
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,Q92831,KAT2B,0,0,9,0,,"",""
