ReferenceKey,Model,ReferenceKey,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
GSE114691_control_placenta,ME,GSE114691_control_placenta,1,228,8,0.0350877192982456,0.380807206502197,0.345719487203952,0.345719487203952
sperm_GroupI,ME,sperm_GroupI,1,276,5,0.0181159420289855,0.363003505202974,0.344887563173989,0.344887563173989
GSE132714_BPH,ME,GSE132714_BPH,1,280,128,0.457142857142857,0.39141054631188,-0.0657323108309771,0.0657323108309771
TCGA_PRAD_primary,ME,TCGA_PRAD_primary,1,281,129,0.459074733096086,0.385787713509219,-0.0732870195868661,0.0732870195868661
TCGA_LIHC_normal,ME,TCGA_LIHC_normal,1,134,69,0.514925373134328,0.350452749234513,-0.164472623899815,0.164472623899815
TCGA_LIHC_primary,ME,TCGA_LIHC_primary,1,186,88,0.473118279569893,0.365596109475396,-0.107522170094496,0.107522170094496
TCGA_ESCA_ESCC,ME,TCGA_ESCA_ESCC,1,288,82,0.284722222222222,0.403287546700429,0.118565324478207,0.118565324478207
MCF7_DMSO7d,ME,MCF7_DMSO7d,1,167,87,0.520958083832335,0.42295695205798,-0.098001131774355,0.098001131774355
MDAMB468_DMSO7d,ME,MDAMB468_DMSO7d,1,175,106,0.605714285714286,0.423304489109089,-0.182409796605197,0.182409796605197
GSE283812_T47D_vehicle,ME,GSE283812_T47D_vehicle,1,180,103,0.572222222222222,0.442878193277432,-0.12934402894479,0.12934402894479
GSE103520_MCF10A_control,ME,GSE103520_MCF10A_control,1,155,62,0.4,0.329716034942851,-0.0702839650571489,0.0702839650571489
HCT116_control,ME,HCT116_control,3,733,303,0.413369713506139,0.460325545626891,0.0469558321207515,0.0469558321207515
GSE163787_TALL104,ME,GSE163787_TALL104,1,192,34,0.177083333333333,0.473097356949515,0.296014023616181,0.296014023616181
GSE203529_HEK293T_WT,ME,GSE203529_HEK293T_WT,1,268,38,0.141791044776119,0.469656927349067,0.327865882572948,0.327865882572948
HepG2_DMSO24h,ME,HepG2_DMSO24h,1,303,228,0.752475247524752,0.281941169938601,-0.470534077586151,0.470534077586151
GSE171750_A549_untreated,ME,GSE171750_A549_untreated,1,175,86,0.491428571428572,0.436498800289518,-0.0549297711390538,0.0549297711390538
PC3M_DMSO,ME,PC3M_DMSO,1,177,28,0.15819209039548,0.445015690017598,0.286823599622117,0.286823599622117
GSE266884_MES28_vector_control,ME,GSE266884_MES28_vector_control,1,320,220,0.6875,0.385153954704355,-0.302346045295645,0.302346045295645
GSE119834_NSC,ME,GSE119834_NSC,1,307,164,0.534201954397394,0.301176453249499,-0.233025501147895,0.233025501147895
RKO_DMSO,ME,RKO_DMSO,1,193,90,0.466321243523316,0.431902569524633,-0.034418673998683,0.034418673998683
GSE275256_HMC3_vehicle,ME,GSE275256_HMC3_vehicle,1,287,141,0.491289198606272,0.433620062596762,-0.0576691360095096,0.0576691360095096
HK2_untreated,ME,HK2_untreated,2,432,230,0.532407407407407,0.424559178348278,-0.10784822905913,0.10784822905913
HUVEC_untreated,ME,HUVEC_untreated,1,323,172,0.532507739938081,0.393004094602597,-0.139503645335484,0.139503645335484
tendon_nondiabetic,ME2,tendon_nondiabetic,1,112,22,0.196428571428571,0.381634658854686,0.185206087426115,0.185206087426115
GTEx_v8_Lung,ME2,GTEx_v8_Lung,1,280,21,0.075,0.373124093702166,0.298124093702166,0.298124093702166
GSE181540_HS_input,ME2,GSE181540_HS_input,1,70,14,0.2,0.467278594720722,0.267278594720722,0.267278594720722
GSE181540_adjacent_NS_input,ME2,GSE181540_adjacent_NS_input,1,76,25,0.328947368421053,0.44985167276541,0.120904304344358,0.120904304344358
GTEx_v8_Hippocampus,ME2,GTEx_v8_Hippocampus,1,146,25,0.171232876712329,0.363093304675468,0.191860427963139,0.191860427963139
GSE114691_control_placenta,ME2,GSE114691_control_placenta,1,228,8,0.0350877192982456,0.391171484493869,0.356083765195623,0.356083765195623
sperm_GroupI,ME2,sperm_GroupI,1,276,5,0.0181159420289855,0.503657648814312,0.485541706785326,0.485541706785326
GSE132714_BPH,ME2,GSE132714_BPH,1,280,128,0.457142857142857,0.37702909768331,-0.0801137594595473,0.0801137594595473
TCGA_PRAD_primary,ME2,TCGA_PRAD_primary,1,281,129,0.459074733096086,0.408511043129654,-0.0505636899664319,0.0505636899664319
TCGA_LIHC_normal,ME2,TCGA_LIHC_normal,1,134,69,0.514925373134328,0.358422850124691,-0.156502523009637,0.156502523009637
TCGA_LIHC_primary,ME2,TCGA_LIHC_primary,1,186,88,0.473118279569893,0.380907516016481,-0.0922107635534116,0.0922107635534116
TCGA_ESCA_ESCC,ME2,TCGA_ESCA_ESCC,1,288,82,0.284722222222222,0.403950856336094,0.119228634113871,0.119228634113871
MCF7_DMSO7d,ME2,MCF7_DMSO7d,1,167,87,0.520958083832335,0.485914404398235,-0.0350436794341008,0.0350436794341008
MDAMB468_DMSO7d,ME2,MDAMB468_DMSO7d,1,175,106,0.605714285714286,0.445886754070948,-0.159827531643338,0.159827531643338
GSE283812_T47D_vehicle,ME2,GSE283812_T47D_vehicle,1,180,103,0.572222222222222,0.494028366470385,-0.0781938557518374,0.0781938557518374
GSE103520_MCF10A_control,ME2,GSE103520_MCF10A_control,1,155,62,0.4,0.340272951722744,-0.0597270482772559,0.0597270482772559
HCT116_control,ME2,HCT116_control,3,733,303,0.413369713506139,0.462936356229846,0.0495666427237063,0.0495666427237063
GSE163787_TALL104,ME2,GSE163787_TALL104,1,192,34,0.177083333333333,0.4865602761201,0.309476942786767,0.309476942786767
GSE203529_HEK293T_WT,ME2,GSE203529_HEK293T_WT,1,268,38,0.141791044776119,0.414862701014712,0.273071656238593,0.273071656238593
HepG2_DMSO24h,ME2,HepG2_DMSO24h,1,303,228,0.752475247524752,0.289140471216889,-0.463334776307864,0.463334776307864
GSE171750_A549_untreated,ME2,GSE171750_A549_untreated,1,175,86,0.491428571428572,0.3727915041851,-0.118637067243472,0.118637067243472
