GroupID,Model,GroupID,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_06,ME2,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.391171484493869,0.356083765195623,0.356083765195623
KLA31_07,ME2,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.503657648814312,0.485541706785326,0.485541706785326
KLA31_08,ME2,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.37702909768331,-0.0801137594595473,0.0801137594595473
KLA31_11,ME2,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.408511043129654,-0.0505636899664319,0.0505636899664319
KLA31_09,ME2,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.358422850124691,-0.156502523009637,0.156502523009637
KLA31_12,ME2,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.380907516016481,-0.0922107635534116,0.0922107635534116
KLA31_10,ME2,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.403950856336094,0.119228634113871,0.119228634113871
KLA31_13,ME2,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.485914404398235,-0.0350436794341008,0.0350436794341008
KLA31_20,ME2,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.445886754070948,-0.159827531643338,0.159827531643338
KLA31_21,ME2,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.494028366470385,-0.0781938557518374,0.0781938557518374
KLA31_29,ME2,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.340272951722744,-0.0597270482772559,0.0597270482772559
KLA31_14,ME2,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.476010611656553,0.344303294583382,0.344303294583382
KLA31_15,ME2,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.476010611656553,0.222352075071187,0.222352075071187
KLA31_16,ME2,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.446340552127833,-0.247157899884551,0.247157899884551
KLA31_17,ME2,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.4865602761201,0.309476942786767,0.309476942786767
KLA31_25,ME2,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.414862701014712,0.273071656238593,0.273071656238593
KLA31_18,ME2,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.289140471216889,-0.463334776307864,0.463334776307864
KLA31_19,ME2,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.3727915041851,-0.118637067243472,0.118637067243472
KLA31_22,ME2,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.416414591491646,0.258222501096166,0.258222501096166
KLA31_23,ME2,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.339528226958133,-0.347971773041867,0.347971773041867
KLA31_30,ME2,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.320300994545377,-0.213900959852018,0.213900959852018
KLA31_24,ME2,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.440751275798017,-0.025569967725299,0.025569967725299
KLA31_26,ME2,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.431339289757905,-0.0599499088483664,0.0599499088483664
KLA31_27,ME2,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.327403337649157,-0.325374440128621,0.325374440128621
KLA31_28,ME2,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.327403337649157,-0.0846336993878803,0.0846336993878803
KLA31_31,ME2,KLA31_31,HUVEC_untreated,19,323,172,0.532507739938081,0.378287684533745,-0.154220055404335,0.154220055404335
KLA31_01,ME2P,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.417280264720485,0.220851693291913,0.220851693291913
KLA31_02,ME2P,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.373850455787447,0.298850455787447,0.298850455787447
KLA31_03,ME2P,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.501703749083215,0.301703749083215,0.301703749083215
KLA31_04,ME2P,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.481159507595557,0.152212139174504,0.152212139174504
KLA31_05,ME2P,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.401009196865474,0.229776320153145,0.229776320153145
KLA31_06,ME2P,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.398809059634025,0.363721340335779,0.363721340335779
KLA31_07,ME2P,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.503872374878276,0.48575643284929,0.48575643284929
KLA31_08,ME2P,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.369663414566604,-0.0874794425762532,0.0874794425762532
KLA31_11,ME2P,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.391950849504884,-0.0671238835912015,0.0671238835912015
KLA31_09,ME2P,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.389086381595295,-0.125838991539034,0.125838991539034
KLA31_12,ME2P,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.396240826163513,-0.0768774534063793,0.0768774534063793
KLA31_10,ME2P,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.400069662870966,0.115347440648744,0.115347440648744
KLA31_13,ME2P,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.470663700919095,-0.05029438291324,0.05029438291324
KLA31_20,ME2P,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.435534838910178,-0.170179446804108,0.170179446804108
KLA31_21,ME2P,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.465363974853456,-0.106858247368766,0.106858247368766
KLA31_29,ME2P,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.36532423033455,-0.0346757696654502,0.0346757696654502
KLA31_14,ME2P,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.476018630685475,0.344311313612304,0.344311313612304
KLA31_15,ME2P,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.476018630685475,0.222360094100109,0.222360094100109
KLA31_16,ME2P,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.415527563130513,-0.277970888881871,0.277970888881871
KLA31_17,ME2P,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.481888984361837,0.304805651028504,0.304805651028504
KLA31_25,ME2P,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.42309622286283,0.28130517808671,0.28130517808671
KLA31_18,ME2P,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.281911290895006,-0.470563956629746,0.470563956629746
KLA31_19,ME2P,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.39107060138641,-0.100357970042162,0.100357970042162
KLA31_22,ME2P,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.427906427626813,0.269714337231332,0.269714337231332
KLA31_23,ME2P,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.322363386735987,-0.365136613264013,0.365136613264013
KLA31_30,ME2P,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.332857030750998,-0.201344923646396,0.201344923646396
KLA31_24,ME2P,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.430583028131985,-0.0357382153913312,0.0357382153913312
KLA31_26,ME2P,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.402587300728754,-0.0887018978775174,0.0887018978775174
KLA31_27,ME2P,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.322589593542258,-0.33018818423552,0.33018818423552
KLA31_28,ME2P,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.322589593542258,-0.0894474434947795,0.0894474434947795
KLA31_31,ME2P,KLA31_31,HUVEC_untreated,19,323,172,0.532507739938081,0.367713870501129,-0.164793869436952,0.164793869436952
KLA31_01,XEN,KLA31_01,tendon_nondiabetic,1,112,22,0.196428571428571,0.374591255012972,0.1781626835844,0.1781626835844
KLA31_02,XEN,KLA31_02,GTEx_v8_Lung,2,280,21,0.075,0.36479868852474,0.28979868852474,0.28979868852474
KLA31_03,XEN,KLA31_03,GSE181540_HS_input,3,70,14,0.2,0.456779537582728,0.256779537582728,0.256779537582728
KLA31_04,XEN,KLA31_04,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.446784684642982,0.11783731622193,0.11783731622193
KLA31_05,XEN,KLA31_05,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.354674154599401,0.183441277887072,0.183441277887072
KLA31_06,XEN,KLA31_06,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.385711790647918,0.350624071349672,0.350624071349672
KLA31_07,XEN,KLA31_07,sperm_GroupI,6,276,5,0.0181159420289855,0.624250905832426,0.60613496380344,0.60613496380344
KLA31_08,XEN,KLA31_08,GSE132714_BPH,7,280,128,0.457142857142857,0.367585028039085,-0.089557829103772,0.089557829103772
KLA31_11,XEN,KLA31_11,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.399261725681665,-0.0598130074144209,0.0598130074144209
KLA31_09,XEN,KLA31_09,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.352087781533598,-0.16283759160073,0.16283759160073
KLA31_12,XEN,KLA31_12,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.374065035015548,-0.0990532445543444,0.0990532445543444
KLA31_10,XEN,KLA31_10,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.396349157654,0.111626935431778,0.111626935431778
KLA31_13,XEN,KLA31_13,MCF7_DMSO7d,10,167,87,0.520958083832335,0.441900320891321,-0.079057762941014,0.079057762941014
KLA31_20,XEN,KLA31_20,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.427821577416863,-0.177892708297423,0.177892708297423
KLA31_21,XEN,KLA31_21,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.453437573603342,-0.11878464861888,0.11878464861888
KLA31_29,XEN,KLA31_29,GSE103520_MCF10A_control,10,155,62,0.4,0.34232242551899,-0.0576775744810105,0.0576775744810105
KLA31_14,XEN,KLA31_14,HCT116_control,11,205,27,0.131707317073171,0.468742282373846,0.337034965300675,0.337034965300675
KLA31_15,XEN,KLA31_15,HCT116_control,11,205,52,0.253658536585366,0.468742282373846,0.21508374578848,0.21508374578848
KLA31_16,XEN,KLA31_16,HCT116_control,11,323,224,0.693498452012384,0.435725317996906,-0.257773134015478,0.257773134015478
KLA31_17,XEN,KLA31_17,GSE163787_TALL104,11,192,34,0.177083333333333,0.470053657915999,0.292970324582665,0.292970324582665
KLA31_25,XEN,KLA31_25,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.46504685191313,0.323255807137011,0.323255807137011
KLA31_18,XEN,KLA31_18,HepG2_DMSO24h,12,303,228,0.752475247524752,0.24967921296684,-0.502796034557912,0.502796034557912
KLA31_19,XEN,KLA31_19,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.389218238300268,-0.102210333128303,0.102210333128303
KLA31_22,XEN,KLA31_22,PC3M_DMSO,14,177,28,0.15819209039548,0.425615234837795,0.267423144442315,0.267423144442315
KLA31_23,XEN,KLA31_23,GSE266884_MES28_vector_control,15,320,220,0.6875,0.335969828016429,-0.351530171983571,0.351530171983571
KLA31_30,XEN,KLA31_30,GSE119834_NSC,15,307,164,0.534201954397394,0.322027712361984,-0.212174242035411,0.212174242035411
KLA31_24,XEN,KLA31_24,RKO_DMSO,16,193,90,0.466321243523316,0.434972058966216,-0.0313491845571004,0.0313491845571004
KLA31_26,XEN,KLA31_26,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.43002151408641,-0.0612676845198617,0.0612676845198617
KLA31_27,XEN,KLA31_27,HK2_untreated,18,216,141,0.652777777777778,0.341358952407597,-0.311418825370181,0.311418825370181
KLA31_28,XEN,KLA31_28,HK2_untreated,18,216,89,0.412037037037037,0.341358952407597,-0.0706780846294401,0.0706780846294401
