"TimestampUTC"	"TaskID"	"Source"	"Accession"	"GroupIDs"	"SelectedSamples"	"SourceURL"	"RelativeTarget"	"State"	"Bytes"	"SHA256"	"Detail"
"2026-09-14 06:24:43 UTC"	"GEO_GSE203529"	"GEO"	"GSE203529"	"KLA31_25"	"GSM6175912"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203529/matrix/GSE203529_series_matrix.txt.gz"	"geo/GSE203529/metadata/GSE203529_series_matrix.txt.gz"	"complete"	"2938"	"8ded86845e1354908f5f60b4797831d979394c4e0c33291f9399dddd4438207a"	"downloaded with wget continuation support"
"2026-09-14 06:24:45 UTC"	"GEO_GSE203529"	"GEO"	"GSE203529"	"KLA31_25"	"GSM6175912"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203529/suppl/"	"geo/GSE203529/supplement_listing"	"listed_no_whitelisted_matrix"	""	""	"No txt/tsv/csv/gct/xlsx/xls/rds matrix-like GEO supplement was listed; raw-read resolution remains a separate queue."
"2026-09-14 06:25:47 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/soft/GSE236746_family.soft.gz"	"geo/GSE236746/metadata/GSE236746_family.soft.gz"	"complete"	"2847"	"a48461581b4baffea6d4851f517b895fac05151b3de6eb75c739e8e98f456510"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:25:47 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/matrix/GSE236746_series_matrix.txt.gz"	"geo/GSE236746/metadata/GSE236746_series_matrix.txt.gz"	"complete"	"2712"	"ae366878878cd78d57af82573bc074e7a59948007699938d075a82f020e0f597"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:26:09 UTC"	"GEO_GSE236746"	"GEO"	"GSE236746"	"KLA31_01"	"GSM7574837;GSM7574838;GSM7574839"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236746/suppl/GSE236746_mRNA.FPKM.txt.gz"	"geo/GSE236746/supplement/GSE236746_mRNA.FPKM.txt.gz"	"complete"	"2896801"	"f82dd152c5a8dee7033cfeb0156f845c9c1dd790e5deda102c1c4bb6c1ecd42d"	"downloaded with wget continuation support"
"2026-09-14 06:26:09 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/soft/GSE181540_family.soft.gz"	"geo/GSE181540/metadata/GSE181540_family.soft.gz"	"complete"	"3517"	"7af74fbc1922cc4a82a1a81f64dbac3108dadb3673d9e5c2ab2030927244e5c4"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:26:09 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/matrix/GSE181540_series_matrix.txt.gz"	"geo/GSE181540/metadata/GSE181540_series_matrix.txt.gz"	"complete"	"3470"	"076d5714be9e07f835bf98125430e362dd87a5a64197353b7c45302ea3b6234e"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
"2026-09-14 06:26:29 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/suppl/GSE181540_Methylated_RNA_sites.mRNA.xlsx"	"geo/GSE181540/supplement/GSE181540_Methylated_RNA_sites.mRNA.xlsx"	"complete"	"9995240"	"ad33ef78e6f46b1fff64eb8c66dc7834fad37c4ef48c0c4a65b668648a8f5ca0"	"downloaded with wget continuation support"
"2026-09-14 06:26:39 UTC"	"GEO_GSE181540"	"GEO"	"GSE181540"	"KLA31_03;KLA31_04"	"GSM5505079;GSM5505081;GSM5505083;GSM5505085;GSM5505087;GSM5505089"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181540/suppl/GSE181540_mRNA_Expression_Profiling.xlsx"	"geo/GSE181540/supplement/GSE181540_mRNA_Expression_Profiling.xlsx"	"complete"	"6670911"	"a149669b350e166881624c275ef049070f2baab4467cacb4f100adcf0df71b50"	"downloaded with wget continuation support"
"2026-09-14 06:26:39 UTC"	"GEO_GSE114691"	"GEO"	"GSE114691"	"KLA31_06"	"GSM3147325-GSM3147345"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114691/soft/GSE114691_family.soft.gz"	"geo/GSE114691/metadata/GSE114691_family.soft.gz"	"complete"	"5262"	"167fe4713530f5866e9b07ce2cc5d265525301d2f6f37765321ad4f1f8a8b546"	"already present; gzip integrity confirmed where applicable; SHA256 recalculated"
