EnsemblProteinID	MappingSource	MappingDate
ENSP00000313046	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000313967	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000315243	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000315295	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000316240	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000317020	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000317788	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000318674	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000319254	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000319279	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000320239	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000322219	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000325038	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000325307	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000325431	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000326199	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000326371	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000326746	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000327313	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000327442	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000327716	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000327867	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000328003	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000328332	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000328464	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000328690	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000329117	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000329124	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000329178	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000331514	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000331748	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000332180	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000332643	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000333064	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000333188	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000333751	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000333986	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000334163	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000334836	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000335294	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000335311	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000336524	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000336616	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000336744	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000337239	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000338173	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000338857	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340438	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340784	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340817	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340888	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000340937	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342181	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342300	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342305	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342750	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342785	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342830	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000342966	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000343344	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000343421	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000343728	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000344196	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000344871	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000344894	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000344958	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000344996	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000345030	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
