Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
GO6_ridge,0.1,10.6572054952317,5
RNA128_knn,3,12.8807313719859,5
Core4_huber,0.01,7.26324373651871,6
GO6_huber,0.01,7.47753374475797,6
All16_ridge,10,8.22636243039372,6
GO6_ridge,3,8.24055166549821,6
Mechanism10_ridge,10,8.38827995963747,6
Core4_ridge,3,8.42333419106892,6
Core4_huber,0.03,8.44383837319204,6
Mechanism10_ridge,0.1,8.50978874549385,6
All16_ridge,3,8.66643406555263,6
GO6_huber,0.03,8.7448669914867,6
Mechanism10_ridge,30,8.75130363016681,6
Core4_ridge,10,8.84530016443135,6
Core4_ridge,1,8.89966017610729,6
All16_ridge,30,8.93087578372439,6
Mechanism10_ridge,3,8.93759443913262,6
GO6_ridge,1,8.94397784926869,6
GO6_ridge,10,8.94466906523903,6
Mechanism10_ridge,0.3,9.05040501915443,6
Mechanism10_ridge,100,9.188275238566,6
Mechanism10_ridge,1,9.20517527534255,6
GO6_knn,7,9.20879948464372,6
Core4_ridge,30,9.22425395230873,6
All16_ridge,100,9.26018980676078,6
GO6_ridge,30,9.28252879473423,6
Core4_ridge,100,9.36344640275095,6
GO6_ridge,100,9.38614985329403,6
Core4_huber,0.1,9.41210478653673,6
MedianBaseline,0,9.43408859177761,6
All16_ridge,1,9.43410332841134,6
All16_ridge,0.1,9.4539693974176,6
GO6_huber,0.1,9.54172003049332,6
GO6_knn,5,9.63084461596889,6
Core4_huber,0.3,9.6576828074104,6
GO6_huber,0.3,9.70397377994187,6
Core4_huber,1,9.73565333588057,6
Core4_ridge,0.3,9.74931198840326,6
GO6_huber,1,9.75000966602767,6
All16_ridge,0.3,9.88834218492165,6
GO6_knn,3,10.1079713259935,6
RNA128_knn,7,10.433395797439,6
Core4_ridge,0.1,10.5216774873458,6
RNA128_knn,5,10.6569012196842,6
BalancedMedianBaseline,0,11.0806680848918,6
GO6_ridge,0.3,11.3779812420255,6
RNA128_knn,3,12.881309816443,6
GO6_ridge,0.1,13.7438805878877,6
Core4_huber,0.01,8.83833276872032,7
Mechanism10_ridge,100,8.96537973603517,7
MedianBaseline,0,8.97430725631377,7
All16_ridge,100,8.98351448462638,7
Core4_ridge,100,8.98940026786375,7
GO6_ridge,100,9.0129391236907,7
GO6_knn,5,9.02323568031196,7
Mechanism10_ridge,30,9.03327231145878,7
All16_ridge,30,9.07771581833274,7
Core4_ridge,30,9.08305936357699,7
Mechanism10_ridge,10,9.14042108974155,7
GO6_ridge,30,9.14630638168659,7
Core4_ridge,10,9.18808459740892,7
All16_ridge,10,9.22177281796129,7
Core4_ridge,3,9.25573286923627,7
Core4_huber,1,9.30375494219055,7
GO6_huber,1,9.31614314750496,7
GO6_ridge,10,9.32762472432248,7
Core4_huber,0.3,9.35162714277658,7
Core4_huber,0.03,9.38071779320006,7
Core4_ridge,1,9.38730853839583,7
GO6_huber,0.3,9.39179839152229,7
GO6_knn,7,9.44404259128429,7
Core4_huber,0.1,9.44811851781841,7
Mechanism10_ridge,3,9.46514951030174,7
All16_ridge,3,9.55334557518853,7
GO6_huber,0.01,9.55498080144294,7
GO6_ridge,3,9.55798603549051,7
GO6_huber,0.1,9.5597254437129,7
GO6_huber,0.03,9.70642122883123,7
Mechanism10_ridge,1,9.74670974909357,7
Core4_ridge,0.3,9.7642875476158,7
GO6_ridge,1,9.96534659621336,7
Mechanism10_ridge,0.3,10.0619363868477,7
GO6_knn,3,10.1569091256542,7
All16_ridge,1,10.18920848546,7
RNA128_knn,5,10.1995179985153,7
Mechanism10_ridge,0.1,10.2205445731775,7
Core4_ridge,0.1,10.2651545025157,7
RNA128_knn,7,10.3387025725067,7
BalancedMedianBaseline,0,10.620886749428,7
GO6_ridge,0.3,10.9452509214899,7
All16_ridge,0.3,11.5676327179163,7
GO6_ridge,0.1,12.1983999015866,7
RNA128_knn,3,12.607330688161,7
All16_ridge,0.1,13.4164379721854,7
Mechanism10_ridge,30,8.70058749689295,8
All16_ridge,10,8.83763370321384,8
BalancedMedianBaseline,0,8.89237966187649,8
All16_ridge,30,8.96750920856361,8
Mechanism10_ridge,10,9.03926213855231,8
Mechanism10_ridge,100,9.13323453278445,8
All16_ridge,100,9.23690469267392,8
GO6_huber,1,9.40438807707326,8
Core4_huber,1,9.41236295115956,8
GO6_ridge,100,9.41650331210674,8
Core4_ridge,100,9.43084102308087,8
GO6_huber,0.3,9.45194544769112,8
GO6_ridge,30,9.47131291106371,8
Core4_huber,0.3,9.47605513880783,8
Core4_huber,0.01,9.49846179427623,8
Core4_ridge,30,9.51080356208377,8
GO6_ridge,10,9.52048085721276,8
GO6_ridge,3,9.55072107443894,8
GO6_huber,0.1,9.56106813455106,8
GO6_huber,0.01,9.56272947638574,8
Core4_ridge,10,9.59818484311472,8
Core4_huber,0.1,9.61924829427477,8
Core4_ridge,3,9.65647223220148,8
GO6_huber,0.03,9.69482825447099,8
MedianBaseline,0,9.72294901081641,8
Core4_huber,0.03,9.80142501288301,8
Core4_ridge,1,10.0069642639284,8
GO6_ridge,1,10.0300603531834,8
All16_ridge,3,10.2146785193263,8
Mechanism10_ridge,3,10.38979965179,8
Core4_ridge,0.3,10.5292375355275,8
GO6_knn,7,10.6405174550223,8
RNA128_knn,5,10.9919273370038,8
