PXD,Area,RelativePath,CurrentPath,FileName,Extension,SizeBytes
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/modificationSpecificPeptides.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/modificationSpecificPeptides.txt,modificationSpecificPeptides.txt,.txt,123411
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msScans.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msScans.txt,msScans.txt,.txt,1776329
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msms.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msms.txt,msms.txt,.txt,657688
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msmsScans.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/msmsScans.txt,msmsScans.txt,.txt,1157408
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/mzRange.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/mzRange.txt,mzRange.txt,.txt,99167
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/parameters.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/parameters.txt,parameters.txt,.txt,1824
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/peptides.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/peptides.txt,peptides.txt,.txt,94317
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/proteinGroups.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/proteinGroups.txt,proteinGroups.txt,.txt,81528
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/simPeptides.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/simPeptides.txt,simPeptides.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/simScans.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/simScans.txt,simScans.txt,.txt,0
PXD014870,search_results,search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/summary.txt,data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/summary.txt,summary.txt,.txt,2007
