Model,ReferenceKey,Observed,Fitted,Lambda
SampleBalanced128,MCF7_DMSO7d,28.1703775411423,19.0347710756247,100
SampleBalanced128,MDAMB468_DMSO7d,29.5478723404255,19.1382673530489,100
SampleBalanced128,PC3M_DMSO,3.92595353460057,18.7035856952231,100
SampleBalanced128,RKO_DMSO,28.65836791148,18.8095677044984,100
SampleBalanced128,TCGA_ESCA_ESCC,13.4974638129407,18.5450561485743,100
SampleBalanced128,TCGA_LIHC_normal,33.0510468125147,20.9793198043962,100
SampleBalanced128,TCGA_LIHC_primary,29.5296838858905,20.6214268878744,100
SampleBalanced128,TCGA_PRAD_primary,24.8445690601,19.002423002892,100
SampleBalanced128,sperm_GroupI,2.13483146067416,17.1455834952637,100
SampleBalanced128,tendon_nondiabetic,12.14859437751,18.0184876091027,100
BagMean,GSE103520_MCF10A_control,11.3246538541021,16.847227535131,10
BagMean,GSE114691_control_placenta,2.14805937125472,17.5602817823909,10
BagMean,GSE119834_NSC,21.0736958321833,17.6657619855003,10
BagMean,GSE132714_BPH,24.8622842453177,18.6885323570443,10
BagMean,GSE163787_TALL104,9.02517407605785,18.2383051303907,10
BagMean,GSE171750_A549_untreated,27.7262180974478,19.6641329774474,10
BagMean,GSE181540_HS_input,15.9598723210214,17.7615934899407,10
BagMean,GSE181540_adjacent_NS_input,21.2244897959184,19.863770813607,10
BagMean,GSE203529_HEK293T_WT,5.68234746157429,19.5845693021861,10
BagMean,GSE266884_MES28_vector_control,30.6185813231431,20.2449951394257,10
BagMean,GSE275256_HMC3_vehicle,20.8251793868232,18.5892573017624,10
BagMean,GSE283812_T47D_vehicle,26.5073947667804,20.5299195728075,10
BagMean,GTEx_v8_Hippocampus,12.9233804669517,18.5900303937635,10
BagMean,GTEx_v8_Lung,3.04256352160544,18.4103097405722,10
BagMean,HCT116_control,14.9924287272798,18.8888214631752,10
BagMean,HK2_untreated,25.4849908107004,18.5867207908909,10
BagMean,HUVEC_untreated,24.1981011034129,18.0498249082114,10
BagMean,HepG2_DMSO24h,33.5942114589486,18.769444452487,10
BagMean,MCF7_DMSO7d,28.1703775411423,20.0535131455125,10
BagMean,MDAMB468_DMSO7d,29.5478723404255,19.8800671601162,10
BagMean,PC3M_DMSO,3.92595353460057,18.9733389129897,10
BagMean,RKO_DMSO,28.65836791148,19.1012130460781,10
BagMean,TCGA_ESCA_ESCC,13.4974638129407,18.3484043342637,10
BagMean,TCGA_LIHC_normal,33.0510468125147,22.3239070678227,10
BagMean,TCGA_LIHC_primary,29.5296838858905,21.7141738661907,10
BagMean,TCGA_PRAD_primary,24.8445690601,19.2909399518935,10
BagMean,sperm_GroupI,2.13483146067416,17.4585533841804,10
BagMean,tendon_nondiabetic,12.14859437751,17.6731905823462,10
BagDistribution,GSE103520_MCF10A_control,11.3246538541021,15.2713243502622,0.1
BagDistribution,GSE114691_control_placenta,2.14805937125472,15.6397562110831,0.1
BagDistribution,GSE119834_NSC,21.0736958321833,16.9343115053538,0.1
BagDistribution,GSE132714_BPH,24.8622842453177,17.8453097769734,0.1
BagDistribution,GSE163787_TALL104,9.02517407605785,17.4141786895036,0.1
BagDistribution,GSE171750_A549_untreated,27.7262180974478,20.5030364146514,0.1
BagDistribution,GSE181540_HS_input,15.9598723210214,16.7346679067909,0.1
BagDistribution,GSE181540_adjacent_NS_input,21.2244897959184,21.43005129992,0.1
