OuterBlock,Model,Lambda,InnerSourceMAE,Selected
6,MaterialMedian,100,9.25723581914101,TRUE
6,MaterialMedian,10,9.63991888106098,FALSE
6,MaterialMedian,1,10.4211072072646,FALSE
6,MaterialMedian,0.1,12.3146289169359,FALSE
6,MaterialMedian,0.01,14.6681392489724,FALSE
6,SampleUnweighted,100,10.3595111607321,FALSE
6,SampleUnweighted,10,10.4836382681169,FALSE
6,SampleUnweighted,1,10.8653293428954,FALSE
6,SampleUnweighted,0.1,9.95540696666504,FALSE
6,SampleUnweighted,0.01,9.36163286751976,TRUE
6,SampleMaterialBalanced,100,8.96803959289801,TRUE
6,SampleMaterialBalanced,10,9.06871298016539,FALSE
6,SampleMaterialBalanced,1,9.44501608650596,FALSE
6,SampleMaterialBalanced,0.1,11.0270092603615,FALSE
6,SampleMaterialBalanced,0.01,12.9079460751037,FALSE
6,SampleBalanced,100,9.25834348255936,TRUE
6,SampleBalanced,10,9.62383364279754,FALSE
6,SampleBalanced,1,10.1139569988352,FALSE
6,SampleBalanced,0.1,10.9974238890625,FALSE
6,SampleBalanced,0.01,11.8162094899171,FALSE
6,SampleBalanced128,100,9.43310654220468,TRUE
6,SampleBalanced128,10,9.9601538064735,FALSE
6,SampleBalanced128,1,10.8526333889288,FALSE
6,SampleBalanced128,0.1,10.7568593338654,FALSE
6,SampleBalanced128,0.01,11.3100261650922,FALSE
6,BagMean,100,9.25938482372688,TRUE
6,BagMean,10,9.65711249029617,FALSE
6,BagMean,1,10.3392738336044,FALSE
6,BagMean,0.1,12.1834866047548,FALSE
6,BagMean,0.01,14.1260068432585,FALSE
6,BagDistribution,100,9.17878552278001,TRUE
6,BagDistribution,10,9.20983479321502,FALSE
6,BagDistribution,1,9.43373351300263,FALSE
6,BagDistribution,0.1,9.88430271348319,FALSE
6,BagDistribution,0.01,10.7845064265044,FALSE
7,MaterialMedian,100,9.59448029992839,FALSE
7,MaterialMedian,10,9.48799591531719,TRUE
7,MaterialMedian,1,10.5752535909747,FALSE
7,MaterialMedian,0.1,11.8945408544385,FALSE
7,MaterialMedian,0.01,12.3387470065449,FALSE
7,SampleUnweighted,100,10.5838781039955,FALSE
7,SampleUnweighted,10,10.5060027909964,FALSE
7,SampleUnweighted,1,11.3989685821771,FALSE
7,SampleUnweighted,0.1,11.4536703977778,FALSE
7,SampleUnweighted,0.01,10.3131235521918,TRUE
7,SampleMaterialBalanced,100,9.26407956141267,FALSE
7,SampleMaterialBalanced,10,8.78624578112278,TRUE
7,SampleMaterialBalanced,1,9.92048416811841,FALSE
7,SampleMaterialBalanced,0.1,11.7960205081601,FALSE
7,SampleMaterialBalanced,0.01,13.9156315415409,FALSE
7,SampleBalanced,100,9.60155632935474,FALSE
7,SampleBalanced,10,9.55170493893112,TRUE
7,SampleBalanced,1,9.88783704188689,FALSE
7,SampleBalanced,0.1,11.3839070102278,FALSE
7,SampleBalanced,0.01,12.2584853560092,FALSE
7,SampleBalanced128,100,9.75313728888458,TRUE
7,SampleBalanced128,10,9.80353934939915,FALSE
7,SampleBalanced128,1,11.0118156025475,FALSE
7,SampleBalanced128,0.1,11.5468365548048,FALSE
7,SampleBalanced128,0.01,11.4924289713026,FALSE
7,BagMean,100,9.60201651031329,FALSE
7,BagMean,10,9.56288368676938,TRUE
7,BagMean,1,10.2213884798716,FALSE
7,BagMean,0.1,11.7897089577348,FALSE
7,BagMean,0.01,11.5989054498255,FALSE
7,BagDistribution,100,9.58846294553115,FALSE
7,BagDistribution,10,9.60061584660926,FALSE
7,BagDistribution,1,9.66742788608707,FALSE
7,BagDistribution,0.1,9.47540258152293,TRUE
7,BagDistribution,0.01,11.6232306655646,FALSE
8,MaterialMedian,100,9.49303764380805,TRUE
8,MaterialMedian,10,9.54962297319321,FALSE
8,MaterialMedian,1,9.55319589087623,FALSE
8,MaterialMedian,0.1,10.3858072001452,FALSE
8,MaterialMedian,0.01,10.0701018861598,FALSE
8,SampleUnweighted,100,10.1348072540867,FALSE
8,SampleUnweighted,10,9.96288965247952,FALSE
8,SampleUnweighted,1,10.7411160251831,FALSE
8,SampleUnweighted,0.1,10.6832800924377,FALSE
8,SampleUnweighted,0.01,9.80538367163998,TRUE
8,SampleMaterialBalanced,100,9.45469521491474,FALSE
8,SampleMaterialBalanced,10,9.33784803791695,FALSE
8,SampleMaterialBalanced,1,8.71285696303393,TRUE
8,SampleMaterialBalanced,0.1,9.27888970623445,FALSE
8,SampleMaterialBalanced,0.01,10.2537141906024,FALSE
8,SampleBalanced,100,9.49987398557398,FALSE
8,SampleBalanced,10,9.59490055657666,FALSE
8,SampleBalanced,1,8.91694128040935,TRUE
8,SampleBalanced,0.1,10.2386858959789,FALSE
8,SampleBalanced,0.01,11.1160927531242,FALSE
8,SampleBalanced128,100,9.65470121765146,TRUE
8,SampleBalanced128,10,9.68467269920898,FALSE
8,SampleBalanced128,1,10.6422041668298,FALSE
8,SampleBalanced128,0.1,11.4491656195839,FALSE
8,SampleBalanced128,0.01,11.8619925651317,FALSE
8,BagMean,100,9.50066544120362,FALSE
8,BagMean,10,9.61711137292616,FALSE
8,BagMean,1,9.25735486764203,TRUE
8,BagMean,0.1,10.6991973333755,FALSE
8,BagMean,0.01,9.595834554753,FALSE
8,BagDistribution,100,9.45911220002593,TRUE
8,BagDistribution,10,9.47969297365647,FALSE
8,BagDistribution,1,9.6124108184332,FALSE
8,BagDistribution,0.1,9.50892553794555,FALSE
8,BagDistribution,0.01,10.6621851441777,FALSE
9,MaterialMedian,100,8.93158383901417,FALSE
9,MaterialMedian,10,8.63130874860632,TRUE
9,MaterialMedian,1,9.05033509296407,FALSE
9,MaterialMedian,0.1,11.6084965602211,FALSE
9,MaterialMedian,0.01,14.2939638928992,FALSE
9,SampleUnweighted,100,9.51293312421943,FALSE
9,SampleUnweighted,10,9.1711767126165,TRUE
9,SampleUnweighted,1,9.89398567684424,FALSE
9,SampleUnweighted,0.1,9.97609061556493,FALSE
9,SampleUnweighted,0.01,9.45189275754413,FALSE
9,SampleMaterialBalanced,100,8.60302710248088,FALSE
9,SampleMaterialBalanced,10,7.92242342032698,FALSE
9,SampleMaterialBalanced,1,7.734728374362,TRUE
9,SampleMaterialBalanced,0.1,9.22363318253593,FALSE
9,SampleMaterialBalanced,0.01,11.142085582685,FALSE
9,SampleBalanced,100,8.93431225673072,FALSE
9,SampleBalanced,10,8.68261617641632,TRUE
9,SampleBalanced,1,9.01198493928099,FALSE
9,SampleBalanced,0.1,9.91640311715351,FALSE
9,SampleBalanced,0.01,9.93764675469208,FALSE
9,SampleBalanced128,100,9.0389737791649,TRUE
9,SampleBalanced128,10,9.76805154300239,FALSE
9,SampleBalanced128,1,11.8006472446068,FALSE
9,SampleBalanced128,0.1,12.4163890492056,FALSE
9,SampleBalanced128,0.01,12.964498077381,FALSE
9,BagMean,100,8.93305194797603,FALSE
9,BagMean,10,8.63927907339541,TRUE
9,BagMean,1,8.92550602259623,FALSE
9,BagMean,0.1,10.9767852299374,FALSE
9,BagMean,0.01,12.0894648437342,FALSE
9,BagDistribution,100,8.99688613908053,FALSE
9,BagDistribution,10,8.97308950593556,FALSE
9,BagDistribution,1,8.79779883160049,FALSE
9,BagDistribution,0.1,8.6083174797084,TRUE
9,BagDistribution,0.01,9.1484778028942,FALSE
10,MaterialMedian,100,8.54845979073676,FALSE
10,MaterialMedian,10,8.1639170360883,TRUE
10,MaterialMedian,1,9.21758189884403,FALSE
10,MaterialMedian,0.1,10.9351914470791,FALSE
10,MaterialMedian,0.01,10.6007813467105,FALSE
10,SampleUnweighted,100,9.79702649595472,FALSE
10,SampleUnweighted,10,9.6591110888631,FALSE
10,SampleUnweighted,1,10.5014719457028,FALSE
10,SampleUnweighted,0.1,10.2937844514358,FALSE
10,SampleUnweighted,0.01,9.33418841089231,TRUE
10,SampleMaterialBalanced,100,8.38579275782204,FALSE
10,SampleMaterialBalanced,10,7.8138688466208,TRUE
10,SampleMaterialBalanced,1,8.63160738888207,FALSE
10,SampleMaterialBalanced,0.1,10.5852643393583,FALSE
10,SampleMaterialBalanced,0.01,12.3644965019915,FALSE
10,SampleBalanced,100,8.55831520181268,FALSE
10,SampleBalanced,10,8.27216822864486,TRUE
10,SampleBalanced,1,8.51067129461183,FALSE
10,SampleBalanced,0.1,9.90220983293545,FALSE
10,SampleBalanced,0.01,10.2172023947961,FALSE
10,SampleBalanced128,100,8.48987009376158,FALSE
10,SampleBalanced128,10,7.99637723091848,TRUE
10,SampleBalanced128,1,8.02543493636714,FALSE
10,SampleBalanced128,0.1,8.67526215373837,FALSE
10,SampleBalanced128,0.01,9.70413443225631,FALSE
10,BagMean,100,8.55812885971885,FALSE
10,BagMean,10,8.26551611213514,TRUE
10,BagMean,1,8.87750695940574,FALSE
10,BagMean,0.1,10.6484588805017,FALSE
10,BagMean,0.01,10.3760726057939,FALSE
