ConnGroup,All16MAE_pp,BaselineMAE_pp,N,Scenario
14,8.4996416471655,4.6598114238772,1,scar_replace
15,6.9347407140357,3.3729217165897,1,scar_replace
1,6.3270888895892,8.9251014546733,1,scar_tendon_equal
2,17.1344855270194,18.4783843857532,2,scar_tendon_equal
3,1.1147693195766,2.6323087374485,2,scar_tendon_equal
4,5.9118788225028,8.1503153652316,1,scar_tendon_equal
5,17.7031910345834,18.9388643715091,1,scar_tendon_equal
6,7.03053339773095,4.02824726588565,2,scar_tendon_equal
7,10.8147472720056,10.4651859623794,2,scar_tendon_equal
8,4.5655446261463,7.5762320192426,1,scar_tendon_equal
9,7.04032937973241,8.75116079460431,9,scar_tendon_equal
10,18.0028353375604,12.7690320721254,1,scar_tendon_equal
11,16.3492357272503,17.1477422975827,1,scar_tendon_equal
12,7.40343899942625,5.02095919084,2,scar_tendon_equal
13,2.6554501189093,0.248516445360099,1,scar_tendon_equal
14,8.4010095771402,4.6598114238772,1,scar_tendon_equal
15,6.8981231109158,3.3729217165897,1,scar_tendon_equal
1,6.4801248878394,8.9251014546733,1,tendon_degenerative
2,16.3077611179917,18.4783843857532,2,tendon_degenerative
3,0.505022104250301,2.6323087374485,2,tendon_degenerative
4,5.9664717984014,8.1503153652316,1,tendon_degenerative
5,17.8168214688256,18.9388643715091,1,tendon_degenerative
6,9.0316081095722,4.02824726588565,2,tendon_degenerative
7,11.1826867859691,10.4651859623794,2,tendon_degenerative
8,4.6975178263489,7.5762320192426,1,tendon_degenerative
9,7.62198234838438,8.75116079460431,9,tendon_degenerative
10,17.9877671937136,12.7690320721254,1,tendon_degenerative
11,16.3871978624949,17.1477422975827,1,tendon_degenerative
12,7.36322086674115,5.02095919084,2,tendon_degenerative
13,2.5735525749391,0.248516445360099,1,tendon_degenerative
14,8.3112346194249,4.6598114238772,1,tendon_degenerative
15,6.8337719351053,3.3729217165897,1,tendon_degenerative
1,6.375908953506,8.9251014546733,1,tendon_equal
2,17.1607486134087,18.4783843857532,2,tendon_equal
3,0.495396731932651,2.6323087374485,2,tendon_equal
4,5.975411610782,8.1503153652316,1,tendon_equal
5,17.7676426646095,18.9388643715091,1,tendon_equal
6,6.99903435951205,4.02824726588565,2,tendon_equal
7,10.9289172084617,10.4651859623794,2,tendon_equal
8,4.7081393648371,7.5762320192426,1,tendon_equal
9,7.58776159156671,8.75116079460431,9,tendon_equal
10,17.9599105882585,12.7690320721254,1,tendon_equal
11,16.3929977570252,17.1477422975827,1,tendon_equal
12,7.36381722777355,5.02095919084,2,tendon_equal
13,2.5760916450138,0.248516445360099,1,tendon_equal
14,8.3251203296009,4.6598114238772,1,tendon_equal
15,6.8385365800034,3.3729217165897,1,tendon_equal
1,6.4022350913725,8.9251014546733,1,tendon_replace
2,16.318378246925,18.4783843857532,2,tendon_replace
3,0.508539410341051,2.6323087374485,2,tendon_replace
4,5.9683396121362,8.1503153652316,1,tendon_replace
5,17.8124731727531,18.9388643715091,1,tendon_replace
6,6.8983652092889,4.02824726588565,2,tendon_replace
7,11.1009386437699,10.4651859623794,2,tendon_replace
8,4.7158171479933,7.5762320192426,1,tendon_replace
9,7.59847495387839,8.75116079460431,9,tendon_replace
10,17.9912674439574,12.7690320721254,1,tendon_replace
11,16.3984206815337,17.1477422975827,1,tendon_replace
12,7.36757759735175,5.02095919084,2,tendon_replace
