PXD,SampleGroup,GroupID,SampleID,KlaExpressionMedian,ReferenceKey,GroupIDs,Category,ReferenceLabelEn,RowOrder,CategoryLabel
PXD036307,normal human lung,KLA31_02,GTEX-12696-1026-SM-5FQUV,4.18969484065558,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1269C-0926-SM-5FQSR,4.18179238697231,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12BJ1-1026-SM-5EGJA,4.23131733460481,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12KS4-0726-SM-5FQSX,4.22391715185012,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSA-1026-SM-5EGHN,4.18688563457143,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSD-0826-SM-5GCNE,4.17894595214768,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSE-0826-SM-5S2VL,4.15348505699042,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSG-5004-SM-7EPG9,4.16726149758668,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSH-0126-SM-5GCO3,4.22618202932445,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSI-0826-SM-5EGKD,4.18424833898746,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSJ-0226-SM-5GCP7,4.23783229050297,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSK-0826-SM-5CVNP,4.21367439732822,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSL-1026-SM-5CVNJ,4.2430580361211,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12WSN-5004-SM-793CE,4.20459105051435,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12ZZW-0926-SM-5LZUD,4.19254334102984,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12ZZY-0926-SM-5EQ6I,4.16585470526589,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13111-0426-SM-5DUXR,4.19022835764717,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-13113-5004-SM-79ONL,4.20034690923761,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1313W-0926-SM-5EQ56,4.2126447414517,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-131XE-0726-SM-5HL9K,4.16339550242118,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-131XF-1026-SM-5BC6A,4.21853296981329,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-131XH-0426-SM-5DUWU,4.18828048431381,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-131XW-1126-SM-5EGK4,4.19625748688958,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-131YS-0926-SM-5IJB9,4.21212933492459,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-132NY-1226-SM-5PNVF,4.17874889066881,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-132QS-0726-SM-5IJE9,4.26056044235071,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
