PXD,SampleGroup,GroupID,SampleID,DDRExpressionMedian,DdrFractionPercentage,ReferenceKey,GroupIDs,Category,ReferenceLabelEn,RowOrder,CategoryLabel
PXD036307,normal human lung,KLA31_02,GTEX-11UD2-0726-SM-5EQ69,3.90626021733566,2.60087686705804,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11WQC-0626-SM-5EQMF,3.96445632906841,2.60087686705804,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11WQK-1226-SM-5GU5Z,4.13041537621356,2.60087686705804,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11ZTS-1226-SM-5EQMQ,3.81771232318619,2.60830794382106,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11ZTT-0626-SM-5EQLM,3.84925745651114,2.64546332763617,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11ZUS-0126-SM-5EQM5,3.88413297076346,2.54142825295385,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-11ZVC-0226-SM-731E8,3.84609721176396,2.58601471353199,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1211K-0826-SM-5FQUP,3.94462471802137,2.60087686705804,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1212Z-1026-SM-5EGJ8,3.91214515820975,2.66032548116222,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12584-1426-SM-5EGJ9,3.92510835028533,2.59344579029501,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12696-1026-SM-5FQUV,3.97312687188104,2.62317009734711,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-1269C-0926-SM-5FQSR,3.76469035158756,2.51913502266478,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12BJ1-1026-SM-5EGJA,3.90028975744286,2.60087686705804,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
PXD036307,normal human lung,KLA31_02,GTEX-12KS4-0726-SM-5FQSX,4.0071140146956,2.68261871145129,GTEx_v8_Lung,KLA31_02,normal_tissue,Healthy human lung tissue,2,"non-tumor
tissues"
