gene_symbol,ensembl_gene,entrez_id
POLE,ENSG00000177084,5426
POLQ,ENSG00000051341,10721
PRC1,ENSG00000198901,9055
PRIM2,ENSG00000146143,5558
PRMT5,ENSG00000100462,10419
PRP4K,ENSG00000112739,8899
PTTG1,ENSG00000164611,9232
PURA,ENSG00000185129,5813
RACGAP1,ENSG00000161800,29127
RAD21,ENSG00000164754,5885
RAD23B,ENSG00000119318,5887
RAD54L,ENSG00000085999,8438
RASAL2,ENSG00000075391,9462
RBL1,ENSG00000080839,5933
RBM14,ENSG00000239306,10432
RPA2,ENSG00000117748,6118
RPS6KA5,ENSG00000100784,9252
SAP30,ENSG00000164105,8819
SFPQ,ENSG00000116560,6421
SLC12A2,ENSG00000064651,6558
SLC38A1,ENSG00000111371,81539
SLC7A1,ENSG00000139514,6541
SLC7A5,ENSG00000103257,8140
SMAD3,ENSG00000166949,4088
SMARCC1,ENSG00000173473,6599
SMC1A,ENSG00000072501,8243
SMC2,ENSG00000136824,10592
SMC4,ENSG00000113810,10051
SNRPD1,ENSG00000167088,6632
SQLE,ENSG00000104549,6713
SRSF1,ENSG00000136450,6426
SRSF10,ENSG00000188529,10772
SRSF2,ENSG00000161547,6427
SS18,ENSG00000141380,6760
STAG1,ENSG00000118007,10274
STIL,ENSG00000123473,6491
STMN1,ENSG00000117632,3925
SUV39H1,ENSG00000101945,6839
SYNCRIP,ENSG00000135316,10492
TACC3,ENSG00000013810,10460
TENT4A,ENSG00000112941,11044
TFDP1,ENSG00000198176,7027
TGFB1,ENSG00000105329,7040
TLE3,ENSG00000140332,7090
TMPO,ENSG00000120802,7112
TNPO2,ENSG00000105576,30000
TOP1,ENSG00000198900,7150
TOP2A,ENSG00000131747,7153
TPX2,ENSG00000088325,22974
TRA2B,ENSG00000136527,6434
TRAIP,ENSG00000183763,10293
TROAP,ENSG00000135451,10024
TTK,ENSG00000112742,7272
UBE2C,ENSG00000175063,11065
UBE2S,ENSG00000108106,27338
UCK2,ENSG00000143179,7371
UPF1,ENSG00000005007,5976
WRN,ENSG00000165392,7486
XPO1,ENSG00000082898,7514
YTHDC1,ENSG00000083896,91746
