GroupID,PXD,SampleGroup,ReferenceKey,ConnGroup,Ensembl,UniProt,Symbol,RNA,ReferenceUniqueAccessions,ProteinDetected,KlaDetected
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000166816,Q86WU2,LDHD,3.5671774857627,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000167588,P21695,GPD1,3.38909261396064,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000167701,P24298,GPT,1.07239175277902,12358,0,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000168291,P11177,PDHB,4.74249525038679,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000170571,Q6PCB8,EMB,4.43400962285527,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000172270,P35613,BSG,7.94328235057253,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000172340,Q96I99,SUCLG2,5.66627779222131,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000172840,Q9P2J9,PDP2,2.87408445043268,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000173599,P11498,PC,2.47676674654245,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000198814,P32189,GK,4.21397776862684,12358,1,0
KLA31_02,PXD036307,normal human lung,GTEx_v8_Lung,2,ENSG00000256870,Q8N695,SLC5A8,0.649670119547058,12358,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000004799,Q16654,PDK4,3.80704933186983,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000005882,Q15119,PDK2,3.14792760302893,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000060762,Q9Y5U8,MPC1,5.19162307820587,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000063854,Q16775,HAGH,2.28912012541461,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000067992,Q15120,PDK3,2.77815536013874,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000068976,P11217,PYGM,0.194304439325559,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000079739,P36871,PGM1,5.81487425370709,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000090861,P49588,AARS1,4.85847051817583,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000091140,P09622,DLD,6.23289246111862,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000100156,O95907,SLC16A8,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000100504,P06737,PYGL,6.66279598048487,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000100889,Q16822,PCK2,1.2450386894073,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000100994,P11216,PYGB,5.72092398042436,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000111716,P07195,LDHB,6.9032322645654,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000115159,P43304,GPD2,3.91566493707588,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000118596,O60669,SLC16A7,4.12898154998872,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000124253,P35558,PCK1,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000124608,Q5JTZ9,AARS2,2.74849687509415,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000124767,Q04760,GLO1,7.91820394099305,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000130957,O00757,FBP2,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000131069,Q9NR19,ACSS2,3.64463846206425,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000131482,P35575,G6PC1,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000131828,P08559,PDHA1,5.1309815660916,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000134333,P00338,LDHA,9.09535346961019,2193,1,1
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000136872,P05062,ALDOB,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000138030,P50053,KHK,0.616349099315604,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000141349,Q9BUM1,G6PC3,2.82553855458338,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000141526,O15427,SLC16A3,3.1744024901217,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000143158,O95563,MPC2,4.77863638372502,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000148942,Q1EHB4,SLC5A12,0.756140672542959,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000149476,Q3LXA3,TKFC,0.765593874801904,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000150768,P10515,DLAT,4.10885074389685,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000152256,Q15118,PDK1,4.80235727162297,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000155380,P53985,SLC16A1,5.93787090081945,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000162688,P35573,AGL,5.00440284501562,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000163541,P53597,SUCLG1,5.82153258535151,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000164951,Q9P0J1,PDP1,5.15803661124533,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000165140,P09467,FBP1,2.76211167641681,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000166123,Q8TD30,GPT2,3.88430635306416,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000166796,P07864,LDHC,-1,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000166816,Q86WU2,LDHD,-0.268990696823428,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000167588,P21695,GPD1,1.30023178747863,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000167701,P24298,GPT,-0.372984182425048,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000168291,P11177,PDHB,5.35129975912138,2193,1,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000170571,Q6PCB8,EMB,6.75767965094903,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000172270,P35613,BSG,6.33040947452636,2193,0,0
KLA31_03,PXD046800,hypertrophic scar,GSE181540_HS_input,3,ENSG00000172340,Q96I99,SUCLG2,6.35676034178817,2193,1,0
