Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_02,ENSG00000166816,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000167588,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000167701,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000168291,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000170571,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000172270,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000172340,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000172840,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000173599,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000198814,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000256870,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_03,ENSG00000004799,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000005882,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000060762,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000063854,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000067992,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000068976,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000079739,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000090861,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000091140,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000100156,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000100504,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000100889,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000100994,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000111716,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000115159,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000118596,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000124253,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000124608,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000124767,3,1,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000130957,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000131069,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000131482,3,0,0.362863806363361,0.358470444660008
Protein_depth,KLA31_03,ENSG00000131828,3,1,0.362863806363361,0.358470444660008
