UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0ACI8SBN9,GO:0006096,UniProtKB:A0ACI8SBN9!116325732,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE,ENSG00000141959,,PFKL,FALSE,TRUE
A0ACI8SBU3,GO:0006094,UniProtKB:A0ACI8SBU3!474794381,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PCK2,FALSE,TRUE,ENSG00000100889,,PCK2,FALSE,TRUE
A0ACI8SBX9,GO:0006096,UniProtKB:A0ACI8SBX9!415063692,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGAM1,FALSE,TRUE,ENSG00000171314,,PGAM1,FALSE,TRUE
A0ACI8SCS5,GO:0006099,UniProtKB:A0ACI8SCS5!146201135,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,CS,FALSE,TRUE,ENSG00000062485,,CS,FALSE,TRUE
A0ACI8SDH1,GO:0006094,UniProtKB:A0ACI8SDH1!385170906,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,GAPDH,FALSE,TRUE,ENSG00000111640,,GAPDH,FALSE,TRUE
A0ACI8SE43,GO:0006094,UniProtKB:A0ACI8SE43!86429636,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,ENO3,FALSE,TRUE,ENSG00000108515,,ENO3,FALSE,TRUE
A0ACI8SE43,GO:0006096,UniProtKB:A0ACI8SE43!86429637,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE,ENSG00000108515,,ENO3,FALSE,TRUE
A0ACI8SED6,GO:0006094,UniProtKB:A0ACI8SED6!56571336,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000117,9606,UniProt,20260727,ALDOB,FALSE,TRUE,ENSG00000136872,,ALDOB,FALSE,TRUE
A0ACI8SED6,GO:0006096,UniProtKB:A0ACI8SED6!56571337,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOB,FALSE,TRUE,ENSG00000136872,,ALDOB,FALSE,TRUE
A0ACI8SEN1,GO:0006096,UniProtKB:A0ACI8SEN1!56571356,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE,ENSG00000156515,3098,HK1,FALSE,TRUE
A0ACI8SGL5,GO:0006094,UniProtKB:A0ACI8SGL5!415064090,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PCK2,FALSE,TRUE,ENSG00000100889,,PCK2,FALSE,TRUE
A0ACI8SLB9,GO:0006096,UniProtKB:A0ACI8SLB9!265710752,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK2,FALSE,TRUE,ENSG00000159399,,HK2,FALSE,TRUE
A0ACI8SLK1,GO:0006099,UniProtKB:A0ACI8SLK1!385171541,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,SUCLG1,FALSE,TRUE,ENSG00000163541,,SUCLG1,FALSE,TRUE
A0ACI8SLP8,GO:0006099,UniProtKB:A0ACI8SLP8!205921697,involved_in,GO:0006099,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,SUCLG1,FALSE,TRUE,ENSG00000163541,,SUCLG1,FALSE,TRUE
