Term,AnnotationID,UniProt,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation
GO:0006096,UniProtKB:A0ACI8QNC4!265705881,A0ACI8QNC4,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QNM1!355307196,A0ACI8QNM1,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QNM1!355307199,A0ACI8QNM1,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QPL8!146196790,A0ACI8QPL8,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QPL8!146196793,A0ACI8QPL8,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QUE4!265706285,A0ACI8QUE4,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QV16!116322127,A0ACI8QV16,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QV16!116322130,A0ACI8QV16,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKP,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QVF8!26683485,A0ACI8QVF8,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QVF8!26683488,A0ACI8QVF8,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QWW0!176039811,A0ACI8QWW0,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QWW0!176039814,A0ACI8QWW0,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QYF0!355307882,A0ACI8QYF0,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOB,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QYS9!86425647,A0ACI8QYS9,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8QYS9!86425649,A0ACI8QYS9,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QZ43!205917374,A0ACI8QZ43,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QZ44!265706634,A0ACI8QZ44,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8QZJ3!235806897,A0ACI8QZJ3,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE
