run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR7188865	SRX4105589	SAMN09230285	Control20	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188865/SRR7188865.fastq.gz	6a5f7bae692c8dd3ac45452eec92f0bc
SRR7188867	SRX4105591	SAMN09230283	PE1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188867/SRR7188867.fastq.gz	551b9bf8b2a7c98dab4da6775f1be2c4
SRR7188871	SRX4105595	SAMN09230279	PE5	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188871/SRR7188871.fastq.gz	6b2a5a9d2a5620e365478f2881a33d64
SRR7188879	SRX4105603	SAMN09230261	PE13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188879/SRR7188879.fastq.gz	5c43cd44e8f70f716b8f4d5a9dc18107
SRR7188880	SRX4105604	SAMN09230260	PE14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188880/SRR7188880.fastq.gz	ac7d36c6d167adaa6582e03b32d8184d
SRR7188886	SRX4105610	SAMN09230254	PE20	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188886/SRR7188886.fastq.gz	69db262a4eb5a727ee6b4cb919ab9772
SRR7188895	SRX4105619	SAMN09230245	PEIUGR9	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188895/SRR7188895.fastq.gz	dd04389dbf6318f6074a75c9de9c3034
SRR7188900	SRX4105624	SAMN09230308	PEIUGR14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188900/SRR7188900.fastq.gz	959191e6d96adb62a41696964b585f16
SRR7188905	SRX4105629	SAMN09230231	PEIUGR19	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188905/SRR7188905.fastq.gz	3db8e543dceccfa8425a56f25a059d1c
SRR7188915	SRX4105639	SAMN09230223	IUGR9	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188915/SRR7188915.fastq.gz	319a51da1b22e5067870a0acc586b9e2
SRR7188847	SRX4105571	SAMN09230303	Control2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188847/SRR7188847.fastq.gz	4a2d98c4040f4630359b06ee8c66ae28
SRR7188851	SRX4105575	SAMN09230299	Control6	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188851/SRR7188851.fastq.gz	7d8e0638fc81301b0c915fa7f558ed84
SRR7188853	SRX4105577	SAMN09230297	Control8	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188853/SRR7188853.fastq.gz	d828c6051f572b9c39c5056ba78e3b3a
SRR7188857	SRX4105581	SAMN09230293	Control12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188857/SRR7188857.fastq.gz	11e344f1d4e2b64d6571f47687cbef7a
SRR7188868	SRX4105592	SAMN09230282	PE2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188868/SRR7188868.fastq.gz	41d1cda1b227542dc495acfc26ba8806
SRR7188869	SRX4105593	SAMN09230281	PE3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188869/SRR7188869.fastq.gz	3fca96a7e5db1e6341bec6a389ae55d7
SRR7188876	SRX4105600	SAMN09230264	PE10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188876/SRR7188876.fastq.gz	a5aee2865bdc9128f46a1941bcc20dc7
SRR7188882	SRX4105606	SAMN09230258	PE16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188882/SRR7188882.fastq.gz	c7ba7be4adad2efd0a1f3e03fcea2667
SRR7188883	SRX4105607	SAMN09230257	PE17	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188883/SRR7188883.fastq.gz	4bc4a3ed6174b192f9b48aa422dbd7a2
SRR7188884	SRX4105608	SAMN09230256	PE18	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188884/SRR7188884.fastq.gz	52bded6cd0cd2696151484c1240d5b7a
SRR7188908	SRX4105632	SAMN09230230	IUGR2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188908/SRR7188908.fastq.gz	99b9654b5d979bf2df9adf17d00a52a9
SRR7188909	SRX4105633	SAMN09230229	IUGR3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188909/SRR7188909.fastq.gz	c137095187cc85fef1b9cf358a812e99
SRR7188911	SRX4105635	SAMN09230227	IUGR5	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188911/SRR7188911.fastq.gz	9939336b837439dee7a667fa7dca79b0
SRR7188848	SRX4105572	SAMN09230302	Control3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188848/SRR7188848.fastq.gz	130ece9dbde74af39734192e6fcdd0e0
SRR7188858	SRX4105582	SAMN09230292	Control13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188858/SRR7188858.fastq.gz	2c86d9cbfe3e55a41f28a480cf61b929
SRR7188864	SRX4105588	SAMN09230286	Control19	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188864/SRR7188864.fastq.gz	5ea962022c8b4d822992a9f91d4231df
SRR7188870	SRX4105594	SAMN09230280	PE4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188870/SRR7188870.fastq.gz	ef6988ab53813e425d7ce49a77527750
SRR7188873	SRX4105597	SAMN09230277	PE7	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188873/SRR7188873.fastq.gz	8f807233310b4199402a9f2007e63b50
SRR7188874	SRX4105598	SAMN09230276	PE8	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188874/SRR7188874.fastq.gz	e67881b3435a106562fd2c24d8d0ba7b
SRR7188881	SRX4105605	SAMN09230259	PE15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188881/SRR7188881.fastq.gz	fb2a8573d4969a9f86a8e10839d43acb
SRR7188887	SRX4105611	SAMN09230253	PEIUGR1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188887/SRR7188887.fastq.gz	4150a48319bff6c3a4fb7a25649270dd
SRR7188891	SRX4105615	SAMN09230249	PEIUGR5	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188891/SRR7188891.fastq.gz	449be6878fed47e528bb79c267aee0ad
SRR7188898	SRX4105622	SAMN09230242	PEIUGR12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188898/SRR7188898.fastq.gz	2f91d8c34458a70a8d7d90f4a09a67f5
SRR7188899	SRX4105623	SAMN09230311	PEIUGR13	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188899/SRR7188899.fastq.gz	dcd174a96f0f91959c943cc0c88aeffe
SRR7188901	SRX4105625	SAMN09230307	PEIUGR15	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/001/SRR7188901/SRR7188901.fastq.gz	4ddfe3df4837d526fd47f65f18c215a6
SRR7188902	SRX4105626	SAMN09230306	PEIUGR16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188902/SRR7188902.fastq.gz	d504a44f2715f584ab99c7bf4c4095dd
SRR7188912	SRX4105636	SAMN09230226	IUGR6	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188912/SRR7188912.fastq.gz	d5b8804c4566cb16c1701178733c4c5e
SRR7188913	SRX4105637	SAMN09230225	IUGR7	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188913/SRR7188913.fastq.gz	cfe4c63ded49482876355667871d6b8a
SRR7188918	SRX4105642	SAMN09230220	IUGR12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188918/SRR7188918.fastq.gz	e5fec285ca5cdb301371f026cb320cee
SRR7188922	SRX4105646	SAMN09230216	IUGR16	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/002/SRR7188922/SRR7188922.fastq.gz	6b1a6837262849574759e036a3c020b6
SRR7188924	SRX4105648	SAMN09230214	IUGR18	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188924/SRR7188924.fastq.gz	7bc84868b870edfc97042a9171984488
SRR7188846	SRX4105570	SAMN09230304	Control1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188846/SRR7188846.fastq.gz	cb6ef91644a67065593200bbe29b6ee4
SRR7188849	SRX4105573	SAMN09230301	Control4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188849/SRR7188849.fastq.gz	cad04650f42cc6052ef7fadeff4c2f89
SRR7188855	SRX4105579	SAMN09230295	Control10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/005/SRR7188855/SRR7188855.fastq.gz	21dc2cf4fff4114a8acf1f479c3c66d0
SRR7188856	SRX4105580	SAMN09230294	Control11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188856/SRR7188856.fastq.gz	8b42d31223256f5c4c9414524bf5c7b0
SRR7188859	SRX4105583	SAMN09230291	Control14	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/009/SRR7188859/SRR7188859.fastq.gz	19b2fea365ad172d399e955e681477e1
SRR7188866	SRX4105590	SAMN09230284	Control21	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188866/SRR7188866.fastq.gz	4eed44995cf9b0849b157206e8bc7e69
SRR7188877	SRX4105601	SAMN09230263	PE11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188877/SRR7188877.fastq.gz	c0ad8f08d9d71a08ca5ec2be9a336ca1
SRR7188878	SRX4105602	SAMN09230262	PE12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188878/SRR7188878.fastq.gz	96a62a8c36dfe970f1193401c0e5d5a6
SRR7188888	SRX4105612	SAMN09230252	PEIUGR2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/008/SRR7188888/SRR7188888.fastq.gz	64013942c5564d5f8f19df35f7f8d8d8
SRR7188893	SRX4105617	SAMN09230247	PEIUGR7	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188893/SRR7188893.fastq.gz	2a4ef26174238620e47167ba2e684979
SRR7188894	SRX4105618	SAMN09230246	PEIUGR8	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188894/SRR7188894.fastq.gz	79fe8a65300b865ba9a47d059dfdada9
SRR7188897	SRX4105621	SAMN09230243	PEIUGR11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/007/SRR7188897/SRR7188897.fastq.gz	938dc2043dcab468de010a4b0f7454b8
SRR7188903	SRX4105627	SAMN09230305	PEIUGR17	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188903/SRR7188903.fastq.gz	cd7b8a82fa323c1ee578ce7eff4ab18f
SRR7188904	SRX4105628	SAMN09230232	PEIUGR18	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188904/SRR7188904.fastq.gz	0f58da8445d0519331cda3f4ede3b94b
SRR7188906	SRX4105630	SAMN09230310	PEIUGR20	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188906/SRR7188906.fastq.gz	dd51628fba1185ed81e2318edf50f87e
SRR7188910	SRX4105634	SAMN09230228	IUGR4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/000/SRR7188910/SRR7188910.fastq.gz	14e0aa3840c2aca857f3bc5b9a79f299
SRR7188914	SRX4105638	SAMN09230224	IUGR8	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/004/SRR7188914/SRR7188914.fastq.gz	8332f6b7bb9f6610516e6683392c4376
SRR7188916	SRX4105640	SAMN09230222	IUGR10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/006/SRR7188916/SRR7188916.fastq.gz	b0ff5694d9dbcff479be67bf91cd79d0
SRR7188923	SRX4105647	SAMN09230215	IUGR17	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR718/003/SRR7188923/SRR7188923.fastq.gz	1d560f68227a189d9064431d1bc07d06
