run_accession	experiment_accession	sample_accession	sample_title	scientific_name	library_strategy	library_source	library_selection	fastq_ftp	fastq_md5
SRR9298757	SRX6068093	SAMN12052539	BPH_1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298757/SRR9298757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298757/SRR9298757_2.fastq.gz	8c4edf15ca8ff13bb78f58bd77f69ecb;a48ab41f0a6d04032b28da558197ff9d
SRR9298760	SRX6068096	SAMN12052536	BPH_4	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/000/SRR9298760/SRR9298760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/000/SRR9298760/SRR9298760_2.fastq.gz	0dfc90d60efe2ea4b26a0e8eb1cbf356;a5f147b502bd001d8426fd9db0886054
SRR9298761	SRX6068097	SAMN12052547	BPH_5	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/001/SRR9298761/SRR9298761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/001/SRR9298761/SRR9298761_2.fastq.gz	ddf01952dd5cc5a835c800f943ba534d;5fad88477ed49db32b324da74ed08484
SRR9298767	SRX6068103	SAMN12052535	BPH_11	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298767/SRR9298767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298767/SRR9298767_2.fastq.gz	08b5456b1cb34813de6a53cb3964ce6d;fb32df1b571090dc9c1371c43e3c582f
SRR9298773	SRX6068109	SAMN12052529	BPH_17	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/003/SRR9298773/SRR9298773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/003/SRR9298773/SRR9298773_2.fastq.gz	696d92610bd59a435857c79f0c118eed;69294d14d6a85fbd96de8de51c1f95aa
SRR9298777	SRX6068113	SAMN12052525	Ctrl_3	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298777/SRR9298777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/007/SRR9298777/SRR9298777_2.fastq.gz	a30ed1de11558c16681c23f936d755b0;fe9b88750b66cd58259ec377ba496031
SRR9298766	SRX6068102	SAMN12052542	BPH_10	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/006/SRR9298766/SRR9298766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/006/SRR9298766/SRR9298766_2.fastq.gz	11fb23d7aed0319a19e0be6eadbd923f;5f8dccc4d88ffd05cb22830a0c36468d
SRR9298775	SRX6068111	SAMN12052527	Ctrl_1	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/005/SRR9298775/SRR9298775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/005/SRR9298775/SRR9298775_2.fastq.gz	984fcb389d93d5410000cdaeedf54381;3fbf5d7bfd03ad67bc833758c9ee5849
SRR9298776	SRX6068112	SAMN12052526	Ctrl_2	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/006/SRR9298776/SRR9298776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/006/SRR9298776/SRR9298776_2.fastq.gz	387e586e0ad57cc9b57a7bf449ac0cf6;7e7e7930f9ffd98f858532e803245bf5
SRR9298762	SRX6068098	SAMN12052546	BPH_6	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/002/SRR9298762/SRR9298762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/002/SRR9298762/SRR9298762_2.fastq.gz	afb81ace8abc9ee29353348094a3b3b7;e1a7ac52efc591d55886e5a019a06456
SRR9298764	SRX6068100	SAMN12052544	BPH_8	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/004/SRR9298764/SRR9298764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/004/SRR9298764/SRR9298764_2.fastq.gz	0fba0eed9f62ef1aa56c106bb19ef18b;12fce25ef4317a0ddfb19e32b609f298
SRR9298768	SRX6068104	SAMN12052534	BPH_12	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298768/SRR9298768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR929/008/SRR9298768/SRR9298768_2.fastq.gz	29a687e126c1b8234178a75a26f32ca8;f274cb5fad39af7f5d31761e7030a792
