Model,candidate_lambda,inner_mean_logloss,selected,ConnGroup
ME_P,0.05,0.578122591239645,FALSE,3
ME_P,0.1,0.578121647475141,FALSE,3
ME_P,0.3,0.578117881189388,FALSE,3
ME_P,1,0.578104809379088,TRUE,3
ME2P,0.05,0.608223045524757,FALSE,3
ME2P,0.1,0.608219530419779,FALSE,3
ME2P,0.3,0.608205485439225,FALSE,3
ME2P,1,0.608156521957832,TRUE,3
XEN,0.05,0.706830042023033,FALSE,3
XEN,0.1,0.706827243971447,FALSE,3
XEN,0.3,0.706816057075373,FALSE,3
XEN,1,0.706776969716407,TRUE,3
MP_cal,0.05,0.571737871037758,TRUE,4
MP_cal,0.1,0.571738063476831,FALSE,4
MP_cal,0.3,0.571738839102277,FALSE,4
MP_cal,1,0.571741627516352,FALSE,4
ME,0.05,0.671375920646965,FALSE,4
ME,0.1,0.671375381076742,FALSE,4
ME,0.3,0.671373223982807,FALSE,4
ME,1,0.67136568908497,TRUE,4
ME2,0.05,0.693524348708317,FALSE,4
ME2,0.1,0.693522927749182,FALSE,4
ME2,0.3,0.693517246294391,FALSE,4
ME2,1,0.693497391158573,TRUE,4
ME_P,0.05,0.579414771152321,FALSE,4
ME_P,0.1,0.579413946437855,FALSE,4
ME_P,0.3,0.579410655900669,FALSE,4
ME_P,1,0.579399243543675,TRUE,4
ME2P,0.05,0.610008290788455,FALSE,4
ME2P,0.1,0.610004936067892,FALSE,4
ME2P,0.3,0.60999153193108,FALSE,4
ME2P,1,0.609944802692958,TRUE,4
XEN,0.05,0.709218132116589,FALSE,4
XEN,0.1,0.709215637699146,FALSE,4
XEN,0.3,0.709205664309868,FALSE,4
XEN,1,0.709170811282924,TRUE,4
MP_cal,0.05,0.570093272995548,TRUE,5
MP_cal,0.1,0.570093423710111,FALSE,5
MP_cal,0.3,0.570094032985844,FALSE,5
MP_cal,1,0.570096246060174,FALSE,5
ME,0.05,0.675249907683893,FALSE,5
ME,0.1,0.675249406698165,FALSE,5
ME,0.3,0.675247403815447,FALSE,5
ME,1,0.67524040706272,TRUE,5
ME2,0.05,0.696802753829613,FALSE,5
ME2,0.1,0.696801384763883,FALSE,5
ME2,0.3,0.696795910784149,FALSE,5
ME2,1,0.696776780571119,TRUE,5
ME_P,0.05,0.577939278198209,FALSE,5
ME_P,0.1,0.5779383893969,FALSE,5
ME_P,0.3,0.577934843284485,FALSE,5
ME_P,1,0.577922546105392,TRUE,5
ME2P,0.05,0.608741346094799,FALSE,5
ME2P,0.1,0.608737801827184,FALSE,5
ME2P,0.3,0.60872364081707,FALSE,5
ME2P,1,0.608674279027058,TRUE,5
XEN,0.05,0.712799133733658,FALSE,5
XEN,0.1,0.712796685932189,FALSE,5
XEN,0.3,0.712786898909544,FALSE,5
XEN,1,0.712752696942202,TRUE,5
MP_cal,0.05,0.569568753752291,TRUE,6
MP_cal,0.1,0.569568932742902,FALSE,6
MP_cal,0.3,0.569569655480294,FALSE,6
MP_cal,1,0.56957227014985,FALSE,6
ME,0.05,0.677873905748203,FALSE,6
ME,0.1,0.67787347591509,FALSE,6
ME,0.3,0.677871757428015,FALSE,6
ME,1,0.677865753358479,TRUE,6
ME2,0.05,0.680230902814413,FALSE,6
ME2,0.1,0.680230071474417,FALSE,6
ME2,0.3,0.680226748552217,FALSE,6
ME2,1,0.680215148967203,TRUE,6
ME_P,0.05,0.576636583224469,FALSE,6
ME_P,0.1,0.576635966988499,FALSE,6
ME_P,0.3,0.576633510749355,FALSE,6
ME_P,1,0.576625023243815,TRUE,6
ME2P,0.05,0.583903741625908,FALSE,6
ME2P,0.1,0.583901934451973,FALSE,6
ME2P,0.3,0.583894718738862,FALSE,6
ME2P,1,0.583869626792446,TRUE,6
XEN,0.05,0.670611371101701,FALSE,6
XEN,0.1,0.670611173574442,FALSE,6
XEN,0.3,0.670610385127981,FALSE,6
XEN,1,0.670607646449181,TRUE,6
MP_cal,0.05,0.579455884361759,FALSE,7
MP_cal,0.1,0.579455680997029,FALSE,7
MP_cal,0.3,0.579454875096107,FALSE,7
MP_cal,1,0.579452149364693,TRUE,7
ME,0.05,0.668453037832254,FALSE,7
ME,0.1,0.668452715481685,FALSE,7
ME,0.3,0.668451426935766,FALSE,7
ME,1,0.668446927797156,TRUE,7
ME2,0.05,0.667360734392364,FALSE,7
ME2,0.1,0.667360466124966,FALSE,7
ME2,0.3,0.667359394396672,FALSE,7
ME2,1,0.66735566020254,TRUE,7
ME_P,0.05,0.581743647818981,FALSE,7
ME_P,0.1,0.581742901143451,FALSE,7
ME_P,0.3,0.581739923377859,FALSE,7
ME_P,1,0.581729613434566,TRUE,7
ME2P,0.05,0.582629864516837,FALSE,7
ME2P,0.1,0.582628996816436,FALSE,7
ME2P,0.3,0.582625535528474,FALSE,7
ME2P,1,0.582613540502495,TRUE,7
XEN,0.05,0.665056781825915,FALSE,7
XEN,0.1,0.665056567262046,FALSE,7
XEN,0.3,0.665055710660061,FALSE,7
XEN,1,0.665052733322827,TRUE,7
MP_cal,0.05,0.579156177172659,FALSE,8
MP_cal,0.1,0.579155761495005,FALSE,8
MP_cal,0.3,0.57915410629474,FALSE,8
MP_cal,1,0.579148407433392,TRUE,8
ME,0.05,0.667546389889887,FALSE,8
ME,0.1,0.667545956850788,FALSE,8
ME,0.3,0.66754422575024,FALSE,8
ME,1,0.667538180180332,TRUE,8
ME2,0.05,0.666658470730944,FALSE,8
ME2,0.1,0.666658107779658,FALSE,8
ME2,0.3,0.666656657408421,FALSE,8
ME2,1,0.666651599131628,TRUE,8
ME_P,0.05,0.581499734819432,FALSE,8
ME_P,0.1,0.581498740433111,FALSE,8
ME_P,0.3,0.581494771860926,FALSE,8
ME_P,1,0.581480994570559,TRUE,8
ME2P,0.05,0.582868506109527,FALSE,8
ME2P,0.1,0.5828673538645,FALSE,8
ME2P,0.3,0.582862754519709,FALSE,8
ME2P,1,0.582846777839717,TRUE,8
XEN,0.05,0.664016998024437,FALSE,8
XEN,0.1,0.664016779186612,FALSE,8
XEN,0.3,0.664015905277592,FALSE,8
XEN,1,0.664012864716313,TRUE,8
MP_cal,0.05,0.584319772351335,FALSE,9
MP_cal,0.1,0.58431947324842,FALSE,9
MP_cal,0.3,0.5843182836648,FALSE,9
MP_cal,1,0.58431420590053,TRUE,9
ME,0.05,0.672702705494271,FALSE,9
ME,0.1,0.672702429266454,FALSE,9
ME,0.3,0.672701325059948,FALSE,9
ME,1,0.672697469203237,TRUE,9
ME2,0.05,0.670779546166355,FALSE,9
ME2,0.1,0.670779359850159,FALSE,9
ME2,0.3,0.670778615711595,FALSE,9
ME2,1,0.670776025378334,TRUE,9
ME_P,0.05,0.586408829860169,FALSE,9
ME_P,0.1,0.586408009861033,FALSE,9
ME_P,0.3,0.586404737976065,FALSE,9
ME_P,1,0.586393388282548,TRUE,9
ME2P,0.05,0.586151548181508,FALSE,9
ME2P,0.1,0.586150695470982,FALSE,9
ME2P,0.3,0.586147293170637,FALSE,9
ME2P,1,0.58613549242037,TRUE,9
XEN,0.05,0.66965177618528,FALSE,9
XEN,0.1,0.669651608013677,FALSE,9
XEN,0.3,0.669650936679614,FALSE,9
XEN,1,0.669648603999212,TRUE,9
MP_cal,0.05,0.581897247584081,TRUE,10
MP_cal,0.1,0.581897844996208,FALSE,10
MP_cal,0.3,0.58190023886956,FALSE,10
MP_cal,1,0.581908670490738,FALSE,10
ME,0.05,0.666445518067281,FALSE,10
ME,0.1,0.666445063494005,FALSE,10
ME,0.3,0.666443246245293,FALSE,10
ME,1,0.666436899012426,TRUE,10
ME2,0.05,0.667873822779664,FALSE,10
ME2,0.1,0.667873421139827,FALSE,10
ME2,0.3,0.667871815970556,FALSE,10
ME2,1,0.667866215345792,TRUE,10
ME_P,0.05,0.585387263934954,TRUE,10
ME_P,0.1,0.585387379566545,FALSE,10
ME_P,0.3,0.585387847131968,FALSE,10
ME_P,1,0.585389546912384,FALSE,10
ME2P,0.05,0.58931163851315,FALSE,10
ME2P,0.1,0.589311477143752,FALSE,10
ME2P,0.3,0.589310837507558,FALSE,10
ME2P,1,0.589308672160699,TRUE,10
XEN,0.05,0.663618612246859,FALSE,10
XEN,0.1,0.663618311096359,FALSE,10
XEN,0.3,0.66361710811749,FALSE,10
XEN,1,0.66361291808181,TRUE,10
MP_cal,0.05,0.567307538486815,TRUE,11
MP_cal,0.1,0.567308216503693,FALSE,11
MP_cal,0.3,0.567310935726377,FALSE,11
MP_cal,1,0.567320542841653,FALSE,11
ME,0.05,0.668875768577507,FALSE,11
ME,0.1,0.66887540338454,FALSE,11
ME,0.3,0.668873943939748,FALSE,11
ME,1,0.668868852573168,TRUE,11
ME2,0.05,0.669531358243465,FALSE,11
ME2,0.1,0.669531193331625,FALSE,11
ME2,0.3,0.669530535093216,FALSE,11
ME2,1,0.66952824895857,TRUE,11
ME_P,0.05,0.566018532258927,TRUE,11
ME_P,0.1,0.566018744560466,FALSE,11
ME_P,0.3,0.566019602080842,FALSE,11
ME_P,1,0.566022707794433,FALSE,11
ME2P,0.05,0.569142916801688,TRUE,11
ME2P,0.1,0.569142969130061,FALSE,11
ME2P,0.3,0.56914318736823,FALSE,11
ME2P,1,0.569144063253956,FALSE,11
XEN,0.05,0.664363441007475,FALSE,11
XEN,0.1,0.664363238702384,FALSE,11
XEN,0.3,0.664362431948208,FALSE,11
XEN,1,0.664359639281212,TRUE,11
MP_cal,0.05,0.556332833146625,TRUE,12
MP_cal,0.1,0.556333828248995,FALSE,12
MP_cal,0.3,0.556337812952866,FALSE,12
MP_cal,1,0.556351813349602,FALSE,12
ME,0.05,0.654591912455326,FALSE,12
ME,0.1,0.654591609117922,FALSE,12
ME,0.3,0.654590397020843,FALSE,12
ME,1,0.654586170434294,TRUE,12
ME2,0.05,0.655686855044385,FALSE,12
ME2,0.1,0.655686447704496,FALSE,12
ME2,0.3,0.655684820007297,FALSE,12
ME2,1,0.655679143966915,TRUE,12
ME_P,0.05,0.553228182359871,TRUE,12
ME_P,0.1,0.553228799041229,FALSE,12
ME_P,0.3,0.55323127078918,FALSE,12
ME_P,1,0.553239984993401,FALSE,12
ME2P,0.05,0.554200987542457,TRUE,12
ME2P,0.1,0.554201525147088,FALSE,12
ME2P,0.3,0.554203680779019,FALSE,12
ME2P,1,0.554211290975402,FALSE,12
XEN,0.05,0.663190054030704,FALSE,12
XEN,0.1,0.663189384983965,FALSE,12
XEN,0.3,0.663186710810432,FALSE,12
XEN,1,0.663177376516011,TRUE,12
MP_cal,0.05,0.575001019371468,TRUE,13
MP_cal,0.1,0.57500174272352,FALSE,13
MP_cal,0.3,0.575004640102943,FALSE,13
MP_cal,1,0.575014830819882,FALSE,13
ME,0.05,0.675638534945794,FALSE,13
ME,0.1,0.675638229308915,FALSE,13
ME,0.3,0.675637007353189,FALSE,13
ME,1,0.67563273795468,TRUE,13
ME2,0.05,0.6793698099832,FALSE,13
ME2,0.1,0.679368745285169,FALSE,13
ME2,0.3,0.679364489550482,FALSE,13
ME2,1,0.679349632914498,TRUE,13
ME_P,0.05,0.578403538175249,TRUE,13
ME_P,0.1,0.578403958443684,FALSE,13
ME_P,0.3,0.578405643807689,FALSE,13
ME_P,1,0.578411596485033,FALSE,13
ME2P,0.05,0.583522230657375,FALSE,13
ME2P,0.1,0.583521781487782,FALSE,13
ME2P,0.3,0.583519992060173,FALSE,13
ME2P,1,0.583513820149122,TRUE,13
XEN,0.05,0.696845199685569,FALSE,13
XEN,0.1,0.696843693631502,FALSE,13
XEN,0.3,0.696837672349736,FALSE,13
XEN,1,0.696816634761017,TRUE,13
MP_cal,0.05,0.575031481938569,TRUE,14
MP_cal,0.1,0.575032200429536,FALSE,14
MP_cal,0.3,0.575035078750253,FALSE,14
MP_cal,1,0.57504520760311,FALSE,14
ME,0.05,0.678310289747667,FALSE,14
ME,0.1,0.678309981269577,FALSE,14
ME,0.3,0.678308748034135,FALSE,14
ME,1,0.678304440227235,TRUE,14
ME2,0.05,0.683754684592239,FALSE,14
ME2,0.1,0.683753604893715,FALSE,14
ME2,0.3,0.683749289156304,FALSE,14
ME2,1,0.683734222501192,TRUE,14
ME_P,0.05,0.577522750812636,TRUE,14
ME_P,0.1,0.577523152673841,FALSE,14
ME_P,0.3,0.577524764833445,FALSE,14
ME_P,1,0.577530466625708,FALSE,14
ME2P,0.05,0.583876879354954,FALSE,14
ME2P,0.1,0.583876503189293,FALSE,14
ME2P,0.3,0.583875005630305,FALSE,14
ME2P,1,0.583869853413911,TRUE,14
XEN,0.05,0.700208242226852,FALSE,14
XEN,0.1,0.700206595743555,FALSE,14
XEN,0.3,0.700200013192691,FALSE,14
XEN,1,0.700177016789527,TRUE,14
MP_cal,0.05,0.562071821164801,TRUE,15
MP_cal,0.1,0.562072133656913,FALSE,15
MP_cal,0.3,0.562073390256149,FALSE,15
MP_cal,1,0.562077871622348,FALSE,15
ME,0.05,0.659288425048183,FALSE,15
ME,0.1,0.659287875622074,FALSE,15
ME,0.3,0.659285679297663,FALSE,15
ME,1,0.659278009520866,TRUE,15
ME2,0.05,0.66085472323909,FALSE,15
ME2,0.1,0.6608530054913,FALSE,15
ME2,0.3,0.660846141287574,FALSE,15
ME2,1,0.660822201840626,TRUE,15
ME_P,0.05,0.5663199091256,FALSE,15
ME_P,0.1,0.566319534579927,FALSE,15
ME_P,0.3,0.566318044374927,FALSE,15
ME_P,1,0.566312928854192,TRUE,15
ME2P,0.05,0.571665744543519,FALSE,15
ME2P,0.1,0.571663768972544,FALSE,15
ME2P,0.3,0.571655882085619,FALSE,15
ME2P,1,0.571628471267591,TRUE,15
XEN,0.05,0.677716098842971,FALSE,15
XEN,0.1,0.677714003123179,FALSE,15
XEN,0.3,0.677705626873649,FALSE,15
XEN,1,0.677676393279604,TRUE,15
MP_cal,0.05,0.573404265135807,TRUE,16
MP_cal,0.1,0.573404289217948,FALSE,16
MP_cal,0.3,0.573404392038684,FALSE,16
MP_cal,1,0.573404833461364,FALSE,16
ME,0.05,0.679020438399729,FALSE,16
ME,0.1,0.679019534164217,FALSE,16
ME,0.3,0.67901591886101,FALSE,16
ME,1,0.679003285917561,TRUE,16
ME2,0.05,0.678718767838029,FALSE,16
ME2,0.1,0.678717448873217,FALSE,16
ME2,0.3,0.678712176749605,FALSE,16
ME2,1,0.678693771274504,TRUE,16
ME_P,0.05,0.582969161360309,FALSE,16
ME_P,0.1,0.582968222582684,FALSE,16
ME_P,0.3,0.582964475964334,FALSE,16
ME_P,1,0.582951469484298,TRUE,16
ME2P,0.05,0.584761103483773,FALSE,16
ME2P,0.1,0.584759642582775,FALSE,16
ME2P,0.3,0.584753809833119,FALSE,16
ME2P,1,0.58473353154163,TRUE,16
XEN,0.05,0.692749966601506,FALSE,16
XEN,0.1,0.692748392791535,FALSE,16
XEN,0.3,0.692742100780306,FALSE,16
XEN,1,0.692720119332504,TRUE,16
MP_cal,0.05,0.583789922010265,FALSE,17
MP_cal,0.1,0.583789652039911,FALSE,17
MP_cal,0.3,0.583788578524321,FALSE,17
MP_cal,1,0.58378490119511,TRUE,17
ME,0.05,0.676686895345394,FALSE,17
ME,0.1,0.67668597112977,FALSE,17
ME,0.3,0.676682275981245,FALSE,17
ME,1,0.676669364523678,TRUE,17
ME2,0.05,0.675982584347482,FALSE,17
ME2,0.1,0.6759812585423,FALSE,17
ME2,0.3,0.675975959156118,FALSE,17
ME2,1,0.675957459503883,TRUE,17
ME_P,0.05,0.592918205829866,FALSE,17
ME_P,0.1,0.592917051589269,FALSE,17
ME_P,0.3,0.592912442688442,FALSE,17
ME_P,1,0.59289641282531,TRUE,17
ME2P,0.05,0.593945864530168,FALSE,17
ME2P,0.1,0.59394429151586,FALSE,17
ME2P,0.3,0.593938009469928,FALSE,17
ME2P,1,0.593916148072246,TRUE,17
XEN,0.05,0.689972802159555,FALSE,17
XEN,0.1,0.689971210526841,FALSE,17
XEN,0.3,0.689964847409963,FALSE,17
XEN,1,0.689942619419018,TRUE,17
MP_cal,0.05,0.583162264592718,FALSE,18
MP_cal,0.1,0.58316194620407,FALSE,18
MP_cal,0.3,0.583160679318879,FALSE,18
MP_cal,1,0.583156329005298,TRUE,18
ME,0.05,0.675165468303695,FALSE,18
ME,0.1,0.67516449526777,FALSE,18
ME,0.3,0.675160604960445,FALSE,18
ME,1,0.675147011985971,TRUE,18
ME2,0.05,0.668026653030179,FALSE,18
ME2,0.1,0.668025148123012,FALSE,18
ME2,0.3,0.668019134025153,FALSE,18
ME2,1,0.667998154176471,TRUE,18
ME_P,0.05,0.592411942261879,FALSE,18
ME_P,0.1,0.592410767138118,FALSE,18
ME_P,0.3,0.592406074877744,FALSE,18
ME_P,1,0.592389755427232,TRUE,18
ME2P,0.05,0.5854152253093,FALSE,18
ME2P,0.1,0.585413620538632,FALSE,18
ME2P,0.3,0.58540721390523,FALSE,18
ME2P,1,0.585384946996861,TRUE,18
XEN,0.05,0.683417241941397,FALSE,18
XEN,0.1,0.683415818306253,FALSE,18
XEN,0.3,0.683410127506852,FALSE,18
XEN,1,0.683390256721876,TRUE,18
MP_cal,0.05,0.57858806834129,FALSE,19
MP_cal,0.1,0.578587732493369,FALSE,19
MP_cal,0.3,0.578586396031964,FALSE,19
MP_cal,1,0.578581805479823,TRUE,19
ME,0.05,0.672069560802871,FALSE,19
ME,0.1,0.672068758936222,FALSE,19
ME,0.3,0.672065553106262,FALSE,19
ME,1,0.672054353289203,TRUE,19
ME2,0.05,0.668280130238083,FALSE,19
ME2,0.1,0.668279032879449,FALSE,19
ME2,0.3,0.668274647216043,FALSE,19
ME2,1,0.668259344789828,TRUE,19
ME_P,0.05,0.584687278039675,FALSE,19
ME_P,0.1,0.584686259888419,FALSE,19
ME_P,0.3,0.584682195456516,FALSE,19
ME_P,1,0.584668072630852,TRUE,19
ME2P,0.05,0.581956421008658,FALSE,19
ME2P,0.1,0.581955088973679,FALSE,19
ME2P,0.3,0.581949771491229,FALSE,19
ME2P,1,0.581931294149321,TRUE,19
XEN,0.05,0.684987354345918,FALSE,19
XEN,0.1,0.684985990723116,FALSE,19
XEN,0.3,0.684980539324991,FALSE,19
XEN,1,0.684961498311246,TRUE,19
