Type,Model,dropped_group,LogLoss,AP
S2 (Train Drop),MP_cal,6,0.571992781785569,0.738295342091509
S2 (Train Drop),ME_P,6,0.577980599223758,0.742542657686312
S2 (Train Drop),ME2P,6,0.57842913046957,0.745631163589282
S2 (Train Drop),MP,7,0.574449438131492,0.693914346190901
S2 (Train Drop),MP_cal,7,0.572110915629688,0.693914346190901
S2 (Train Drop),ME_P,7,0.576754728488134,0.701017630867599
S2 (Train Drop),ME2P,7,0.597141385708929,0.701392042073983
S2 (Train Drop),MP,8,0.571186396261693,0.694046604515684
S2 (Train Drop),MP_cal,8,0.569096803701813,0.694046604515684
S2 (Train Drop),ME_P,8,0.573012937887599,0.702412604535677
S2 (Train Drop),ME2P,8,0.592930954114489,0.703148844962845
S2 (Train Drop),MP,9,0.577372391879915,0.701268354450592
S2 (Train Drop),MP_cal,9,0.575104342659326,0.701268354450592
S2 (Train Drop),ME_P,9,0.57907020604554,0.709538108393186
S2 (Train Drop),ME2P,9,0.597718148586521,0.709750402021765
S2 (Train Drop),MP,10,0.578851678779602,0.677998182441036
S2 (Train Drop),MP_cal,10,0.576208945853495,0.677998182441036
S2 (Train Drop),ME_P,10,0.581575248643257,0.689051221529664
S2 (Train Drop),ME2P,10,0.604097562059373,0.69063942985059
S2 (Train Drop),MP,11,0.581254465249784,0.709990726620664
S2 (Train Drop),MP_cal,11,0.576647360035302,0.709990726620664
S2 (Train Drop),ME_P,11,0.578595269218769,0.720634456580894
S2 (Train Drop),ME2P,11,0.603715299591666,0.718824331831057
S2 (Train Drop),MP,12,0.552555494934236,0.691255593620638
S2 (Train Drop),MP_cal,12,0.546335226192627,0.691255593620638
S2 (Train Drop),ME_P,12,0.535969044448618,0.697797962711392
S2 (Train Drop),ME2P,12,0.547295975284699,0.697293846173142
S2 (Train Drop),MP,13,0.577937160522986,0.693730413409136
S2 (Train Drop),MP_cal,13,0.569754684599932,0.693730413409136
S2 (Train Drop),ME_P,13,0.572967279266967,0.700850404993953
S2 (Train Drop),ME2P,13,0.592563094282117,0.700183340804798
S2 (Train Drop),MP,14,0.576393055109526,0.700904561206475
S2 (Train Drop),MP_cal,14,0.570335299419644,0.700904561206475
S2 (Train Drop),ME_P,14,0.571724657399006,0.709080875195701
S2 (Train Drop),ME2P,14,0.592662272508563,0.706928408963188
S2 (Train Drop),MP,15,0.561801449087417,0.694997551732037
S2 (Train Drop),MP_cal,15,0.555367460254388,0.694997551732037
S2 (Train Drop),ME_P,15,0.559739617279334,0.70374607455136
S2 (Train Drop),ME2P,15,0.580837538377862,0.698354963184884
S2 (Train Drop),MP,16,0.572634489494185,0.697230848201537
S2 (Train Drop),MP_cal,16,0.564976294010159,0.697230848201537
S2 (Train Drop),ME_P,16,0.568856950084737,0.704547103792571
S2 (Train Drop),ME2P,16,0.588640093257638,0.703908115979891
S2 (Train Drop),MP,17,0.578406687748315,0.688295150837528
S2 (Train Drop),MP_cal,17,0.569935564062593,0.688295150837528
S2 (Train Drop),ME_P,17,0.573810045900736,0.696814498410043
S2 (Train Drop),ME2P,17,0.59297738790342,0.696453628465735
S2 (Train Drop),MP,18,0.575722120288707,0.689936356466069
S2 (Train Drop),MP_cal,18,0.567396386267741,0.689936356466069
S2 (Train Drop),ME_P,18,0.571542097790055,0.697447545736517
S2 (Train Drop),ME2P,18,0.591250459166525,0.695567784137195
S2 (Train Drop),MP,19,0.572018812646402,0.691937328143118
S2 (Train Drop),MP_cal,19,0.56297365018959,0.691937328143118
S2 (Train Drop),ME_P,19,0.567156789095496,0.699804053368261
S2 (Train Drop),ME2P,19,0.588664912771623,0.700108501811823
