Model,selected_lambda,Feature,Coefficient,ConnGroup
ME2P,1,z_mod,-0.0907934945515116,10
ME2P,1,z_mp,0.898453052888798,10
XEN,1,(Intercept),-0.516479823708532,10
XEN,1,z_target_expr,0.311709133015398,10
XEN,1,z_mod,-0.129297129463185,10
XEN,1,z_ix,0.112917559264733,10
MP_cal,0.05,(Intercept),-0.354204999185114,11
MP_cal,0.05,z_mp,1.12894225672969,11
ME,1,(Intercept),-0.314318992687237,11
ME,1,z_target_expr,0.346027972037532,11
ME2,1,(Intercept),-0.30732319131895,11
ME2,1,z_target_expr,0.388892855105962,11
ME2,1,z_mod,-0.100328054669322,11
ME_P,0.05,(Intercept),-0.339785311641556,11
ME_P,0.05,z_target_expr,0.233252476339195,11
ME_P,0.05,z_mp,1.10184749201547,11
ME2P,0.05,(Intercept),-0.334463270241286,11
ME2P,0.05,z_target_expr,0.260836558339703,11
ME2P,0.05,z_mod,-0.0631383131715856,11
ME2P,0.05,z_mp,1.09958608861259,11
XEN,1,(Intercept),-0.368227419691915,11
XEN,1,z_target_expr,0.414885453382934,11
XEN,1,z_mod,-0.0862460666748969,11
XEN,1,z_ix,0.143439863019067,11
MP_cal,0.05,(Intercept),-0.535513914973599,12
MP_cal,0.05,z_mp,1.10947364447972,12
ME,1,(Intercept),-0.485783384002801,12
ME,1,z_target_expr,0.390986845859121,12
ME2,1,(Intercept),-0.484108612792615,12
ME2,1,z_target_expr,0.396233262553958,12
ME2,1,z_mod,-0.0177200521810633,12
ME_P,0.05,(Intercept),-0.53429993702626,12
ME_P,0.05,z_target_expr,0.267629537112114,12
ME_P,0.05,z_mp,1.076053713595,12
ME2P,0.05,(Intercept),-0.543175923905772,12
ME2P,0.05,z_target_expr,0.24385232388436,12
ME2P,0.05,z_mod,0.0772589120669392,12
ME2P,0.05,z_mp,1.08371674313059,12
XEN,1,(Intercept),-0.460054300436941,12
XEN,1,z_target_expr,0.389669640447231,12
XEN,1,z_mod,-0.00914058371095613,12
XEN,1,z_ix,-0.0909619587594378,12
MP_cal,0.05,(Intercept),-0.462556862267345,13
MP_cal,0.05,z_mp,1.04658273114796,13
ME,1,(Intercept),-0.41459375606966,13
ME,1,z_target_expr,0.254264093269181,13
ME2,1,(Intercept),-0.401895290341875,13
ME2,1,z_target_expr,0.324543393584753,13
ME2,1,z_mod,-0.184986178131425,13
ME_P,0.05,(Intercept),-0.459545366942511,13
ME_P,0.05,z_target_expr,0.125848992742617,13
ME_P,0.05,z_mp,1.02892031201414,13
ME2P,1,(Intercept),-0.446791155679375,13
ME2P,1,z_target_expr,0.180345245712189,13
ME2P,1,z_mod,-0.140838044270742,13
ME2P,1,z_mp,1.02129490149012,13
XEN,1,(Intercept),-0.43057362971091,13
XEN,1,z_target_expr,0.335831810092588,13
XEN,1,z_mod,-0.18085329951395,13
XEN,1,z_ix,0.0722388337221984,13
MP_cal,0.05,(Intercept),-0.420069979724256,14
MP_cal,0.05,z_mp,1.0681392759394,14
ME,1,(Intercept),-0.37779593665165,14
ME,1,z_target_expr,0.280879714917191,14
ME2,1,(Intercept),-0.367940956102232,14
ME2,1,z_target_expr,0.337608878554793,14
ME2,1,z_mod,-0.149706147212487,14
ME_P,0.05,(Intercept),-0.41624091880873,14
ME_P,0.05,z_target_expr,0.150796347137485,14
ME_P,0.05,z_mp,1.04686524674909,14
ME2P,1,(Intercept),-0.408236614828107,14
ME2P,1,z_target_expr,0.185727347994347,14
ME2P,1,z_mod,-0.0900258027531879,14
ME2P,1,z_mp,1.04023636965223,14
XEN,1,(Intercept),-0.407327943712365,14
XEN,1,z_target_expr,0.35490802587774,14
XEN,1,z_mod,-0.146540742741552,14
XEN,1,z_ix,0.100441743990802,14
MP_cal,0.05,(Intercept),-0.546406173267418,15
MP_cal,0.05,z_mp,1.05690463336455,15
ME,1,(Intercept),-0.502358084687138,15
ME,1,z_target_expr,0.324547936065916,15
ME2,1,(Intercept),-0.492799165640032,15
ME2,1,z_target_expr,0.414089932217166,15
ME2,1,z_mod,-0.238146896121791,15
ME_P,1,(Intercept),-0.544734381727596,15
ME_P,1,z_target_expr,0.172824833077859,15
ME_P,1,z_mp,1.02733087436897,15
ME2P,1,(Intercept),-0.532659349808367,15
ME2P,1,z_target_expr,0.251883904596761,15
ME2P,1,z_mod,-0.207289992790557,15
ME2P,1,z_mp,1.02115601469659,15
XEN,1,(Intercept),-0.540104023160096,15
XEN,1,z_target_expr,0.44046633877301,15
XEN,1,z_mod,-0.233391072996871,15
XEN,1,z_ix,0.116861708226103,15
MP_cal,0.05,(Intercept),-0.450824069568835,16
MP_cal,0.05,z_mp,1.01362427321599,16
ME,1,(Intercept),-0.411887125173736,16
ME,1,z_target_expr,0.252785689156391,16
ME2,1,(Intercept),-0.402978271173583,16
ME2,1,z_target_expr,0.319810923587007,16
ME2,1,z_mod,-0.173526698541985,16
ME_P,1,(Intercept),-0.448090970142148,16
ME_P,1,z_target_expr,0.111762108819817,16
ME_P,1,z_mp,0.994526176965617,16
ME2P,1,(Intercept),-0.438167392848716,16
ME2P,1,z_target_expr,0.166394592661458,16
ME2P,1,z_mod,-0.14003750643034,16
ME2P,1,z_mp,0.989745876221507,16
XEN,1,(Intercept),-0.438469571946147,16
XEN,1,z_target_expr,0.335209487008659,16
XEN,1,z_mod,-0.170419676737845,16
XEN,1,z_ix,0.0886829176476081,16
MP_cal,1,(Intercept),-0.450951768013774,17
MP_cal,1,z_mp,0.968264344711112,17
ME,1,(Intercept),-0.418548729184621,17
ME,1,z_target_expr,0.251542980270108,17
ME2,1,(Intercept),-0.409410783010482,17
ME2,1,z_target_expr,0.319451348119113,17
ME2,1,z_mod,-0.176120933466315,17
ME_P,1,(Intercept),-0.448025794248119,17
ME_P,1,z_target_expr,0.105596918384024,17
