ConnGroup,dropped_train_group,Model,N,Pos,AP_new,LogLoss_new,Brier_new,ROC_new,AP_orig,LogLoss_orig,Brier_orig,ROC_orig,diff_AP,diff_LogLoss,diff_Brier,diff_ROC
19,1,MP,323,172,0.854783487343382,0.580003650789143,0.195037579927685,0.818400585245649,0.854340229869587,0.583236574485018,0.196421938838919,0.817476513168027,0.0004432574737947,-0.00323292369587513,-0.00138435891123354,0.000924072077622129
2,1,MP_cal,280,21,0.61880951579528,0.512117524872813,0.169492294316061,0.910185695899982,0.618967467720808,0.511680905613815,0.169587350867771,0.909450266593124,-0.0001579519255277,0.000436619258998072,-9.50565517102708e-05,0.00073542930685766
3,1,MP_cal,146,39,0.613244102969514,0.587147539837909,0.20189936796075,0.78600527198658,0.634921249570518,0.58711678440151,0.201776274601967,0.790678169182842,-0.0216771466010036,3.0755436399299e-05,0.000123093358782661,-0.00467289719626152
4,1,MP_cal,146,25,0.477958615422131,0.570451838409884,0.19595742322275,0.764132231404959,0.507072153692925,0.570252950753273,0.19617228859426,0.768595041322314,-0.0291135382707944,0.00019888765661058,-0.000214865371509915,-0.00446280991735537
5,1,MP_cal,228,8,0.271024979725543,0.5767979537875,0.198869216534649,0.791477272727273,0.292081554191196,0.582861580946596,0.201778057726393,0.790056818181818,-0.0210565744656526,-0.0060636271590957,-0.00290884119174414,0.0014204545454547
6,1,MP_cal,276,5,0.0439086710023875,0.591201177577334,0.204200741694328,0.717712177121771,0.0445351791264003,0.597036273300108,0.206477625348077,0.721033210332103,-0.000626508124012846,-0.00583509572277452,-0.0022768836537494,-0.00332103321033173
7,1,MP_cal,561,257,0.812465102701266,0.548492982502565,0.182739364262684,0.816717438050379,0.809641730255759,0.551470493160351,0.184188321873093,0.812634394839238,0.00282337244550734,-0.00297751065778651,-0.00144895761040859,0.00408304321114084
8,1,MP_cal,320,157,0.819435031081986,0.565562504911893,0.189787100613515,0.794361298894143,0.816005108355322,0.568814984527702,0.191254512960473,0.791430581063655,0.00342992272666409,-0.00325247961580877,-0.00146741234695835,0.00293071783048737
9,1,MP_cal,288,82,0.629469714902251,0.530293079893026,0.175250502309368,0.774360644091878,0.630780549548471,0.530644716146234,0.175303372839258,0.775455837082643,-0.00131083464622017,-0.000351636253207555,-5.28705298900034e-05,-0.00109519299076521
10,1,MP_cal,677,358,0.91835339445927,0.491371177800976,0.15875291561847,0.917159944659463,0.921148186153207,0.492782856236411,0.159491018648133,0.918928740302271,-0.00279479169393726,-0.00141167843543483,-0.000738103029662596,-0.00176879564280796
11,1,MP_cal,1193,375,0.555264912609714,0.603502089977433,0.208808098997889,0.719957620211899,0.556786508886677,0.597096532017347,0.206054193610353,0.721066014669927,-0.00152159627696258,0.00640555796008557,0.00275390538753567,-0.00110839445802813
12,1,MP_cal,303,228,0.921170128649634,0.827654782751897,0.300721357809848,0.789649122807018,0.921265319834541,0.841754791973352,0.304909991105865,0.791023391812866,-9.5191184906529e-05,-0.0141000092214548,-0.00418863329601687,-0.00137426900584847
13,1,MP_cal,175,86,0.850498652077142,0.497909198154351,0.162722685537444,0.872484975176378,0.842616443006938,0.497069748390844,0.163249890341954,0.868630781290828,0.00788220907020432,0.000839449763506528,-0.000527204804510156,0.00385419388555031
14,1,MP_cal,177,28,0.68585175051153,0.512265692320428,0.169401730738702,0.920182166826462,0.675545566033652,0.502499111494608,0.165933775225944,0.919103547459252,0.0103061844778779,0.0097665808258196,0.00346795551275758,0.0010786193672101
15,1,MP_cal,627,384,0.874421211746346,0.687513855069846,0.244246179715145,0.814520104595336,0.875118076715491,0.692868315326095,0.245717115929365,0.815725737311385,-0.00069686496914545,-0.00535446025624953,-0.00147093621422012,-0.0012056327160489
16,1,MP_cal,193,90,0.786187889466599,0.568969745544614,0.190762079330381,0.780960086299892,0.778268195285482,0.572848608732251,0.192610539287929,0.775728155339806,0.00791969418111693,-0.00387886318763731,-0.00184845995754776,0.00523193096008612
17,1,MP_cal,287,141,0.910411514719267,0.494624483166076,0.16007096264109,0.910667443893909,0.91014612933295,0.495486239147011,0.16045109145637,0.909963081706014,0.00026538538631693,-0.000861755980935353,-0.00038012881528024,0.000704362187894492
18,1,MP_cal,432,230,0.901670781789127,0.534629748097588,0.178239262710098,0.88852776582006,0.901948090038083,0.536129899104109,0.178809491974435,0.888570813603099,-0.000277308248955444,-0.00150015100652101,-0.00057022926433678,-4.30477830386522e-05
19,1,MP_cal,323,172,0.854783487343382,0.598101944118262,0.204398325201858,0.818400585245649,0.854340229869587,0.59776293728645,0.204427678047874,0.817476513168027,0.0004432574737947,0.000339006831811872,-2.93528460164894e-05,0.000924072077622129
2,1,ME,280,21,0.352545471617468,0.528803836270665,0.169429410496138,0.830299687442545,0.352545471617468,0.52291730782217,0.166655053545391,0.830299687442545,-3.88578058618805e-16,0.00588652844849447,0.00277435695074726,-4.44089209850063e-16
3,1,ME,146,39,0.627640986501488,0.613648930106986,0.21075082558228,0.780254013898874,0.627640986501488,0.610935013062588,0.209442921752146,0.780254013898874,-3.33066907387547e-16,0.00271391704439827,0.00130790383013377,-3.33066907387547e-16
4,1,ME,146,25,0.270445997467497,0.547705135002303,0.17915433365927,0.625454545454546,0.270445997467497,0.544038083938858,0.177471926458478,0.625454545454546,4.44089209850063e-16,0.00366705106344467,0.0016824072007921,-5.55111512312578e-16
5,1,ME,228,8,0.14653932334428,0.498757757172603,0.15487000002683,0.817045454545455,0.14653932334428,0.492204016654421,0.151805923534161,0.817045454545455,2.4980018054066e-16,0.00655374051818164,0.00306407649266907,-4.44089209850063e-16
6,1,ME,276,5,0.0694705677464298,0.469003722645877,0.14073890951879,0.677490774907749,0.0694705677464298,0.461096203356855,0.137101733540443,0.677490774907749,1.38777878078145e-17,0.00790751928902217,0.00363717597834676,1.11022302462516e-16
7,1,ME,561,257,0.622320050323158,0.681109221511659,0.244072682290261,0.643124104034405,0.622320050323158,0.681918513715047,0.244466259296513,0.643124104034405,2.22044604925031e-16,-0.000809292203387657,-0.000393577006252338,1.11022302462516e-16
8,1,ME,320,157,0.546521562334421,0.721608533591794,0.263365413677699,0.558047751162518,0.546521562334421,0.723934665119574,0.264410764209395,0.558047751162518,1.11022302462516e-16,-0.0023261315277805,-0.00104535053169585,0
9,1,ME,288,82,0.534064545668899,0.602111020236132,0.20550954392132,0.727563343594601,0.534064545668899,0.59976278937235,0.204424316111453,0.727563343594601,2.22044604925031e-16,0.00234823086378222,0.00108522780986658,0
10,1,ME,677,358,0.60951279599075,0.706366277247582,0.256482492489976,0.588982679812963,0.60951279599075,0.707898866258615,0.257213405461652,0.588982679812963,4.44089209850063e-16,-0.00153258901103337,-0.000730912971676545,0
