ReferenceKey,Ensembl,QsmoothA,UnsmoothedLog2TPM,Symbol,GroupID,Samples,SharedReference,RowOrder,PXD,SampleGroup,Category,KlaLabelEn,RNALabel,PlotLabel,GeneZ
GSE103520_MCF10A_control,ENSG00000115159,3.63882582030186,3.63882582030186,GPD2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.399928045214642
GSE103520_MCF10A_control,ENSG00000116288,4.43811337618504,4.43811337618504,PARK7,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.95884195020138
GSE103520_MCF10A_control,ENSG00000117118,4.84891786769427,4.84891786769427,SDHB,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.05339263918691
GSE103520_MCF10A_control,ENSG00000118596,3.37141375746601,3.37141375746601,SLC16A7,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,0.905502576302414
GSE103520_MCF10A_control,ENSG00000119689,3.06233600676948,3.06233600676948,DLST,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.3693976908239
GSE103520_MCF10A_control,ENSG00000120053,4.37789109064174,4.37789109064174,GOT1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.17402962576281
GSE103520_MCF10A_control,ENSG00000123836,1.86942905376841,1.86942905376841,PFKFB2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.657798258432688
GSE103520_MCF10A_control,ENSG00000124253,-0.999999962210558,-1,PCK1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.333871506656182
GSE103520_MCF10A_control,ENSG00000124532,2.71525837568976,2.71525837568976,MRS2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.27046634495391
GSE103520_MCF10A_control,ENSG00000124608,0.701128503692154,0.701128503692154,AARS2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.45465778548556
GSE103520_MCF10A_control,ENSG00000124767,4.5056851587674,4.5056851587674,GLO1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.9881051438011
GSE103520_MCF10A_control,ENSG00000128272,5.43271215118761,5.43271215118761,ATF4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.61913606655022
GSE103520_MCF10A_control,ENSG00000130957,-0.952975748776847,-0.952975748776847,FBP2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.739441054603743
GSE103520_MCF10A_control,ENSG00000131069,2.34660222701748,2.34660222701748,ACSS2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.58402357128578
GSE103520_MCF10A_control,ENSG00000131482,-0.999999962210558,-1,G6PC1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.290021850329798
GSE103520_MCF10A_control,ENSG00000131828,3.28256432499448,3.28256432499448,PDHA1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.50185221258671
GSE103520_MCF10A_control,ENSG00000132326,0.464728921987211,0.464728921987211,PER2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.74007205236838
GSE103520_MCF10A_control,ENSG00000134056,1.80445151076936,1.80445151076936,KGD4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.18091843158334
GSE103520_MCF10A_control,ENSG00000134333,7.39519545709965,7.39519545709965,LDHA,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.485665363618371
GSE103520_MCF10A_control,ENSG00000135094,-0.968922051027413,-0.968922051027413,SDS,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.657810693980065
GSE103520_MCF10A_control,ENSG00000136143,2.46085039447285,2.46085039447285,SUCLA2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.06639345738461
GSE103520_MCF10A_control,ENSG00000136872,-0.880724928155739,-0.880724928155739,ALDOB,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.323751749458033
GSE103520_MCF10A_control,ENSG00000137700,1.03643572295584,1.03643572295584,SLC37A4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.66546243522587
GSE103520_MCF10A_control,ENSG00000138030,0.00562092569955045,0.00562092569955045,KHK,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.36859690310801
GSE103520_MCF10A_control,ENSG00000138207,-0.999999962210558,-1,RBP4,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.78608519632903
GSE103520_MCF10A_control,ENSG00000138400,-0.829063551948169,-0.829063551948169,MDH1B,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.34046682266632
GSE103520_MCF10A_control,ENSG00000138413,3.05743779197991,3.05743779197991,IDH1,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-2.16978858231517
GSE103520_MCF10A_control,ENSG00000141349,2.95048417943031,2.95048417943031,G6PC3,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.714767770380364
GSE103520_MCF10A_control,ENSG00000141526,1.17420830524558,1.17420830524558,SLC16A3,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-0.846272699485573
GSE103520_MCF10A_control,ENSG00000141959,0.657822638543744,0.657822638543744,PFKL,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-3.33222251482668
GSE103520_MCF10A_control,ENSG00000143158,3.85918786801583,3.85918786801583,MPC2,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.6207934361708
GSE103520_MCF10A_control,ENSG00000143252,4.19178208184882,4.19178208184882,SDHC,KLA31_29,3,FALSE,32,PXD060185,MCF10A,normal_cells,MCF10A cells,MCF10A control,29 MCF10A control,-1.91821613491463
