Ensembl,ReferenceKey,SampleN,MedianB,Q25,Q75,Min,Max
ENSG00000091140,GSE103520_MCF10A_control,3,5.06190835642578,5.03081314990678,5.07474484198952,4.99971794338777,5.08758132755325
ENSG00000091483,GSE103520_MCF10A_control,3,3.59101461057234,3.56227584317666,3.62001304538219,3.53353707578097,3.64901148019203
ENSG00000100156,GSE103520_MCF10A_control,3,-0.284220901160473,-0.638802660343036,-0.255660369086904,-0.993384419525598,-0.227099837013335
ENSG00000100412,GSE103520_MCF10A_control,3,2.32724080734432,2.28108767424007,2.35731549905052,2.23493454113582,2.38739019075672
ENSG00000100504,GSE103520_MCF10A_control,3,4.77839454725301,4.77092747407131,4.80629962914622,4.76346040088961,4.83420471103942
ENSG00000100889,GSE103520_MCF10A_control,3,3.19149972423364,3.17785714429672,3.31458244629348,3.16421456435979,3.43766516835331
ENSG00000100994,GSE103520_MCF10A_control,3,4.71002727841816,4.70695174116191,4.7560961898935,4.70387620390565,4.80216510136883
ENSG00000101365,GSE103520_MCF10A_control,3,3.41316560352136,3.25407830415803,3.46142879683181,3.09499100479471,3.50969199014226
ENSG00000102144,GSE103520_MCF10A_control,3,5.68436504958775,5.64132466909552,5.69917916656285,5.59828428860329,5.71399328353795
ENSG00000104635,GSE103520_MCF10A_control,3,4.99234561877953,4.94773420052597,4.99807443254505,4.9031227822724,5.00380324631057
ENSG00000105220,GSE103520_MCF10A_control,3,3.28013826087212,3.25767833741096,3.31797093391771,3.23521841394979,3.35580360696329
ENSG00000105679,GSE103520_MCF10A_control,3,0.938414197499323,0.82116233273466,1.16664147271329,0.703910467969997,1.39486874792725
ENSG00000105953,GSE103520_MCF10A_control,3,3.41427997982199,3.29712440311975,3.4717247286148,3.17996882641751,3.52916947740761
ENSG00000106633,GSE103520_MCF10A_control,3,-0.954756471797232,-0.957217128785333,-0.852312976327657,-0.959677785773435,-0.749869480858082
ENSG00000108515,GSE103520_MCF10A_control,3,4.08102548114319,3.85799179403141,4.12102909286282,3.63495810691962,4.16103270458245
ENSG00000108528,GSE103520_MCF10A_control,3,2.25426085438198,2.17018325267499,2.36257682532309,2.086105650968,2.4708927962642
ENSG00000109107,GSE103520_MCF10A_control,3,1.21448244375604,1.19444915348462,1.28954116491713,1.1744158632132,1.36459988607821
ENSG00000109819,GSE103520_MCF10A_control,3,-0.657782698103858,-0.704059613461264,-0.653106388488487,-0.75033652881867,-0.648430078873115
ENSG00000111640,GSE103520_MCF10A_control,3,11.1040845885845,11.0224560384267,11.2062283632464,10.9408274882688,11.3083721379083
ENSG00000111669,GSE103520_MCF10A_control,3,5.43308509751098,5.37690921541236,5.44240443340359,5.32073333331374,5.45172376929619
ENSG00000111674,GSE103520_MCF10A_control,3,-0.597508044913075,-0.660603776525679,-0.468022478409421,-0.723699508138282,-0.338536911905768
ENSG00000111716,GSE103520_MCF10A_control,3,8.42494160530699,8.37368570085066,8.45433482148854,8.32242979639433,8.4837280376701
ENSG00000112992,GSE103520_MCF10A_control,3,2.52512757113693,2.51806379012554,2.69787443923367,2.51100000911415,2.87062130733041
ENSG00000114021,GSE103520_MCF10A_control,3,2.3800385770329,2.34270630135028,2.40734280954126,2.30537402566766,2.43464704204962
ENSG00000114268,GSE103520_MCF10A_control,3,0.139701022325122,0.0915200397744159,0.326652079356045,0.0433390572237098,0.513603136386968
ENSG00000115159,GSE103520_MCF10A_control,3,4.31214269497456,4.24778177854916,4.40104738171603,4.18342086212376,4.4899520684575
ENSG00000116288,GSE103520_MCF10A_control,3,5.15343670029191,5.0882382222844,5.27813679334337,5.02303974427688,5.40283688639483
ENSG00000117118,GSE103520_MCF10A_control,3,5.56497309533323,5.5263804335751,5.68219365674694,5.48778777181697,5.79941421816065
ENSG00000118596,GSE103520_MCF10A_control,3,4.02449326302443,3.91710742477731,4.02928101430578,3.80972158653019,4.03406876558713
ENSG00000119689,GSE103520_MCF10A_control,3,3.7228251898528,3.6997555916015,3.74470521012049,3.67668599335019,3.76658523038818
ENSG00000120053,GSE103520_MCF10A_control,3,5.09758548922993,5.0153759297115,5.18320546529106,4.93316637019306,5.26882544135219
ENSG00000123836,GSE103520_MCF10A_control,3,2.46683170373398,2.43684937945445,2.50293626244066,2.40686705517491,2.53904082114733
ENSG00000124253,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.926357376170716,-0.980562277137445,-0.893036966567996
ENSG00000124532,GSE103520_MCF10A_control,3,3.32512407071281,3.30655600195549,3.39458998247237,3.28798793319816,3.46405589423192
ENSG00000124608,GSE103520_MCF10A_control,3,1.34860626320189,1.32598648171589,1.37950231148817,1.30336670022988,1.41039835977445
ENSG00000124767,GSE103520_MCF10A_control,3,5.23047771170866,5.22412067671645,5.28372331218735,5.21776364172423,5.33696891266603
ENSG00000128272,GSE103520_MCF10A_control,3,6.25924080635728,6.2085282810584,6.26326259457916,6.15781575575951,6.26728438280103
ENSG00000130957,GSE103520_MCF10A_control,3,-0.722500215575929,-0.841089000674682,-0.548670250115386,-0.959677785773435,-0.374840284654843
ENSG00000131069,GSE103520_MCF10A_control,3,2.94759285339325,2.92920499512146,3.13635846205303,2.91081713684966,3.32512407071281
ENSG00000131482,GSE103520_MCF10A_control,3,-0.959677785773435,-0.97012003145544,-0.914998915147165,-0.980562277137445,-0.870320044520895
ENSG00000131828,GSE103520_MCF10A_control,3,3.92331795735145,3.91504729827231,3.9266842054496,3.90677663919317,3.93005045354776
ENSG00000132326,GSE103520_MCF10A_control,3,1.18458521917181,1.09684904877865,1.51334930111638,1.00911287838549,1.84211338306094
ENSG00000134056,GSE103520_MCF10A_control,3,2.45377658519179,2.4267461626263,2.49609096524045,2.39971574006081,2.5384053452891
