Model,Candidate,Intercept,Slope,Gradient,UnseenRate,Dropped,Test
SHRINK_CAL,row_8,-0.180306384011915,1.17937778945238,4.16667749003001e-07,0.00167644593461861,9,11
SHRINK,group_2,0,1,,0,9,12
SHRINK_CAL,row_8,-0.161559265059507,1.1046757865023,8.15900825922034e-07,0,9,12
SHRINK,row_8,0,1,,0,9,13
SHRINK_CAL,row_8,-0.169755991341083,1.03444783440587,1.62082483841754e-08,0,9,13
SHRINK,group_2,0,1,,0,9,14
SHRINK_CAL,row_8,-0.113287607730713,1.13665676383655,4.03739634813441e-07,0,9,14
SHRINK,row_8,0,1,,0.00318979266347687,9,15
SHRINK_CAL,row_8,-0.109906323727961,1.14454701930812,1.94370399632057e-06,0.00318979266347687,9,15
SHRINK,row_8,0,1,,0,9,16
SHRINK_CAL,row_8,-0.141849830865053,1.13714626205833,6.11392231410164e-07,0,9,16
SHRINK,row_8,0,1,,0,9,17
SHRINK_CAL,row_8,-0.149999615184517,1.11558290033351,1.23864727566013e-08,0,9,17
SHRINK,row_8,0,1,,0,9,18
SHRINK_CAL,row_8,-0.130893466974862,1.13324063957447,1.15978989250211e-06,0,9,18
SHRINK,row_8,0,1,,0.00619195046439629,9,19
SHRINK_CAL,row_8,-0.137382215186742,1.14667957640545,9.26872313453165e-07,0.00619195046439629,9,19
SHRINK,row_8,0,1,,0,10,1
SHRINK_CAL,row_8,-0.0884653987768046,1.16011106362305,1.68607669017821e-06,0,10,1
SHRINK,row_8,0,1,,0.00357142857142857,10,2
SHRINK_CAL,row_8,-0.0930288052524657,1.18043829055694,6.51261640713494e-07,0.00357142857142857,10,2
SHRINK,group_2,0,1,,0,10,3
SHRINK_CAL,original,-0.314369333149483,0.867644524388987,2.04669893772531e-06,0,10,3
SHRINK,group_2,0,1,,0,10,4
SHRINK_CAL,row_8,-0.0749641032671689,1.17627355372344,6.47033096045702e-07,0,10,4
SHRINK,group_2,0,1,,0,10,5
