ConnGroup,LogLoss,Model,Candidate,InnerFold,OuterGroup
3,0.569118113624,SHRINK,group_32,4,1
10,0.617189380296501,SHRINK,group_32,4,1
2,0.48566099958236,SHRINK_CAL,group_32,4,1
3,0.560362006433094,SHRINK_CAL,group_32,4,1
10,0.610369791640257,SHRINK_CAL,group_32,4,1
11,0.588533438606797,SHRINK,group_32,5,1
16,0.636106071578035,SHRINK,group_32,5,1
17,0.638830521514505,SHRINK,group_32,5,1
11,0.572256364705146,SHRINK_CAL,group_32,5,1
16,0.612382178526303,SHRINK_CAL,group_32,5,1
17,0.610150587406947,SHRINK_CAL,group_32,5,1
4,0.587522826167174,SHRINK,row_0.5,1,1
8,0.594069601373444,SHRINK,row_0.5,1,1
12,0.962316597571995,SHRINK,row_0.5,1,1
13,0.468070346067882,SHRINK,row_0.5,1,1
4,0.492721691802348,SHRINK_CAL,row_0.5,1,1
8,0.610113379573479,SHRINK_CAL,row_0.5,1,1
12,0.958477827632256,SHRINK_CAL,row_0.5,1,1
13,0.52737885965887,SHRINK_CAL,row_0.5,1,1
7,0.575072211705213,SHRINK,row_0.5,2,1
15,0.784632944601926,SHRINK,row_0.5,2,1
18,0.566960918556787,SHRINK,row_0.5,2,1
19,0.657613607515787,SHRINK,row_0.5,2,1
7,0.62117093595322,SHRINK_CAL,row_0.5,2,1
15,0.788613559098514,SHRINK_CAL,row_0.5,2,1
18,0.64515481574235,SHRINK_CAL,row_0.5,2,1
19,0.693941661777479,SHRINK_CAL,row_0.5,2,1
5,0.733502694370269,SHRINK,row_0.5,3,1
6,0.750478738655823,SHRINK,row_0.5,3,1
9,0.596398705651648,SHRINK,row_0.5,3,1
14,0.602486447596015,SHRINK,row_0.5,3,1
5,0.589957438786824,SHRINK_CAL,row_0.5,3,1
6,0.594435199800617,SHRINK_CAL,row_0.5,3,1
9,0.562912188688414,SHRINK_CAL,row_0.5,3,1
14,0.53761360002021,SHRINK_CAL,row_0.5,3,1
2,0.506965462625954,SHRINK,row_0.5,4,1
3,0.615586304900571,SHRINK,row_0.5,4,1
10,0.437563825371742,SHRINK,row_0.5,4,1
2,0.460337610831255,SHRINK_CAL,row_0.5,4,1
3,0.547506507728006,SHRINK_CAL,row_0.5,4,1
10,0.533001077616786,SHRINK_CAL,row_0.5,4,1
11,0.63663900596137,SHRINK,row_0.5,5,1
16,0.584780207149431,SHRINK,row_0.5,5,1
17,0.448505907955431,SHRINK,row_0.5,5,1
11,0.572803110040816,SHRINK_CAL,row_0.5,5,1
16,0.594477897489905,SHRINK_CAL,row_0.5,5,1
17,0.532578893190395,SHRINK_CAL,row_0.5,5,1
4,0.562336099264077,SHRINK,row_2,1,1
8,0.578292699639929,SHRINK,row_2,1,1
12,0.872478297202526,SHRINK,row_2,1,1
13,0.47658540210557,SHRINK,row_2,1,1
4,0.495513381051332,SHRINK_CAL,row_2,1,1
8,0.603268568449507,SHRINK_CAL,row_2,1,1
12,0.936070771667228,SHRINK_CAL,row_2,1,1
13,0.517081143374728,SHRINK_CAL,row_2,1,1
7,0.570936546827914,SHRINK,row_2,2,1
15,0.748009119818408,SHRINK,row_2,2,1
18,0.563329812739426,SHRINK,row_2,2,1
19,0.648941810089239,SHRINK,row_2,2,1
7,0.616455839919917,SHRINK_CAL,row_2,2,1
15,0.784181543989075,SHRINK_CAL,row_2,2,1
18,0.635712223436945,SHRINK_CAL,row_2,2,1
19,0.693622807386462,SHRINK_CAL,row_2,2,1
5,0.699883959070946,SHRINK,row_2,3,1
6,0.709505566447383,SHRINK,row_2,3,1
