Dropped,Test,Model,LogLoss,MPLogLoss,OriginalLogLoss,DeltaVsMP,ChangeVsOriginal
5,1,SHRINK_CAL,0.487249361889423,0.542610486011736,0.472822149803365,-0.0553611241223124,0.0144272120860578
5,2,SHRINK,0.524301469854634,0.564060530040876,0.493503329704093,-0.039759060186242,0.0307981401505407
5,2,SHRINK_CAL,0.477395545124213,0.564060530040876,0.445239203676264,-0.0866649849166625,0.0321563414479489
5,3,SHRINK,0.58113669887521,0.627902538119923,0.566203412740049,-0.0467658392447131,0.0149332861351609
5,3,SHRINK_CAL,0.561736166155808,0.627902538119923,0.537470029007356,-0.0661663719641147,0.0242661371484519
5,4,SHRINK,0.566938088976977,0.608600976814804,0.549142973921217,-0.0416628878378267,0.01779511505576
5,4,SHRINK_CAL,0.539082817242269,0.608600976814804,0.511785708846286,-0.0695181595725351,0.0272971083959833
5,6,SHRINK,0.599103065154113,0.678195637303813,0.568542616473014,-0.0790925721496996,0.0305604486810995
5,6,SHRINK_CAL,0.553185478365062,0.678195637303813,0.508914151821406,-0.125010158938751,0.0442713265436561
5,7,SHRINK,0.542374004333228,0.540764951191338,0.562916433946877,0.00160905314189075,-0.0205424296136488
5,7,SHRINK_CAL,0.564550557027047,0.540764951191338,0.577040735967006,0.0237856058357097,-0.0124901789399584
5,8,SHRINK,0.583352652981238,0.56382378568589,0.576037086062776,0.0195288672953479,0.00731556691846225
5,8,SHRINK_CAL,0.582780100395174,0.56382378568589,0.593978024596987,0.0189563147092835,-0.0111979242018126
5,9,SHRINK,0.53473293683694,0.561649502212244,0.526477395611344,-0.0269165653753046,0.00825554122559524
5,9,SHRINK_CAL,0.521254115415861,0.561649502212244,0.509206182640851,-0.0403953867963834,0.0120479327750097
5,10,SHRINK,0.457600006340779,0.448904664523489,0.504213864131095,0.00869534181729054,-0.0466138577903159
5,10,SHRINK_CAL,0.488597394049259,0.448904664523489,0.519249761971312,0.0396927295257705,-0.0306523679220524
5,11,SHRINK,0.589733845171328,0.622578674879736,0.579408228872946,-0.0328448297084081,0.010325616298382
5,11,SHRINK_CAL,0.571070492853467,0.622578674879736,0.56245374710559,-0.0515081820262692,0.00861674574787685
5,12,SHRINK,0.883965973178175,0.804926194662708,0.821566401403708,0.0790397785154665,0.0623995717744671
5,12,SHRINK_CAL,0.886067299841179,0.804926194662708,0.911131185973198,0.0811411051784706,-0.0250638861320194
5,13,SHRINK,0.494972609532642,0.471819749917137,0.504344263616386,0.0231528596155052,-0.0093716540837438
5,13,SHRINK_CAL,0.499891105898626,0.471819749917137,0.519988299682991,0.0280713559814892,-0.0200971937843654
5,14,SHRINK,0.544036840923059,0.554783914669851,0.50660413489529,-0.0107470737467921,0.0374327060277684
5,14,SHRINK_CAL,0.492296171827318,0.554783914669851,0.46850351800763,-0.0624877428425326,0.0237926538196885
5,15,SHRINK,0.666778933076199,0.650284793214539,0.687220786705446,0.01649413986166,-0.0204418536292469
5,15,SHRINK_CAL,0.706988121912375,0.650284793214539,0.73018196616158,0.0567033286978352,-0.0231938442492052
5,16,SHRINK,0.579397586269471,0.580174539733676,0.581056138607808,-0.000776953464204477,-0.00165855233833678
5,16,SHRINK_CAL,0.588720835452675,0.580174539733676,0.594474514572152,0.0085462957189989,-0.005753679119477
5,17,SHRINK,0.498704223399646,0.456264798841946,0.507540108699824,0.0424394245577003,-0.00883588530017832
5,17,SHRINK_CAL,0.498616383546624,0.456264798841946,0.525245048705133,0.0423515847046778,-0.0266286651585095
5,18,SHRINK,0.530646164264312,0.493194399436439,0.541411504530336,0.0374517648278728,-0.0107653402660246
5,18,SHRINK_CAL,0.537821564589751,0.493194399436439,0.564714773846678,0.0446271651533119,-0.0268932092569271
5,19,SHRINK,0.596771280248893,0.575552694195454,0.60654198226852,0.0212185860534383,-0.0097707020196276
5,19,SHRINK_CAL,0.619273838044114,0.575552694195454,0.637572178826561,0.0437211438486601,-0.0182983407824467
6,1,SHRINK,0.522618587183079,0.547291381362383,0.504111045300602,-0.024672794179305,0.0185075418824765
6,1,SHRINK_CAL,0.486996571606382,0.547291381362383,0.472822149803365,-0.0602948097560019,0.0141744218030161
6,2,SHRINK,0.522900503619935,0.563177082942488,0.493503329704093,-0.0402765793225532,0.0293971739158418
6,2,SHRINK_CAL,0.471817744821476,0.563177082942488,0.445239203676264,-0.0913593381210119,0.0265785411452118
6,3,SHRINK,0.583395552447026,0.638521104582958,0.566203412740049,-0.0551255521359324,0.0171921397069769
6,3,SHRINK_CAL,0.562102277790024,0.638521104582958,0.537470029007356,-0.0764188267929338,0.0246322487826681
6,4,SHRINK,0.572632467798987,0.621655200462771,0.549142973921217,-0.0490227326637844,0.0234894938777696
6,4,SHRINK_CAL,0.542428937430204,0.621655200462771,0.511785708846286,-0.0792262630325678,0.0306432285839179
6,5,SHRINK,0.589083112944287,0.654358582950911,0.554770664673808,-0.0652754700066239,0.034312448270479
6,5,SHRINK_CAL,0.543151605554922,0.654358582950911,0.500760130370691,-0.111206977395989,0.0423914751842304
6,7,SHRINK,0.540390520804475,0.539975957759664,0.562916433946877,0.000414563044810912,-0.0225259131424022
6,7,SHRINK_CAL,0.564268279739332,0.539975957759664,0.577040735967006,0.024292321979668,-0.0127724562276735
6,8,SHRINK,0.579241561514419,0.561008329192803,0.576037086062776,0.0182332323216156,0.0032044754516426
6,8,SHRINK_CAL,0.58068196978169,0.561008329192803,0.593978024596987,0.0196736405888867,-0.0132960548152968
6,9,SHRINK,0.526077449561583,0.554647526125672,0.526477395611344,-0.0285700765640889,-0.000399946049760902
6,9,SHRINK_CAL,0.515897391747599,0.554647526125672,0.509206182640851,-0.0387501343780733,0.00669120910674803
6,10,SHRINK,0.455454118550457,0.447404397769428,0.504213864131095,0.00804972078102845,-0.0487597455806388
6,10,SHRINK_CAL,0.488079577305234,0.447404397769428,0.519249761971312,0.040675179535806,-0.0311701846660778
6,11,SHRINK,0.595947570216223,0.629432380681621,0.579408228872946,-0.0334848104653986,0.0165393413432767
