Model,Candidate,Risk,Groups,OuterGroup
SHRINK_CAL,group_0.5,0.589757047341812,18,10
SHRINK,group_2,0.585993201836176,18,10
SHRINK_CAL,group_2,0.584906016131433,18,10
SHRINK,group_8,0.587475527341659,18,10
SHRINK_CAL,group_8,0.584618463955696,18,10
SHRINK,group_32,0.619500018719708,18,10
SHRINK_CAL,group_32,0.609321077716984,18,10
SHRINK,row_0.5,0.600033381436742,18,10
SHRINK_CAL,row_0.5,0.589220403972406,18,10
SHRINK,row_2,0.584089020523478,18,10
SHRINK_CAL,row_2,0.583783835023857,18,10
SHRINK,row_8,0.57992980428076,18,10
SHRINK_CAL,row_8,0.581544054511036,18,10
SHRINK,row_32,0.60647121999292,18,10
SHRINK_CAL,row_32,0.594757382431093,18,10
SHRINK,original,0.590432170695774,18,11
SHRINK_CAL,original,0.583326685841976,18,11
SHRINK,group_0.5,0.602420580917993,18,11
SHRINK_CAL,group_0.5,0.589922353853154,18,11
SHRINK,group_2,0.583959598240841,18,11
SHRINK_CAL,group_2,0.584639164993471,18,11
SHRINK,group_8,0.586863254256867,18,11
SHRINK_CAL,group_8,0.584772890077322,18,11
SHRINK,group_32,0.62335867847295,18,11
SHRINK_CAL,group_32,0.611695058844662,18,11
SHRINK,row_0.5,0.612703235277284,18,11
SHRINK_CAL,row_0.5,0.588406198929132,18,11
SHRINK,row_2,0.58986867908662,18,11
SHRINK_CAL,row_2,0.583162260599582,18,11
SHRINK,row_8,0.581147375960518,18,11
SHRINK_CAL,row_8,0.58196890377861,18,11
SHRINK,row_32,0.609573099720665,18,11
SHRINK_CAL,row_32,0.596781468480556,18,11
SHRINK,original,0.560421236942493,18,12
SHRINK_CAL,original,0.559304463412174,18,12
SHRINK,group_0.5,0.568275269365457,18,12
SHRINK_CAL,group_0.5,0.562700704867304,18,12
SHRINK,group_2,0.5553274078465,18,12
SHRINK_CAL,group_2,0.559865881418581,18,12
SHRINK,group_8,0.562798298271382,18,12
SHRINK_CAL,group_8,0.561171816856348,18,12
SHRINK,group_32,0.601708088557091,18,12
SHRINK_CAL,group_32,0.584171412403696,18,12
SHRINK,row_0.5,0.572243094020028,18,12
SHRINK_CAL,row_0.5,0.562131612971412,18,12
SHRINK,row_2,0.55763643708158,18,12
SHRINK_CAL,row_2,0.558627449531308,18,12
SHRINK,row_8,0.554945915325414,18,12
SHRINK_CAL,row_8,0.558600668752824,18,12
SHRINK,row_32,0.584296559750372,18,12
SHRINK_CAL,row_32,0.569367524001206,18,12
SHRINK,original,0.582931316202824,18,13
SHRINK_CAL,original,0.582462840668573,18,13
SHRINK,group_0.5,0.59985948916886,18,13
SHRINK_CAL,group_0.5,0.587871297820932,18,13
SHRINK,group_2,0.58315390554941,18,13
SHRINK_CAL,group_2,0.583565864534294,18,13
SHRINK,group_8,0.584833933172317,18,13
SHRINK_CAL,group_8,0.583361724597323,18,13
SHRINK,group_32,0.61814691681036,18,13
SHRINK_CAL,group_32,0.604589613297566,18,13
SHRINK,row_0.5,0.600979059816223,18,13
SHRINK_CAL,row_0.5,0.586585354837095,18,13
SHRINK,row_2,0.582899772672246,18,13
SHRINK_CAL,row_2,0.58201945822108,18,13
SHRINK,row_8,0.575907771346332,18,13
SHRINK_CAL,row_8,0.580534118920932,18,13
SHRINK,row_32,0.601081761784614,18,13
SHRINK_CAL,row_32,0.589672624760783,18,13
SHRINK,original,0.578743005526226,18,14
SHRINK_CAL,original,0.576956176265159,18,14
SHRINK,group_0.5,0.593614279032791,18,14
SHRINK_CAL,group_0.5,0.58286074509215,18,14
SHRINK,group_2,0.577697605364106,18,14
SHRINK_CAL,group_2,0.578268300961681,18,14
SHRINK,group_8,0.581771189493498,18,14
SHRINK_CAL,group_8,0.577994657052392,18,14
SHRINK,group_32,0.618825826716557,18,14
SHRINK_CAL,group_32,0.602262816759506,18,14
SHRINK,row_0.5,0.595973362107219,18,14
SHRINK_CAL,row_0.5,0.581477258502972,18,14
SHRINK,row_2,0.578540087563988,18,14
SHRINK_CAL,row_2,0.576636788042113,18,14
SHRINK,row_8,0.573316335632083,18,14
SHRINK_CAL,row_8,0.574914729259952,18,14
SHRINK,row_32,0.601669546263491,18,14
SHRINK_CAL,row_32,0.585206696587411,18,14
SHRINK,original,0.563777662138395,18,15
SHRINK_CAL,original,0.562875846534528,18,15
SHRINK,group_0.5,0.584272735890309,18,15
SHRINK_CAL,group_0.5,0.572028903740754,18,15
SHRINK,group_2,0.565314379049703,18,15
SHRINK_CAL,group_2,0.566611745364475,18,15
SHRINK,group_8,0.568362960533668,18,15
SHRINK_CAL,group_8,0.566644930350633,18,15
SHRINK,group_32,0.604796781488301,18,15
SHRINK_CAL,group_32,0.590376566621846,18,15
SHRINK,row_0.5,0.584252734612171,18,15
SHRINK_CAL,row_0.5,0.569285256690786,18,15
SHRINK,row_2,0.563810634757803,18,15
SHRINK_CAL,row_2,0.563357536594939,18,15
SHRINK,row_8,0.558830971290303,18,15
SHRINK_CAL,row_8,0.561634770380721,18,15
SHRINK,row_32,0.588218088575155,18,15
SHRINK_CAL,row_32,0.573109497504496,18,15
SHRINK,original,0.578972812318219,18,16
SHRINK_CAL,original,0.573736654277303,18,16
SHRINK,group_0.5,0.592922581751802,18,16
SHRINK_CAL,group_0.5,0.580926165938152,18,16
SHRINK,group_2,0.577030294384157,18,16
SHRINK_CAL,group_2,0.576996753002618,18,16
SHRINK,group_8,0.579646685761873,18,16
SHRINK_CAL,group_8,0.577824283794724,18,16
SHRINK,group_32,0.6143356203234,18,16
SHRINK_CAL,group_32,0.601302169290372,18,16
SHRINK,row_0.5,0.595973715194145,18,16
SHRINK_CAL,row_0.5,0.578447751158126,18,16
SHRINK,row_2,0.578671466137837,18,16
SHRINK_CAL,row_2,0.573998432715873,18,16
SHRINK,row_8,0.571942447163015,18,16
SHRINK_CAL,row_8,0.573220875816369,18,16
SHRINK,row_32,0.597534709307086,18,16
SHRINK_CAL,row_32,0.584309922276736,18,16
SHRINK,original,0.580063242708322,18,17
SHRINK_CAL,original,0.57452097137596,18,17
SHRINK,group_0.5,0.593542013727603,18,17
SHRINK_CAL,group_0.5,0.582572767481906,18,17
SHRINK,group_2,0.577699871309129,18,17
SHRINK_CAL,group_2,0.577744776415108,18,17
SHRINK,group_8,0.580500642696543,18,17
SHRINK_CAL,group_8,0.578070028070825,18,17
SHRINK,group_32,0.614348878467856,18,17
SHRINK_CAL,group_32,0.602045906374603,18,17
SHRINK,row_0.5,0.597564877749808,18,17
SHRINK_CAL,row_0.5,0.580134996939618,18,17
SHRINK,row_2,0.579805064623367,18,17
SHRINK_CAL,row_2,0.574824717205428,18,17
SHRINK,row_8,0.572910017093095,18,17
SHRINK_CAL,row_8,0.573310163967878,18,17
SHRINK,row_32,0.597692889230863,18,17
