SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,Pathway,PositiveProteinCount,NegativeProteinCount,AnyPathwayProteinCount,KlaDdrProteinCount,FractionOfKlaDdrProteins
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NER,15,0,15,137,0.109489051094891
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NHEJ,38,5,43,137,0.313868613138686
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,AEJ,13,5,18,143,0.125874125874126
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,BER,21,0,21,143,0.146853146853147
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,FA,7,0,7,143,0.048951048951049
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,HR,58,6,64,143,0.447552447552448
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,MMR,11,0,11,143,0.0769230769230769
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NER,16,0,16,143,0.111888111888112
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,NHEJ,39,6,45,143,0.314685314685315
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,AEJ,6,2,8,89,0.0898876404494382
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,BER,16,0,16,89,0.179775280898876
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,FA,6,0,6,89,0.0674157303370787
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,HR,31,4,35,89,0.393258426966292
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,MMR,3,0,3,89,0.0337078651685393
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,NER,12,1,13,89,0.146067415730337
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,NHEJ,24,3,27,89,0.303370786516854
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,AEJ,4,1,5,77,0.0649350649350649
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,BER,15,0,15,77,0.194805194805195
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,FA,5,0,5,77,0.0649350649350649
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,HR,25,3,28,77,0.363636363636364
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,MMR,3,0,3,77,0.038961038961039
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,NER,10,1,11,77,0.142857142857143
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,NHEJ,21,3,24,77,0.311688311688312
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,AEJ,7,1,8,98,0.0816326530612245
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,BER,16,0,16,98,0.163265306122449
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,FA,6,0,6,98,0.0612244897959184
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,HR,29,4,33,98,0.336734693877551
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,MMR,4,0,4,98,0.0408163265306122
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,NER,12,1,13,98,0.13265306122449
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,NHEJ,23,3,26,98,0.26530612244898
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,AEJ,6,3,9,97,0.0927835051546392
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,BER,16,0,16,97,0.164948453608247
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,FA,7,0,7,97,0.0721649484536082
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,HR,35,4,39,97,0.402061855670103
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,MMR,6,0,6,97,0.0618556701030928
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,NER,14,1,15,97,0.154639175257732
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,NHEJ,24,3,27,97,0.278350515463918
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,AEJ,7,6,13,105,0.123809523809524
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,BER,17,0,17,105,0.161904761904762
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,FA,6,0,6,105,0.0571428571428571
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,HR,34,7,41,105,0.39047619047619
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,MMR,8,0,8,105,0.0761904761904762
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NER,12,1,13,105,0.123809523809524
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NHEJ,21,2,23,105,0.219047619047619
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,AEJ,6,5,11,103,0.106796116504854
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,BER,13,0,13,103,0.12621359223301
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,FA,7,0,7,103,0.0679611650485437
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,HR,40,5,45,103,0.436893203883495
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,MMR,8,0,8,103,0.0776699029126214
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NER,11,1,12,103,0.116504854368932
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NHEJ,22,2,24,103,0.233009708737864
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,AEJ,7,5,12,105,0.114285714285714
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,BER,17,0,17,105,0.161904761904762
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,FA,9,0,9,105,0.0857142857142857
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,HR,40,5,45,105,0.428571428571429
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,MMR,8,0,8,105,0.0761904761904762
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NER,12,1,13,105,0.123809523809524
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,NHEJ,26,2,28,105,0.266666666666667
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,AEJ,3,3,6,56,0.107142857142857
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,BER,8,0,8,56,0.142857142857143
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,FA,2,0,2,56,0.0357142857142857
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,HR,19,4,23,56,0.410714285714286
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,MMR,4,0,4,56,0.0714285714285714
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NER,5,0,5,56,0.0892857142857143
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NHEJ,14,1,15,56,0.267857142857143
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,AEJ,4,2,6,54,0.111111111111111
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,BER,9,0,9,54,0.166666666666667
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,FA,1,0,1,54,0.0185185185185185
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,HR,16,4,20,54,0.37037037037037
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,MMR,4,0,4,54,0.0740740740740741
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NER,5,0,5,54,0.0925925925925926
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NHEJ,14,1,15,54,0.277777777777778
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,AEJ,4,2,6,54,0.111111111111111
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,BER,9,0,9,54,0.166666666666667
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,FA,1,0,1,54,0.0185185185185185
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,HR,16,4,20,54,0.37037037037037
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,MMR,4,0,4,54,0.0740740740740741
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NER,5,0,5,54,0.0925925925925926
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,NHEJ,15,1,16,54,0.296296296296296
