SampleKey,PXD,SampleID,PublicationGroup,Category,ConditionLabel,EvidenceTier,UnitType,PairingStatus,KlaParser,WholeProteomeParser,KlaSourceFile,WholeProteomeSourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction
PXD050470__H187,PXD050470,H187,human hippocampus,normal_tissue,Human hippocampus,A_same_source_same_sample,human tissue sample,same-source same biospecimen,author supplementary Table S3,author supplementary Table S4,PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,853,29,0.0339976553341149
PXD066054__NAT1,PXD066054,NAT1,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2091,140,0.0669536107125777
PXD066054__NAT2,PXD066054,NAT2,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1978,133,0.0672396359959555
PXD066054__NAT3,PXD066054,NAT3,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1979,129,0.0651844365841334
PXD066054__NAT4,PXD066054,NAT4,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2040,131,0.0642156862745098
PXD066054__NAT5,PXD066054,NAT5,BPH,normal_tissue,Benign prostatic hyperplasia,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2029,131,0.0645638245441104
PXD066054__PCa1,PXD066054,PCa1,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2028,137,0.0675542406311637
PXD066054__PCa2,PXD066054,PCa2,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,1877,127,0.0676611614278103
PXD066054__PCa3,PXD066054,PCa3,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2052,141,0.0687134502923977
PXD066054__PCa4,PXD066054,PCa4,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2035,137,0.0673218673218673
PXD066054__PCa5,PXD066054,PCa5,prostate cancer,cancer_tissue,Prostate cancer,A_same_source_same_sample,human tissue sample,same-source same sample,Spectronaut PTM site report,Spectronaut protein quantity matrix,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054/search_results/extracted/DA/Protein_Quant.tsv,2102,143,0.0680304471931494
PXD078013__sg737_1,PXD078013,sg737_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,,904,89,0.0984513274336283
PXD078013__sg737_2,PXD078013,sg737_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B KO,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,,751,77,0.102529960053262
PXD078013__sg_1,PXD078013,sg_1,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,,1053,98,0.0930674264007597
PXD078013__sg_2,PXD078013,sg_2,RKO WT and GSK3B KO,cancer_cells,RKO GSK3B WT,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant proteinGroups plus positive La(K) evidence,,PXD078013/search_results/evidence.txt;PXD078013/search_results/proteinGroups.txt,,1116,97,0.0869175627240144
PXD078736__ctr_1,PXD078736,ctr_1,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,962,105,0.109147609147609
PXD078736__ctr_2,PXD078736,ctr_2,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,952,103,0.108193277310924
PXD078736__ctr_3,PXD078736,ctr_3,HK-2 control and mannitol,normal_cells,HK-2 control,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,955,105,0.109947643979058
PXD078736__man_1,PXD078736,man_1,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,533,56,0.105065666041276
PXD078736__man_2,PXD078736,man_2,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,536,54,0.100746268656716
PXD078736__man_3,PXD078736,man_3,HK-2 control and mannitol,normal_cells,HK-2 mannitol,B_kla_sample_only,deposited experimental replicate,Kla sample only; external reference is not paired,MaxQuant La(K) site table,,PXD078736/search_results/txt/La(K)Sites.txt,,526,54,0.102661596958175
