RowOrder,PXD,SampleGroup,Category,DisplayGroup,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,KlaDdrFractionPercentage,ReferenceFraction,ReferenceDdr,ReferenceTotal
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,PCa5,PCa5,replicate,sample,deposited_spectronaut_table,PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,2102,143,0.0680304471931494,6.80304471931494,5.02255272461295,412,8203
12,PXD075377,HCC,cancer_tissue,HCC tissue,HCC_pool,HCC_pool,pool,pool,deposited_group_union,PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,1798,121,0.0672969966629588,6.72969966629588,5.22359290670779,271,5188
14,PXD060185,MCF7,cancer_cells,MCF7 cells,A,A,single,sample,deposited_sample_table,PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1235,132,0.106882591093117,10.6882591093117,6.74411100354953,209,3099
15,PXD028488,HCT116,cancer_cells,HCT116 cells,HCT116_dataset_union,HCT116_dataset_union,single,dataset_union,validated_publication_membership,data/publication_input/kla_protein_membership_30.csv,240,30,0.125,12.5,6.80798004987531,273,4010
16,PXD053474,HCT116,cancer_cells,HCT116 cells (subcellular fractions),HCT116_dataset_union,HCT116_dataset_union,single,dataset_union,validated_publication_membership,data/publication_input/kla_protein_membership_30.csv,590,65,0.110169491525424,11.0169491525424,6.80798004987531,273,4010
17,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,HCT116 cells (control and Roseburia co-culture),NC116,control,control,condition,deposited_spectronaut_table,PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,2394,252,0.105263157894737,10.5263157894737,6.19926199261993,504,8130
17,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,HCT116 cells (control and Roseburia co-culture),R116,Roseburia co-culture,Roseburia co-culture,condition,deposited_spectronaut_table,PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,2319,243,0.104786545924968,10.4786545924968,6.19926199261993,504,8130
18,PXD028488,TALL-104,cancer_cells,TALL-104 cells (sodium lactate),TALL-104_dataset_union,TALL-104_dataset_union,single,dataset_union,validated_publication_membership,data/publication_input/kla_protein_membership_30.csv,368,37,0.10054347826087,10.054347826087,6.77557579003749,253,3734
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT1KO_rep1,SIRT1KO_rep1,SIRT1 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1825,212,0.116164383561644,11.6164383561644,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT1KO_rep2,SIRT1KO_rep2,SIRT1 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1885,218,0.115649867374005,11.5649867374005,6.64500886001181,450,6772
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",SIRT1KO_rep3,SIRT1KO_rep3,SIRT1 KO,sample,deposited_sample_table,PXD050147/search_results/Lactyl_K_Sites.txt,1708,197,0.115339578454333,11.5339578454333,6.64500886001181,450,6772
