RowOrder,PXD,SampleGroup,Category,DisplayGroup,Dataset,SampleID,ConditionLabel,SampleClass,ObservationType,ReferencePXD,ObsKey,SourceFile,Parser,QuantitationField,QuantitationTransform,QuantitationColumn,SourceColumnStatus,MKI67_SourceValue,MKI67_Intensity,MKI67_RowCount,MKI67_ReportedGroup,ACTB_SourceValue,ACTB_Intensity,ACTB_RowCount,ACTB_ReportedGroup,TUBB_SourceValue,TUBB_Intensity,TUBB_RowCount,TUBB_ReportedGroup,H3C1_SourceValue,H3C1_Intensity,H3C1_RowCount,H3C1_ReportedGroup,MKI67_over_ACTB,MKI67_over_ACTB_Status,MKI67_over_TUBB,MKI67_over_TUBB_Status,MKI67_over_H3C1,MKI67_over_H3C1_Status
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP3,NSP3,replicate,sample,PXD046800,PXD046800__adjacent skin__NSP3,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F7: Sample, NSP3",sample_column_found,,,0,,504972478.5,504972478.5,1,P60709,33940615.4375,33940615.4375,1,P07437,9088352.1875,9088352.1875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
4,PXD046800,adjacent skin,normal_tissue,Adjacent skin tissue,Whole proteome,NSP4,NSP4,replicate,sample,PXD046800,PXD046800__adjacent skin__NSP4,PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt,Proteome Discoverer protein table,Abundance:,identity,"Abundance: F8: Sample, NSP4",sample_column_found,,,0,,476044944.578125,476044944.578125,1,P60709,26945690.0625,26945690.0625,1,P07437,6758312.171875,6758312.171875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H072,H072,replicate,sample,PXD050470,PXD050470__human hippocampus__H072,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,Author supplementary protein table,Intensity_H072/H081/H187,identity,Intensity_H072,sample_column_found,,,0,,,,0,,,,0,,,,0,,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H081,H081,replicate,sample,PXD050470,PXD050470__human hippocampus__H081,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,Author supplementary protein table,Intensity_H072/H081/H187,identity,Intensity_H081,sample_column_found,,,0,,,,0,,,,0,,,,0,,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
5,PXD050470,human hippocampus,normal_tissue,Human hippocampus tissue,Whole proteome,H187,H187,replicate,sample,PXD050470,PXD050470__human hippocampus__H187,PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx,Author supplementary protein table,Intensity_H072/H081/H187,identity,Intensity_H187,sample_column_found,,,0,,,,0,,,,0,,,,0,,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,Whole proteome,PXD010154_aggregate,PXD010154_aggregate,aggregate,aggregate,PXD010154,PXD063047__normal pregnancy placenta__PXD010154_aggregate,PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt,MaxQuant aggregate proteinGroups,Intensity,identity,Intensity,sample_column_found,,,0,,,,0,,,,0,,,,0,,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L1,L1,L sperm,sample,PXD066517,PXD064912__human sperm__L1,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[1] 20240275_L1.raw.PG.Quantity,sample_column_found,,,1,P46013,252185.28125,252185.28125,1,P60709,16587.830078125,16587.830078125,1,P07437,66912.59375,66912.59375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L10,L10,L sperm,sample,PXD066517,PXD064912__human sperm__L10,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[10] 20240275_L10.raw.PG.Quantity,sample_column_found,,,1,P46013,225479.9375,225479.9375,1,P60709,18110.888671875,18110.888671875,1,P07437,93005.140625,93005.140625,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L11,L11,L sperm,sample,PXD066517,PXD064912__human sperm__L11,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[11] 20240275_L11.raw.PG.Quantity,sample_column_found,,,1,P46013,292402.78125,292402.78125,1,P60709,26641.703125,26641.703125,1,P07437,108872.71875,108872.71875,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
7,PXD064912,human sperm,normal_tissue,Human sperm,Whole proteome,L12,L12,L sperm,sample,PXD066517,PXD064912__human sperm__L12,PXD066517/search_results/20240275.tsv,Spectronaut protein quantity table,.PG.Quantity,identity,[12] 20240275_L12.raw.PG.Quantity,sample_column_found,,,1,P46013,286468.625,286468.625,1,P60709,20554.7890625,20554.7890625,1,P07437,153450.34375,153450.34375,1,P68431,,MKI67 missing or non-positive,,MKI67 missing or non-positive,,MKI67 missing or non-positive
