GroupID,Model,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_22,M0,PC3M_DMSO,14,177,28,0.15819209039548,0.4081011116187,0.249909021223219,0.249909021223219
KLA31_23,M0,GSE266884_MES28_vector_control,15,320,220,0.6875,0.379924799738434,-0.307575200261566,0.307575200261566
KLA31_30,M0,GSE119834_NSC,15,307,164,0.534201954397394,0.379924799738434,-0.15427715465896,0.15427715465896
KLA31_24,M0,RKO_DMSO,16,193,90,0.466321243523316,0.399633643718516,-0.0666875998047998,0.0666875998047998
KLA31_26,M0,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.397553043208921,-0.0937361553973513,0.0937361553973513
KLA31_27,M0,HK2_untreated,18,216,141,0.652777777777778,0.392585551330799,-0.260192226446979,0.260192226446979
KLA31_28,M0,HK2_untreated,18,216,89,0.412037037037037,0.392585551330799,-0.0194514857062386,0.0194514857062386
KLA31_31,M0,HUVEC_untreated,19,323,172,0.532507739938081,0.394954057000467,-0.137553682937613,0.137553682937613
KLA31_01,MP,tendon_nondiabetic,1,112,22,0.196428571428571,0.444049887977655,0.247621316549084,0.247621316549084
KLA31_02,MP,GTEx_v8_Lung,2,280,21,0.075,0.40709031338787,0.33209031338787,0.33209031338787
KLA31_03,MP,GSE181540_HS_input,3,70,14,0.2,0.480562661491153,0.280562661491153,0.280562661491153
KLA31_04,MP,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.472044758290148,0.143097389869095,0.143097389869095
KLA31_05,MP,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.427331215965002,0.256098339252673,0.256098339252673
KLA31_06,MP,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.414414929598697,0.379327210300451,0.379327210300451
KLA31_07,MP,sperm_GroupI,6,276,5,0.0181159420289855,0.407878452833144,0.389762510804158,0.389762510804158
KLA31_08,MP,GSE132714_BPH,7,280,128,0.457142857142857,0.393348500142911,-0.0637943569999462,0.0637943569999462
KLA31_11,MP,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.394008994336072,-0.0650657387600139,0.0650657387600139
KLA31_09,MP,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.420667263940292,-0.0942581091940369,0.0942581091940369
KLA31_12,MP,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.413715038580884,-0.0594032409890084,0.0594032409890084
KLA31_10,MP,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.4104565058841,0.125734283661878,0.125734283661878
KLA31_13,MP,MCF7_DMSO7d,10,167,87,0.520958083832335,0.445392294716572,-0.075565789115763,0.075565789115763
KLA31_20,MP,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.426828347691732,-0.178885938022554,0.178885938022554
KLA31_21,MP,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.434938892596121,-0.137283329626101,0.137283329626101
KLA31_29,MP,GSE103520_MCF10A_control,10,155,62,0.4,0.403923700003353,0.00392370000335329,0.00392370000335329
KLA31_14,MP,HCT116_control,11,205,27,0.131707317073171,0.46094211914884,0.32923480207567,0.32923480207567
KLA31_15,MP,HCT116_control,11,205,52,0.253658536585366,0.46094211914884,0.207283582563474,0.207283582563474
KLA31_16,MP,HCT116_control,11,323,224,0.693498452012384,0.414418509646691,-0.279079942365693,0.279079942365693
KLA31_17,MP,GSE163787_TALL104,11,192,34,0.177083333333333,0.460274886453332,0.283191553119999,0.283191553119999
KLA31_25,MP,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.437953515971601,0.296162471195481,0.296162471195481
KLA31_18,MP,HepG2_DMSO24h,12,303,228,0.752475247524752,0.385652325320072,-0.366822922204681,0.366822922204681
KLA31_19,MP,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.435235950898484,-0.0561926205300871,0.0561926205300871
KLA31_22,MP,PC3M_DMSO,14,177,28,0.15819209039548,0.448493412300817,0.290301321905337,0.290301321905337
KLA31_23,MP,GSE266884_MES28_vector_control,15,320,220,0.6875,0.372209860341831,-0.315290139658169,0.315290139658169
KLA31_30,MP,GSE119834_NSC,15,307,164,0.534201954397394,0.373106793133775,-0.16109516126362,0.16109516126362
KLA31_24,MP,RKO_DMSO,16,193,90,0.466321243523316,0.428456860498219,-0.0378643830250973,0.0378643830250973
KLA31_26,MP,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.404839327411746,-0.0864498711945263,0.0864498711945263
KLA31_27,MP,HK2_untreated,18,216,141,0.652777777777778,0.404976122949524,-0.247801654828254,0.247801654828254
KLA31_28,MP,HK2_untreated,18,216,89,0.412037037037037,0.404976122949524,-0.0070609140875128,0.0070609140875128
KLA31_31,MP,HUVEC_untreated,19,323,172,0.532507739938081,0.392227156332446,-0.140280583605635,0.140280583605635
KLA31_01,MP_cal,tendon_nondiabetic,1,112,22,0.196428571428571,0.432168011056427,0.235739439627855,0.235739439627855
KLA31_02,MP_cal,GTEx_v8_Lung,2,280,21,0.075,0.397818743295239,0.322818743295239,0.322818743295239
KLA31_03,MP_cal,GSE181540_HS_input,3,70,14,0.2,0.467424871838635,0.267424871838635,0.267424871838635
