"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE203551","GSM6176184","stimulated DMSO treated donor 46","stimulation: Tm sup stimulated | treatment: 2.5 uM DMSO | huvec donor number: 46","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590935 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408769"
"GSE203551","GSM6176185","unstimulated DMSO treated donor 46","stimulation: unstimulated | treatment: 2.5 uM DMSO | huvec donor number: 46","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590934 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408770"
"GSE203551","GSM6176186","stimulated iIKKb treated donor 46","stimulation: Tm sup stimulated | treatment: 1.0 uM IKKβ inhibitor | huvec donor number: 46","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590933 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408771"
"GSE203551","GSM6176187","stimulated iNIK treated donor 46","stimulation: Tm sup stimulated | treatment: 2.5 uM NIK inhibitor | huvec donor number: 46","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590932 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408772"
"GSE203551","GSM6176188","unstimulated untreated donor 46","stimulation: unstimulated | treatment: untreated | huvec donor number: 46","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590931 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408773"
"GSE203551","GSM6176189","stimulated DMSO treated donor 47","stimulation: Tm sup stimulated | treatment: 2.5 uM DMSO | huvec donor number: 47","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590930 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408774"
"GSE203551","GSM6176190","unstimulated DMSO treated donor 47","stimulation: unstimulated | treatment: 2.5 uM DMSO | huvec donor number: 47","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590929 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408775"
"GSE203551","GSM6176191","stimulated iIKKb treated donor 47","stimulation: Tm sup stimulated | treatment: 1.0 uM IKKβ inhibitor | huvec donor number: 47","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590928 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408776"
"GSE203551","GSM6176192","stimulated iNIK treated donor 47","stimulation: Tm sup stimulated | treatment: 2.5 uM NIK inhibitor | huvec donor number: 47","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590927 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408777"
"GSE203551","GSM6176193","unstimulated untreated donor 47","stimulation: unstimulated | treatment: untreated | huvec donor number: 47","72h of stimulation with 50% Tm sup (culture supernatant of MACS sorted CD4+ T cells, cultured 72h in presence of anti-CD3 and anti-CD28) and treated with inhibitors for IKKβ or NIK. Controls: untreated unstimulated, DMSO treated unstimulated, DMSO treated stimulated","HUVEC were grown on 1% gelatin/PBS coated culture flasks in M199 supplemented with 20% FCS, L-glut, Pen/Strep, endothelial cell growth serum (Sigma) and heparin. Cells were passaged when culture flasks were 80-90% confluent and used in passage 3","RNA was lysed and isolated using Nucleospin XS (Bioké) kit according to protocol. | Kapa mRNA Hyperprep and Illumina HiSeq4000 according to protocol","RNA-Seq","trimmed for adapter sequences: Trimmomatic v0.32 | aligned: HISAT2 v2.1.0 | counts: HTSeq, v0.11.0 | quality control: FastQC, v0.11.15; dupRadar; v.1.0.0 | nomalized: weigthed trimmed mean of M-values according to ""Robinson MD, Oshlack A. A scaling normalization method for differential expression analysis of RNA-seq data. Genome Biology. 2010;11."" | transformed to log2 counts per million; voom | tested for differential expression; moderated t-test, linear model framework, limma, R | data extraction; R, v3.6.3; Bioconductor, v3.10 | Assembly: hg38 | Supplementary files format and content: raw counts","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN28590926 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX15408778"
