Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note,dropped_train
ME,8,320,157,0.5465,0.5411,0.558,0.261,0.717,,11
ME2P,8,320,157,0.8147,0.8141,0.7899,0.193,0.5726,,11
M0,9,288,82,0.2847,0.2847,0.5,0.2241,0.641,,11
MP,9,288,82,0.6578,0.6575,0.7905,0.1826,0.5457,,11
ME,9,288,82,0.5341,0.5294,0.7276,0.2082,0.6075,,11
ME2P,9,288,82,0.6801,0.6756,0.8155,0.169,0.5133,,11
M0,10,677,358,0.5288,0.5288,0.5,0.2644,0.7225,,11
MP,10,677,358,0.927,0.9287,0.9238,0.1349,0.4346,,11
ME,10,677,358,0.6095,0.6081,0.589,0.2494,0.692,,11
ME2P,10,677,358,0.9297,0.9296,0.9241,0.1405,0.4521,,11
M0,12,303,228,0.7525,0.7525,0.5,0.3097,0.8143,,11
MP,12,303,228,0.9234,0.9245,0.7894,0.2779,0.8045,,11
ME,12,303,228,0.7158,0.7123,0.417,0.4225,1.0872,,11
ME2P,12,303,228,0.9135,0.9133,0.7601,0.4166,1.1909,,11
M0,13,175,86,0.4914,0.4914,0.5,0.2553,0.704,,11
MP,13,175,86,0.8432,0.8428,0.8642,0.1525,0.4684,,11
ME,13,175,86,0.6384,0.6351,0.6441,0.239,0.671,,11
ME2P,13,175,86,0.858,0.8568,0.8772,0.1517,0.4725,,11
M0,14,177,28,0.1582,0.1582,0.5,0.2065,0.6055,,11
MP,14,177,28,0.5795,0.5751,0.8824,0.208,0.6006,,11
ME,14,177,28,0.2926,0.2861,0.6016,0.2406,0.674,,11
ME2P,14,177,28,0.598,0.5901,0.8833,0.2186,0.6289,,11
M0,15,627,384,0.6124,0.6124,0.5,0.2843,0.7629,,11
MP,15,627,384,0.8613,0.863,0.802,0.2293,0.665,,11
ME,15,627,384,0.6693,0.6683,0.564,0.3,0.8012,,11
ME2P,15,627,384,0.8603,0.86,0.7873,0.2608,0.7397,,11
M0,16,193,90,0.4663,0.4663,0.5,0.2511,0.6955,,11
MP,16,193,90,0.7796,0.7804,0.7819,0.1904,0.5717,,11
ME,16,193,90,0.6403,0.6353,0.6519,0.2348,0.6622,,11
ME2P,16,193,90,0.7902,0.7866,0.8065,0.1805,0.5397,,11
M0,17,287,141,0.4913,0.4913,0.5,0.2555,0.7044,,11
MP,17,287,141,0.9135,0.9158,0.9058,0.1436,0.4563,,11
ME,17,287,141,0.6097,0.6075,0.6037,0.2423,0.6777,,11
ME2P,17,287,141,0.9161,0.9158,0.9022,0.1451,0.4619,,11
M0,18,432,230,0.5324,0.5324,0.5,0.2637,0.721,,11
MP,18,432,230,0.8974,0.9002,0.8837,0.1582,0.4873,,11
ME,18,432,230,0.595,0.5929,0.5579,0.2503,0.6937,,11
ME2P,18,432,230,0.8934,0.8936,0.8785,0.1772,0.5311,,11
M0,19,323,172,0.5325,0.5325,0.5,0.2631,0.7198,,11
MP,19,323,172,0.8609,0.8628,0.8225,0.1878,0.5651,,11
ME,19,323,172,0.6813,0.6799,0.6236,0.2523,0.6984,,11
ME2P,19,323,172,0.868,0.8676,0.832,0.1918,0.5697,,11
M0,1,112,22,0.1964,0.1964,0.5,0.1947,0.5808,,12
MP,1,112,22,0.7579,0.7534,0.8649,0.1742,0.5152,,12
ME,1,112,22,0.3793,0.3639,0.7146,0.1813,0.5512,,12
ME2P,1,112,22,0.7532,0.7494,0.8646,0.1605,0.4893,,12
M0,2,280,21,0.075,0.075,0.5,0.1744,0.54,,12
MP,2,280,21,0.6198,0.6143,0.9112,0.1674,0.5001,,12
ME,2,280,21,0.3525,0.3284,0.8303,0.1456,0.4763,,12
ME2P,2,280,21,0.6573,0.6492,0.934,0.1415,0.4478,,12
M0,3,146,39,0.2671,0.2671,0.5,0.2103,0.6126,,12
MP,3,146,39,0.6359,0.6336,0.7914,0.206,0.5999,,12
ME,3,146,39,0.6276,0.6232,0.7803,0.2013,0.5934,,12
ME2P,3,146,39,0.6545,0.6478,0.8198,0.1899,0.5611,,12
M0,4,146,25,0.1712,0.1712,0.5,0.1898,0.5709,,12
MP,4,146,25,0.5089,0.5001,0.7721,0.1989,0.5742,,12
ME,4,146,25,0.2704,0.248,0.6255,0.163,0.511,,12
ME2P,4,146,25,0.5246,0.515,0.7805,0.1605,0.489,,12
M0,5,228,8,0.0351,0.0351,0.5,0.1655,0.5218,,12
MP,5,228,8,0.2939,0.2421,0.8006,0.2033,0.5848,,12
ME,5,228,8,0.1465,0.124,0.817,0.1265,0.4357,,12
ME2P,5,228,8,0.2809,0.2398,0.8227,0.1503,0.465,,12
M0,6,276,5,0.0181,0.0181,0.5,0.1647,0.5205,,12
MP,6,276,5,0.0445,0.0338,0.7199,0.2105,0.6174,,12
ME,6,276,5,0.0695,0.0516,0.6775,0.1036,0.3841,,12
ME2P,6,276,5,0.052,0.0382,0.7247,0.1949,0.5714,,12
M0,7,561,257,0.4581,0.4581,0.5,0.2547,0.703,,12
MP,7,561,257,0.8145,0.8162,0.8193,0.1804,0.5434,,12
ME,7,561,257,0.6223,0.621,0.6431,0.246,0.6856,,12
ME2P,7,561,257,0.832,0.8316,0.8345,0.1868,0.5547,,12
M0,8,320,157,0.4906,0.4906,0.5,0.2623,0.7184,,12
MP,8,320,157,0.8177,0.8182,0.7928,0.1896,0.5702,,12
ME,8,320,157,0.5465,0.5411,0.558,0.2776,0.756,,12
ME2P,8,320,157,0.8213,0.8207,0.7963,0.2057,0.6039,,12
M0,9,288,82,0.2847,0.2847,0.5,0.2147,0.6215,,12
MP,9,288,82,0.6329,0.6305,0.7796,0.1733,0.5253,,12
ME,9,288,82,0.5341,0.5294,0.7276,0.1943,0.577,,12
ME2P,9,288,82,0.6607,0.6531,0.812,0.1567,0.4859,,12
M0,10,677,358,0.5288,0.5288,0.5,0.275,0.7447,,12
MP,10,677,358,0.9194,0.9206,0.9163,0.1511,0.4683,,12
ME,10,677,358,0.6095,0.6081,0.589,0.26,0.715,,12
ME2P,10,677,358,0.9236,0.9235,0.9181,0.1743,0.5216,,12
M0,11,1193,375,0.3143,0.3143,0.5,0.2231,0.6387,,12
MP,11,1193,375,0.5561,0.5483,0.7196,0.2075,0.6046,,12
ME,11,1193,375,0.3503,0.3474,0.5161,0.242,0.6772,,12
ME2P,11,1193,375,0.5263,0.5246,0.6849,0.2268,0.6502,,12
M0,13,175,86,0.4914,0.4914,0.5,0.2619,0.7176,,12
MP,13,175,86,0.8446,0.8446,0.8719,0.1561,0.4746,,12
ME,13,175,86,0.6384,0.6351,0.6441,0.2413,0.6755,,12
ME2P,13,175,86,0.8588,0.8573,0.8849,0.156,0.4817,,12
M0,14,177,28,0.1582,0.1582,0.5,0.1876,0.5665,,12
MP,14,177,28,0.675,0.671,0.9178,0.1731,0.5158,,12
ME,14,177,28,0.2926,0.2861,0.6016,0.2117,0.6143,,12
ME2P,14,177,28,0.6564,0.6475,0.9039,0.1805,0.5397,,12
M0,15,627,384,0.6124,0.6124,0.5,0.3008,0.7981,,12
MP,15,627,384,0.8731,0.8751,0.8139,0.2434,0.6969,,12
ME,15,627,384,0.6693,0.6683,0.564,0.3338,0.8861,,12
ME2P,15,627,384,0.8736,0.8734,0.8017,0.2864,0.8021,,12
M0,16,193,90,0.4663,0.4663,0.5,0.2559,0.7054,,12
MP,16,193,90,0.7815,0.7815,0.7805,0.191,0.5738,,12
ME,16,193,90,0.6403,0.6353,0.6519,0.2351,0.6628,,12
ME2P,16,193,90,0.8035,0.8021,0.8077,0.1826,0.5441,,12
M0,17,287,141,0.4913,0.4913,0.5,0.2623,0.7185,,12
MP,17,287,141,0.9107,0.912,0.9112,0.1523,0.471,,12
ME,17,287,141,0.6097,0.6075,0.6037,0.2454,0.6843,,12
ME2P,17,287,141,0.9136,0.9133,0.9055,0.1564,0.4854,,12
M0,18,432,230,0.5324,0.5324,0.5,0.2739,0.7423,,12
MP,18,432,230,0.8994,0.9014,0.8854,0.1714,0.5157,,12
ME,18,432,230,0.595,0.5929,0.5579,0.2588,0.7112,,12
ME2P,18,432,230,0.8938,0.894,0.8788,0.1854,0.5487,,12
M0,19,323,172,0.5325,0.5325,0.5,0.273,0.7405,,12
MP,19,323,172,0.8568,0.8583,0.8193,0.2011,0.5947,,12
ME,19,323,172,0.6813,0.6799,0.6236,0.2653,0.7264,,12
ME2P,19,323,172,0.8651,0.8647,0.8292,0.2099,0.6099,,12
M0,1,112,22,0.1964,0.1964,0.5,0.2004,0.5927,,13
MP,1,112,22,0.7668,0.7636,0.8727,0.1756,0.5192,,13
ME,1,112,22,0.3793,0.3639,0.7146,0.1925,0.5758,,13
ME2P,1,112,22,0.7563,0.7526,0.8662,0.154,0.4764,,13
M0,2,280,21,0.075,0.075,0.5,0.184,0.5599,,13
MP,2,280,21,0.619,0.6149,0.9072,0.1794,0.5294,,13
ME,2,280,21,0.3525,0.3284,0.8303,0.1666,0.5228,,13
ME2P,2,280,21,0.6595,0.6532,0.9261,0.1431,0.4537,,13
M0,3,146,39,0.2671,0.2671,0.5,0.214,0.6203,,13
MP,3,146,39,0.6316,0.6284,0.7855,0.2084,0.6057,,13
ME,3,146,39,0.6276,0.6232,0.7803,0.209,0.6101,,13
ME2P,3,146,39,0.6248,0.6165,0.8054,0.1969,0.5782,,13
M0,4,146,25,0.1712,0.1712,0.5,0.1962,0.5844,,13
MP,4,146,25,0.4968,0.4901,0.7646,0.2039,0.5881,,13
ME,4,146,25,0.2704,0.248,0.6255,0.1776,0.5443,,13
ME2P,4,146,25,0.5219,0.5125,0.7732,0.1733,0.5204,,13
M0,5,228,8,0.0351,0.0351,0.5,0.1761,0.5439,,13
MP,5,228,8,0.2856,0.2365,0.7838,0.2141,0.6123,,13
ME,5,228,8,0.1465,0.124,0.817,0.1519,0.4925,,13
ME2P,5,228,8,0.2819,0.2408,0.8051,0.1812,0.5394,,13
M0,6,276,5,0.0181,0.0181,0.5,0.176,0.5438,,13
MP,6,276,5,0.0428,0.0322,0.7085,0.2201,0.6421,,13
ME,6,276,5,0.0695,0.0516,0.6775,0.1382,0.4636,,13
ME2P,6,276,5,0.0492,0.0361,0.7077,0.3067,0.846,,13
M0,7,561,257,0.4581,0.4581,0.5,0.2524,0.6982,,13
MP,7,561,257,0.8089,0.8109,0.8117,0.1815,0.5468,,13
ME,7,561,257,0.6223,0.621,0.6431,0.245,0.683,,13
ME2P,7,561,257,0.8226,0.8222,0.824,0.1848,0.5516,,13
M0,8,320,157,0.4906,0.4906,0.5,0.2592,0.7119,,13
MP,8,320,157,0.8129,0.8128,0.7892,0.1908,0.572,,13
ME,8,320,157,0.5465,0.5411,0.558,0.2645,0.724,,13
ME2P,8,320,157,0.8178,0.8172,0.7931,0.1959,0.5785,,13
M0,9,288,82,0.2847,0.2847,0.5,0.218,0.6284,,13
MP,9,288,82,0.6314,0.6301,0.7754,0.1795,0.5416,,13
ME,9,288,82,0.5341,0.5294,0.7276,0.2046,0.6001,,13
ME2P,9,288,82,0.6529,0.6453,0.8007,0.1646,0.5061,,13
M0,10,677,358,0.5288,0.5288,0.5,0.2701,0.7343,,13
MP,10,677,358,0.9187,0.9201,0.9166,0.1484,0.4636,,13
ME,10,677,358,0.6095,0.6081,0.589,0.2582,0.7099,,13
ME2P,10,677,358,0.9195,0.9193,0.9158,0.158,0.4925,,13
M0,11,1193,375,0.3143,0.3143,0.5,0.2263,0.6453,,13
MP,11,1193,375,0.5564,0.5486,0.7206,0.2111,0.6113,,13
ME,11,1193,375,0.3503,0.3474,0.5161,0.2398,0.6726,,13
ME2P,11,1193,375,0.5707,0.5702,0.7173,0.2105,0.6087,,13
M0,12,303,228,0.7525,0.7525,0.5,0.3235,0.8432,,13
MP,12,303,228,0.9219,0.9225,0.7929,0.29,0.8273,,13
ME,12,303,228,0.7158,0.7123,0.417,0.4167,1.0662,,13
ME2P,12,303,228,0.9152,0.915,0.7687,0.3599,0.9845,,13
M0,14,177,28,0.1582,0.1582,0.5,0.1945,0.5809,,13
MP,14,177,28,0.6861,0.6827,0.924,0.1779,0.5277,,13
ME,14,177,28,0.2926,0.2861,0.6016,0.2118,0.6156,,13
ME2P,14,177,28,0.6817,0.6733,0.9163,0.1559,0.4838,,13
M0,15,627,384,0.6124,0.6124,0.5,0.293,0.7812,,13
MP,15,627,384,0.8761,0.878,0.8151,0.2329,0.6706,,13
ME,15,627,384,0.6693,0.6683,0.564,0.307,0.8149,,13
ME2P,15,627,384,0.8659,0.8657,0.7907,0.2715,0.7596,,13
M0,16,193,90,0.4663,0.4663,0.5,0.2537,0.7007,,13
MP,16,193,90,0.7678,0.7677,0.7682,0.1949,0.5847,,13
ME,16,193,90,0.6403,0.6353,0.6519,0.2392,0.6712,,13
ME2P,16,193,90,0.7873,0.7858,0.7908,0.1876,0.5576,,13
M0,17,287,141,0.4913,0.4913,0.5,0.2592,0.712,,13
MP,17,287,141,0.9101,0.9117,0.9106,0.1501,0.4682,,13
ME,17,287,141,0.6097,0.6075,0.6037,0.2471,0.6873,,13
ME2P,17,287,141,0.9157,0.9154,0.91,0.1585,0.491,,13
M0,18,432,230,0.5324,0.5324,0.5,0.2693,0.7326,,13
MP,18,432,230,0.899,0.9005,0.8863,0.1674,0.5075,,13
ME,18,432,230,0.595,0.5929,0.5579,0.2582,0.7097,,13
ME2P,18,432,230,0.8964,0.8966,0.8826,0.2231,0.631,,13
M0,19,323,172,0.5325,0.5325,0.5,0.2686,0.7312,,13
MP,19,323,172,0.8552,0.857,0.8169,0.1972,0.5848,,13
ME,19,323,172,0.6813,0.6799,0.6236,0.2613,0.7165,,13
ME2P,19,323,172,0.864,0.8635,0.8283,0.2092,0.6076,,13
M0,1,112,22,0.1964,0.1964,0.5,0.2042,0.6007,,14
MP,1,112,22,0.7622,0.7593,0.8702,0.1839,0.5371,,14
ME,1,112,22,0.3793,0.3639,0.7146,0.1956,0.5822,,14
ME2P,1,112,22,0.753,0.7493,0.8652,0.1642,0.499,,14
M0,2,280,21,0.075,0.075,0.5,0.1904,0.5731,,14
MP,2,280,21,0.5832,0.583,0.9103,0.1854,0.5434,,14
ME,2,280,21,0.3525,0.3284,0.8303,0.1706,0.5311,,14
ME2P,2,280,21,0.6474,0.6408,0.9272,0.153,0.4764,,14
M0,3,146,39,0.2671,0.2671,0.5,0.2166,0.6256,,14
MP,3,146,39,0.6436,0.6424,0.7948,0.2127,0.6134,,14
ME,3,146,39,0.6276,0.6232,0.7803,0.2122,0.6166,,14
ME2P,3,146,39,0.6408,0.6327,0.8157,0.2013,0.5865,,14
M0,4,146,25,0.1712,0.1712,0.5,0.2006,0.5934,,14
MP,4,146,25,0.501,0.4937,0.7716,0.2086,0.6006,,14
ME,4,146,25,0.2704,0.248,0.6255,0.1793,0.5479,,14
ME2P,4,146,25,0.493,0.4687,0.7788,0.176,0.5267,,14
M0,5,228,8,0.0351,0.0351,0.5,0.1832,0.5585,,14
MP,5,228,8,0.2649,0.2168,0.7844,0.2222,0.6312,,14
ME,5,228,8,0.1465,0.124,0.817,0.1555,0.5,,14
ME2P,5,228,8,0.2458,0.2096,0.8074,0.1851,0.5476,,14
M0,6,276,5,0.0181,0.0181,0.5,0.1835,0.5592,,14
MP,6,276,5,0.0455,0.0346,0.7236,0.2278,0.6617,,14
ME,6,276,5,0.0695,0.0516,0.6775,0.1394,0.466,,14
ME2P,6,276,5,0.05,0.037,0.7196,0.2859,0.7931,,14
M0,7,561,257,0.4581,0.4581,0.5,0.2512,0.6958,,14
MP,7,561,257,0.8057,0.8074,0.812,0.1794,0.5417,,14
ME,7,561,257,0.6223,0.621,0.6431,0.243,0.6789,,14
ME2P,7,561,257,0.8226,0.8222,0.8262,0.1822,0.546,,14
M0,8,320,157,0.4906,0.4906,0.5,0.2574,0.7083,,14
MP,8,320,157,0.8163,0.8176,0.7931,0.1871,0.5631,,14
ME,8,320,157,0.5465,0.5411,0.558,0.2631,0.7212,,14
ME2P,8,320,157,0.8229,0.8223,0.7976,0.193,0.572,,14
M0,9,288,82,0.2847,0.2847,0.5,0.2203,0.6332,,14
MP,9,288,82,0.6372,0.6359,0.7789,0.1811,0.5447,,14
ME,9,288,82,0.5341,0.5294,0.7276,0.2055,0.602,,14
ME2P,9,288,82,0.6597,0.6521,0.8045,0.1661,0.5098,,14
M0,10,677,358,0.5288,0.5288,0.5,0.2673,0.7284,,14
MP,10,677,358,0.92,0.9218,0.9182,0.1436,0.4533,,14
ME,10,677,358,0.6095,0.6081,0.589,0.2547,0.7028,,14
ME2P,10,677,358,0.9209,0.9207,0.9174,0.1568,0.4905,,14
M0,11,1193,375,0.3143,0.3143,0.5,0.2287,0.6502,,14
MP,11,1193,375,0.5409,0.5327,0.7167,0.2162,0.6247,,14
ME,11,1193,375,0.3503,0.3474,0.5161,0.2458,0.6846,,14
ME2P,11,1193,375,0.5498,0.5489,0.7078,0.2211,0.6344,,14
M0,12,303,228,0.7525,0.7525,0.5,0.3166,0.8287,,14
MP,12,303,228,0.921,0.9217,0.7901,0.2852,0.8171,,14
ME,12,303,228,0.7158,0.7123,0.417,0.4165,1.0672,,14
ME2P,12,303,228,0.9137,0.9134,0.764,0.3743,1.0271,,14
M0,13,175,86,0.4914,0.4914,0.5,0.2573,0.7079,,14
MP,13,175,86,0.8512,0.8513,0.8726,0.1525,0.469,,14
ME,13,175,86,0.6384,0.6351,0.6441,0.2424,0.6777,,14
ME2P,13,175,86,0.8611,0.8598,0.8827,0.167,0.5058,,14
M0,15,627,384,0.6124,0.6124,0.5,0.2884,0.7715,,14
MP,15,627,384,0.8731,0.8748,0.8143,0.2291,0.6613,,14
ME,15,627,384,0.6693,0.6683,0.564,0.3038,0.8084,,14
ME2P,15,627,384,0.8674,0.8672,0.7958,0.2642,0.7397,,14
M0,16,193,90,0.4663,0.4663,0.5,0.2525,0.6982,,14
MP,16,193,90,0.7783,0.7779,0.7755,0.1923,0.5782,,14
ME,16,193,90,0.6403,0.6353,0.6519,0.2373,0.6675,,14
ME2P,16,193,90,0.7961,0.7947,0.7976,0.1846,0.5506,,14
M0,17,287,141,0.4913,0.4913,0.5,0.2575,0.7084,,14
MP,17,287,141,0.9136,0.9155,0.9118,0.147,0.4612,,14
ME,17,287,141,0.6097,0.6075,0.6037,0.2451,0.6833,,14
ME2P,17,287,141,0.9176,0.9173,0.9107,0.1548,0.4839,,14
M0,18,432,230,0.5324,0.5324,0.5,0.2667,0.7271,,14
MP,18,432,230,0.9028,0.9044,0.8891,0.1625,0.4964,,14
ME,18,432,230,0.595,0.5929,0.5579,0.2551,0.7035,,14
ME2P,18,432,230,0.8985,0.8987,0.8845,0.2019,0.5842,,14
M0,19,323,172,0.5325,0.5325,0.5,0.2661,0.7258,,14
MP,19,323,172,0.8559,0.8572,0.8187,0.1938,0.5768,,14
ME,19,323,172,0.6813,0.6799,0.6236,0.2581,0.71,,14
ME2P,19,323,172,0.8645,0.864,0.8305,0.2036,0.595,,14
M0,1,112,22,0.1964,0.1964,0.5,0.1928,0.5768,,15
MP,1,112,22,0.7643,0.7625,0.8694,0.1708,0.5078,,15
ME,1,112,22,0.3793,0.3639,0.7146,0.1816,0.5521,,15
ME2P,1,112,22,0.7594,0.7557,0.8682,0.1437,0.4528,,15
M0,2,280,21,0.075,0.075,0.5,0.1715,0.5339,,15
MP,2,280,21,0.6362,0.6336,0.9197,0.1598,0.4847,,15
ME,2,280,21,0.3525,0.3284,0.8303,0.1481,0.4826,,15
ME2P,2,280,21,0.6713,0.663,0.9419,0.1161,0.3917,,15
M0,3,146,39,0.2671,0.2671,0.5,0.2091,0.6101,,15
MP,3,146,39,0.6448,0.6413,0.8,0.2026,0.5903,,15
ME,3,146,39,0.6276,0.6232,0.7803,0.2004,0.5919,,15
ME2P,3,146,39,0.6318,0.6215,0.8193,0.1908,0.564,,15
M0,4,146,25,0.1712,0.1712,0.5,0.1876,0.5664,,15
MP,4,146,25,0.5164,0.5129,0.7815,0.195,0.567,,15
ME,4,146,25,0.2704,0.248,0.6255,0.1653,0.5167,,15
ME2P,4,146,25,0.5351,0.5254,0.7874,0.1584,0.4868,,15
M0,5,228,8,0.0351,0.0351,0.5,0.1622,0.5149,,15
MP,5,228,8,0.2989,0.2484,0.7938,0.1944,0.5665,,15
ME,5,228,8,0.1465,0.124,0.817,0.1307,0.4458,,15
ME2P,5,228,8,0.2638,0.2239,0.8153,0.1567,0.4836,,15
M0,6,276,5,0.0181,0.0181,0.5,0.1614,0.5134,,15
MP,6,276,5,0.0484,0.0371,0.7351,0.2029,0.6015,,15
ME,6,276,5,0.0695,0.0516,0.6775,0.1128,0.4065,,15
ME2P,6,276,5,0.0546,0.0402,0.7358,0.2874,0.8034,,15
M0,7,561,257,0.4581,0.4581,0.5,0.2557,0.7051,,15
MP,7,561,257,0.8141,0.8165,0.8151,0.1831,0.5503,,15
ME,7,561,257,0.6223,0.621,0.6431,0.248,0.6896,,15
ME2P,7,561,257,0.8302,0.8298,0.8286,0.1892,0.561,,15
M0,8,320,157,0.4906,0.4906,0.5,0.2636,0.7212,,15
MP,8,320,157,0.8177,0.8185,0.7917,0.1906,0.5729,,15
ME,8,320,157,0.5465,0.5411,0.558,0.2753,0.7495,,15
ME2P,8,320,157,0.8194,0.8188,0.7936,0.2017,0.5931,,15
M0,9,288,82,0.2847,0.2847,0.5,0.2136,0.6193,,15
MP,9,288,82,0.6442,0.6438,0.7877,0.1684,0.5159,,15
ME,9,288,82,0.5341,0.5294,0.7276,0.1965,0.5822,,15
ME2P,9,288,82,0.6699,0.6623,0.8184,0.1527,0.4771,,15
M0,10,677,358,0.5288,0.5288,0.5,0.2772,0.7495,,15
MP,10,677,358,0.9173,0.9188,0.9145,0.1555,0.4777,,15
ME,10,677,358,0.6095,0.6081,0.589,0.2632,0.721,,15
ME2P,10,677,358,0.9086,0.9084,0.903,0.1631,0.5003,,15
M0,11,1193,375,0.3143,0.3143,0.5,0.2222,0.6368,,15
MP,11,1193,375,0.5448,0.5369,0.7125,0.2082,0.6062,,15
ME,11,1193,375,0.3503,0.3474,0.5161,0.236,0.6648,,15
ME2P,11,1193,375,0.5573,0.5566,0.711,0.2052,0.5986,,15
M0,12,303,228,0.7525,0.7525,0.5,0.3399,0.8784,,15
MP,12,303,228,0.9193,0.9206,0.7885,0.3116,0.8788,,15
ME,12,303,228,0.7158,0.7123,0.417,0.4697,1.2224,,15
ME2P,12,303,228,0.9039,0.9036,0.7406,0.4113,1.1473,,15
M0,13,175,86,0.4914,0.4914,0.5,0.2631,0.7202,,15
MP,13,175,86,0.8493,0.8497,0.8735,0.1577,0.4823,,15
ME,13,175,86,0.6384,0.6351,0.6441,0.2448,0.6825,,15
ME2P,13,175,86,0.8615,0.8601,0.8846,0.184,0.5383,,15
M0,14,177,28,0.1582,0.1582,0.5,0.1853,0.5617,,15
MP,14,177,28,0.6652,0.6619,0.9142,0.1699,0.5091,,15
ME,14,177,28,0.2926,0.2861,0.6016,0.2038,0.5984,,15
ME2P,14,177,28,0.653,0.6439,0.9041,0.1456,0.4573,,15
M0,16,193,90,0.4663,0.4663,0.5,0.2568,0.7074,,15
MP,16,193,90,0.7846,0.7845,0.7819,0.1906,0.5751,,15
ME,16,193,90,0.6403,0.6353,0.6519,0.2384,0.6694,,15
ME2P,16,193,90,0.8048,0.8034,0.8085,0.1824,0.5449,,15
M0,17,287,141,0.4913,0.4913,0.5,0.2636,0.7212,,15
MP,17,287,141,0.8972,0.8997,0.8916,0.1618,0.4943,,15
ME,17,287,141,0.6097,0.6075,0.6037,0.2481,0.6897,,15
ME2P,17,287,141,0.8988,0.8984,0.8852,0.1707,0.5181,,15
M0,18,432,230,0.5324,0.5324,0.5,0.2759,0.7466,,15
MP,18,432,230,0.8913,0.8929,0.8769,0.1774,0.5312,,15
ME,18,432,230,0.595,0.5929,0.5579,0.2621,0.718,,15
ME2P,18,432,230,0.8815,0.8815,0.8659,0.2511,0.7004,,15
M0,19,323,172,0.5325,0.5325,0.5,0.2749,0.7445,,15
MP,19,323,172,0.8558,0.8589,0.8182,0.2044,0.6007,,15
ME,19,323,172,0.6813,0.6799,0.6236,0.2678,0.731,,15
ME2P,19,323,172,0.8657,0.8653,0.8301,0.2222,0.6368,,15
M0,1,112,22,0.1964,0.1964,0.5,0.2006,0.5932,,16
MP,1,112,22,0.7629,0.7581,0.8725,0.1753,0.5176,,16
ME,1,112,22,0.3793,0.3639,0.7146,0.1927,0.5763,,16
ME2P,1,112,22,0.7589,0.7551,0.8702,0.1545,0.4769,,16
M0,2,280,21,0.075,0.075,0.5,0.1844,0.5607,,16
MP,2,280,21,0.6278,0.6227,0.9055,0.1816,0.5339,,16
ME,2,280,21,0.3525,0.3284,0.8303,0.167,0.5237,,16
ME2P,2,280,21,0.6675,0.6613,0.9237,0.1455,0.4586,,16
M0,3,146,39,0.2671,0.2671,0.5,0.2141,0.6206,,16
MP,3,146,39,0.6317,0.6283,0.784,0.2102,0.6091,,16
ME,3,146,39,0.6276,0.6232,0.7803,0.2092,0.6105,,16
ME2P,3,146,39,0.6225,0.6143,0.8018,0.1984,0.5807,,16
M0,4,146,25,0.1712,0.1712,0.5,0.1965,0.5849,,16
MP,4,146,25,0.5043,0.4953,0.766,0.2045,0.5883,,16
ME,4,146,25,0.2704,0.248,0.6255,0.1779,0.5449,,16
ME2P,4,146,25,0.525,0.5157,0.7726,0.1738,0.5208,,16
M0,5,228,8,0.0351,0.0351,0.5,0.1765,0.5447,,16
MP,5,228,8,0.2998,0.2474,0.7869,0.2159,0.6155,,16
ME,5,228,8,0.1465,0.124,0.817,0.1524,0.4936,,16
ME2P,5,228,8,0.2938,0.2526,0.8051,0.1811,0.5385,,16
M0,6,276,5,0.0181,0.0181,0.5,0.1764,0.5447,,16
MP,6,276,5,0.043,0.0326,0.717,0.2216,0.6448,,16
ME,6,276,5,0.0695,0.0516,0.6775,0.1389,0.465,,16
ME2P,6,276,5,0.0494,0.0366,0.7129,0.2943,0.8142,,16
M0,7,561,257,0.4581,0.4581,0.5,0.2523,0.6981,,16
MP,7,561,257,0.8085,0.8119,0.8112,0.1809,0.5475,,16
ME,7,561,257,0.6223,0.621,0.6431,0.2449,0.6829,,16
ME2P,7,561,257,0.8245,0.8241,0.8247,0.1841,0.5503,,16
M0,8,320,157,0.4906,0.4906,0.5,0.2591,0.7117,,16
MP,8,320,157,0.815,0.8153,0.7931,0.188,0.566,,16
ME,8,320,157,0.5465,0.5411,0.558,0.2643,0.7236,,16
ME2P,8,320,157,0.8227,0.8221,0.8005,0.1941,0.5745,,16
M0,9,288,82,0.2847,0.2847,0.5,0.2181,0.6287,,16
MP,9,288,82,0.6192,0.6177,0.766,0.1827,0.5502,,16
ME,9,288,82,0.5341,0.5294,0.7276,0.2048,0.6005,,16
ME2P,9,288,82,0.6404,0.6326,0.7923,0.1661,0.5096,,16
M0,10,677,358,0.5288,0.5288,0.5,0.2699,0.734,,16
MP,10,677,358,0.919,0.9208,0.9169,0.1466,0.459,,16
ME,10,677,358,0.6095,0.6081,0.589,0.2581,0.7097,,16
ME2P,10,677,358,0.9221,0.9219,0.9183,0.1561,0.487,,16
M0,11,1193,375,0.3143,0.3143,0.5,0.2264,0.6456,,16
MP,11,1193,375,0.5563,0.548,0.7225,0.2111,0.611,,16
ME,11,1193,375,0.3503,0.3474,0.5161,0.24,0.6728,,16
ME2P,11,1193,375,0.569,0.5684,0.7194,0.21,0.6076,,16
M0,12,303,228,0.7525,0.7525,0.5,0.3231,0.8424,,16
MP,12,303,228,0.9226,0.923,0.7959,0.2887,0.824,,16
ME,12,303,228,0.7158,0.7123,0.417,0.4161,1.0648,,16
ME2P,12,303,228,0.9162,0.916,0.772,0.3712,1.0213,,16
M0,13,175,86,0.4914,0.4914,0.5,0.2588,0.7112,,16
