Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note,dropped_train
ME2P,19,323,172,0.8629,0.8624,0.8289,0.209,0.6072,,3
M0,1,112,22,0.1964,0.1964,0.5,0.2036,0.5994,,4
MP,1,112,22,0.7125,0.7077,0.8614,0.1863,0.5453,,4
ME,1,112,22,0.3793,0.3639,0.7146,0.195,0.5811,,4
ME2P,1,112,22,0.7404,0.7361,0.8636,0.1653,0.5013,,4
M0,2,280,21,0.075,0.075,0.5,0.1893,0.5708,,4
MP,2,280,21,0.616,0.6117,0.9106,0.1835,0.5385,,4
ME,2,280,21,0.3525,0.3284,0.8303,0.1708,0.5318,,4
ME2P,2,280,21,0.6736,0.6676,0.927,0.1537,0.4763,,4
M0,3,146,39,0.2671,0.2671,0.5,0.2161,0.6247,,4
MP,3,146,39,0.6195,0.6176,0.7855,0.2167,0.6261,,4
ME,3,146,39,0.6276,0.6232,0.7803,0.2111,0.6144,,4
ME2P,3,146,39,0.6122,0.6039,0.7992,0.2095,0.6069,,4
M0,5,228,8,0.0351,0.0351,0.5,0.182,0.556,,4
MP,5,228,8,0.3089,0.2166,0.7918,0.2201,0.6266,,4
ME,5,228,8,0.1465,0.124,0.817,0.1566,0.5026,,4
ME2P,5,228,8,0.3673,0.3414,0.8114,0.2,0.5806,,4
M0,6,276,5,0.0181,0.0181,0.5,0.1822,0.5565,,4
MP,6,276,5,0.0431,0.0323,0.7162,0.2272,0.6622,,4
ME,6,276,5,0.0695,0.0516,0.6775,0.1437,0.4756,,4
ME2P,6,276,5,0.048,0.0351,0.7159,0.3126,0.8686,,4
M0,7,561,257,0.4581,0.4581,0.5,0.2514,0.6961,,4
MP,7,561,257,0.8105,0.8124,0.8137,0.1788,0.5405,,4
ME,7,561,257,0.6223,0.621,0.6431,0.2442,0.6813,,4
ME2P,7,561,257,0.8242,0.8239,0.8248,0.179,0.5388,,4
M0,8,320,157,0.4906,0.4906,0.5,0.2577,0.7089,,4
MP,8,320,157,0.8182,0.8192,0.7912,0.1869,0.567,,4
ME,8,320,157,0.5465,0.5411,0.558,0.2629,0.7205,,4
ME2P,8,320,157,0.8233,0.8227,0.7965,0.1887,0.563,,4
M0,9,288,82,0.2847,0.2847,0.5,0.2199,0.6324,,4
MP,9,288,82,0.6323,0.6314,0.7746,0.1817,0.5461,,4
ME,9,288,82,0.5341,0.5294,0.7276,0.2062,0.6036,,4
ME2P,9,288,82,0.6486,0.6409,0.794,0.1692,0.5156,,4
M0,10,677,358,0.5288,0.5288,0.5,0.2677,0.7293,,4
MP,10,677,358,0.9215,0.9232,0.9197,0.1434,0.4526,,4
ME,10,677,358,0.6095,0.6081,0.589,0.2566,0.7065,,4
ME2P,10,677,358,0.9246,0.9245,0.9206,0.1486,0.4696,,4
M0,11,1193,375,0.3143,0.3143,0.5,0.2282,0.6493,,4
MP,11,1193,375,0.5621,0.5521,0.7225,0.2133,0.6165,,4
ME,11,1193,375,0.3503,0.3474,0.5161,0.2413,0.6756,,4
ME2P,11,1193,375,0.5732,0.5728,0.7167,0.2155,0.6205,,4
M0,12,303,228,0.7525,0.7525,0.5,0.3177,0.8309,,4
MP,12,303,228,0.9225,0.923,0.7914,0.2867,0.8198,,4
ME,12,303,228,0.7158,0.7123,0.417,0.4117,1.0532,,4
ME2P,12,303,228,0.9142,0.9139,0.7656,0.3732,1.0229,,4
M0,13,175,86,0.4914,0.4914,0.5,0.2575,0.7085,,4
MP,13,175,86,0.8401,0.8408,0.8683,0.1545,0.4734,,4
ME,13,175,86,0.6384,0.6351,0.6441,0.244,0.681,,4
ME2P,13,175,86,0.8539,0.8525,0.8794,0.1703,0.5118,,4
M0,14,177,28,0.1582,0.1582,0.5,0.1983,0.5889,,4
MP,14,177,28,0.6852,0.6799,0.9246,0.1838,0.5422,,4
ME,14,177,28,0.2926,0.2861,0.6016,0.2148,0.6217,,4
ME2P,14,177,28,0.6613,0.6493,0.9154,0.1644,0.5028,,4
M0,15,627,384,0.6124,0.6124,0.5,0.2891,0.773,,4
MP,15,627,384,0.8754,0.8775,0.8151,0.2298,0.6628,,4
ME,15,627,384,0.6693,0.6683,0.564,0.3038,0.8076,,4
ME2P,15,627,384,0.8678,0.8675,0.7937,0.2665,0.7431,,4
M0,16,193,90,0.4663,0.4663,0.5,0.2526,0.6986,,4
MP,16,193,90,0.7789,0.7794,0.7759,0.1922,0.5779,,4
ME,16,193,90,0.6403,0.6353,0.6519,0.2389,0.6706,,4
ME2P,16,193,90,0.797,0.7956,0.7976,0.1855,0.5529,,4
M0,17,287,141,0.4913,0.4913,0.5,0.2578,0.709,,4
MP,17,287,141,0.9099,0.9112,0.9101,0.1479,0.463,,4
ME,17,287,141,0.6097,0.6075,0.6037,0.2465,0.686,,4
ME2P,17,287,141,0.915,0.9147,0.9092,0.1581,0.4913,,4
M0,18,432,230,0.5324,0.5324,0.5,0.2671,0.7279,,4
MP,18,432,230,0.9024,0.9045,0.8896,0.1632,0.4978,,4
ME,18,432,230,0.595,0.5929,0.5579,0.2568,0.7069,,4
ME2P,18,432,230,0.9001,0.9003,0.8861,0.2138,0.61,,4
M0,19,323,172,0.5325,0.5325,0.5,0.2665,0.7267,,4
MP,19,323,172,0.8556,0.8573,0.8186,0.1945,0.5784,,4
ME,19,323,172,0.6813,0.6799,0.6236,0.2597,0.7131,,4
ME2P,19,323,172,0.8646,0.8642,0.8301,0.2082,0.6054,,4
M0,1,112,22,0.1964,0.1964,0.5,0.207,0.6065,,5
MP,1,112,22,0.7293,0.719,0.8677,0.1853,0.5426,,5
ME,1,112,22,0.3793,0.3639,0.7146,0.1988,0.5891,,5
ME2P,1,112,22,0.7476,0.7434,0.8667,0.1638,0.4975,,5
M0,2,280,21,0.075,0.075,0.5,0.1951,0.5827,,5
MP,2,280,21,0.5911,0.5844,0.9015,0.1943,0.5641,,5
ME,2,280,21,0.3525,0.3284,0.8303,0.1775,0.546,,5
ME2P,2,280,21,0.6058,0.5951,0.916,0.1619,0.4939,,5
M0,3,146,39,0.2671,0.2671,0.5,0.2185,0.6295,,5
MP,3,146,39,0.6142,0.6195,0.7854,0.2168,0.6279,,5
ME,3,146,39,0.6276,0.6232,0.7803,0.214,0.6205,,5
ME2P,3,146,39,0.6103,0.6019,0.7982,0.2108,0.611,,5
M0,4,146,25,0.1712,0.1712,0.5,0.2038,0.5999,,5
MP,4,146,25,0.5305,0.5262,0.7681,0.2121,0.6086,,5
ME,4,146,25,0.2704,0.248,0.6255,0.1846,0.5596,,5
ME2P,4,146,25,0.5308,0.5226,0.7716,0.191,0.5591,,5
M0,6,276,5,0.0181,0.0181,0.5,0.189,0.5704,,5
MP,6,276,5,0.0429,0.0324,0.7177,0.2338,0.6782,,5
ME,6,276,5,0.0695,0.0516,0.6775,0.1537,0.4968,,5
ME2P,6,276,5,0.0463,0.0342,0.7144,0.3363,0.9317,,5
M0,7,561,257,0.4581,0.4581,0.5,0.2505,0.6943,,5
MP,7,561,257,0.8046,0.8066,0.8089,0.179,0.5408,,5
ME,7,561,257,0.6223,0.621,0.6431,0.2437,0.6803,,5
ME2P,7,561,257,0.8192,0.8188,0.8208,0.1785,0.5375,,5
M0,8,320,157,0.4906,0.4906,0.5,0.2563,0.7061,,5
MP,8,320,157,0.8125,0.8136,0.7896,0.1878,0.5638,,5
ME,8,320,157,0.5465,0.5411,0.558,0.2604,0.715,,5
ME2P,8,320,157,0.8194,0.8188,0.7953,0.1894,0.5631,,5
M0,9,288,82,0.2847,0.2847,0.5,0.2221,0.6368,,5
MP,9,288,82,0.6019,0.5927,0.7674,0.1876,0.5616,,5
ME,9,288,82,0.5341,0.5294,0.7276,0.2092,0.6099,,5
ME2P,9,288,82,0.6328,0.625,0.7887,0.1742,0.5268,,5
M0,10,677,358,0.5288,0.5288,0.5,0.2655,0.7247,,5
MP,10,677,358,0.9202,0.9221,0.9193,0.1417,0.4489,,5
ME,10,677,358,0.6095,0.6081,0.589,0.2553,0.7039,,5
ME2P,10,677,358,0.9229,0.9227,0.9204,0.1453,0.4628,,5
M0,11,1193,375,0.3143,0.3143,0.5,0.2305,0.654,,5
MP,11,1193,375,0.5596,0.5594,0.7233,0.2158,0.6226,,5
ME,11,1193,375,0.3503,0.3474,0.5161,0.2433,0.6795,,5
ME2P,11,1193,375,0.5756,0.5751,0.7208,0.2164,0.6228,,5
M0,12,303,228,0.7525,0.7525,0.5,0.312,0.8191,,5
MP,12,303,228,0.9223,0.9231,0.792,0.2807,0.8049,,5
ME,12,303,228,0.7158,0.7123,0.417,0.4001,1.0232,,5
ME2P,12,303,228,0.9152,0.9149,0.7674,0.355,0.9727,,5
M0,13,175,86,0.4914,0.4914,0.5,0.2562,0.7058,,5
MP,13,175,86,0.8412,0.8414,0.8679,0.1537,0.4718,,5
ME,13,175,86,0.6384,0.6351,0.6441,0.244,0.681,,5
ME2P,13,175,86,0.8527,0.8512,0.8791,0.1706,0.5125,,5
M0,14,177,28,0.1582,0.1582,0.5,0.2025,0.5974,,5
MP,14,177,28,0.6639,0.66,0.9171,0.1894,0.5548,,5
ME,14,177,28,0.2926,0.2861,0.6016,0.2179,0.6282,,5
ME2P,14,177,28,0.6739,0.6665,0.9101,0.1661,0.5059,,5
M0,15,627,384,0.6124,0.6124,0.5,0.2854,0.7652,,5
MP,15,627,384,0.8773,0.879,0.8185,0.2246,0.6503,,5
ME,15,627,384,0.6693,0.6683,0.564,0.2985,0.7954,,5
ME2P,15,627,384,0.8692,0.8689,0.7965,0.2615,0.7315,,5
M0,16,193,90,0.4663,0.4663,0.5,0.2517,0.6967,,5
MP,16,193,90,0.7756,0.7758,0.7728,0.1929,0.5802,,5
ME,16,193,90,0.6403,0.6353,0.6519,0.2392,0.6713,,5
ME2P,16,193,90,0.7938,0.7924,0.795,0.186,0.5542,,5
M0,17,287,141,0.4913,0.4913,0.5,0.2564,0.7062,,5
MP,17,287,141,0.912,0.9142,0.9122,0.1448,0.4563,,5
ME,17,287,141,0.6097,0.6075,0.6037,0.2462,0.6856,,5
ME2P,17,287,141,0.9177,0.9173,0.912,0.1562,0.4876,,5
M0,18,432,230,0.5324,0.5324,0.5,0.2649,0.7235,,5
MP,18,432,230,0.9009,0.9023,0.8879,0.1611,0.4932,,5
ME,18,432,230,0.595,0.5929,0.5579,0.2558,0.7048,,5
ME2P,18,432,230,0.8988,0.899,0.8848,0.2142,0.6111,,5
M0,19,323,172,0.5325,0.5325,0.5,0.2644,0.7224,,5
MP,19,323,172,0.8521,0.8536,0.8157,0.1931,0.5756,,5
ME,19,323,172,0.6813,0.6799,0.6236,0.258,0.7096,,5
ME2P,19,323,172,0.8617,0.8612,0.8277,0.2067,0.6022,,5
M0,1,112,22,0.1964,0.1964,0.5,0.2086,0.6098,,6
MP,1,112,22,0.7551,0.7516,0.8667,0.1882,0.5473,,6
ME,1,112,22,0.3793,0.3639,0.7146,0.201,0.5939,,6
ME2P,1,112,22,0.7611,0.7576,0.8667,0.1603,0.4879,,6
M0,2,280,21,0.075,0.075,0.5,0.1978,0.5882,,6
MP,2,280,21,0.5847,0.5792,0.9083,0.1936,0.5632,,6
ME,2,280,21,0.3525,0.3284,0.8303,0.1827,0.557,,6
ME2P,2,280,21,0.6535,0.6464,0.9231,0.1513,0.4687,,6
M0,3,146,39,0.2671,0.2671,0.5,0.2196,0.6318,,6
MP,3,146,39,0.6344,0.6303,0.7904,0.2185,0.6385,,6
ME,3,146,39,0.6276,0.6232,0.7803,0.2153,0.6231,,6
ME2P,3,146,39,0.6124,0.6042,0.7939,0.2186,0.632,,6
