BaseAccession,EnsemblGeneID,PathwayLabel,Annotation
Q8IY92,ENSG00000188827,HR,HR
Q8IYW5,ENSG00000163961,HR,HR
Q8N122,ENSG00000141564,unassigned,unassigned
Q8N2W9,ENSG00000105229,HR,HR
Q8N3C0,ENSG00000112249,unassigned,unassigned
Q8N594,ENSG00000008382,unassigned,unassigned
Q8N6T7,ENSG00000077463,HR,HR
Q8N884,ENSG00000164430,HR,HR
Q8N9N2,ENSG00000138303,unassigned,unassigned
Q8NAP3,ENSG00000177311,unassigned,unassigned
Q8NB91,ENSG00000181544,FA,FA
Q8NCN4,ENSG00000166439,HR,HR
Q8NEV1,ENSG00000254598,unassigned,unassigned
Q8NFC6,ENSG00000038219,HR,HR
Q8TAF3,ENSG00000114742,HR,HR
Q8TDB6,ENSG00000163840,NHEJ,NHEJ
Q8TEK3,ENSG00000104885,HR,HR
Q8WV22,ENSG00000169189,HR,HR
Q8WXE1,ENSG00000164053,HR,HR
Q8WYQ5,ENSG00000128191,HR,HR
Q92466,ENSG00000134574,NER,NER
Q92499,ENSG00000079785,HR,HR
Q92547,ENSG00000163781,HR,HR
Q92597,ENSG00000104419,HR,HR
Q92878,ENSG00000113522,HR,HR
Q92889,ENSG00000175595,HR,HR
Q92900,ENSG00000005007,HR,HR
Q93009,ENSG00000187555,NER,NER
Q96AH0,ENSG00000173559,HR,HR
Q96AY2,ENSG00000154920,HR,HR
Q96B01,ENSG00000111247,HR,HR
Q96FC9,ENSG00000013573,HR,HR
Q96FF9,ENSG00000146670,HR,HR
Q96FI4,ENSG00000140398,BER,BER
Q96FW1,ENSG00000167770,HR,HR
Q96FZ2,ENSG00000183624,AEJ,AEJ
Q96GX5,ENSG00000120539,unassigned,unassigned
Q96JB5,ENSG00000108465,HR,HR
Q96JH7,ENSG00000175073,unassigned,unassigned
Q96K58,ENSG00000167394,HR,HR
Q96K76,ENSG00000170242,BER,BER
Q96L91,ENSG00000183495,HR,HR
Q96LA8,ENSG00000198890,BER,BER
Q96LR5,ENSG00000182247,unassigned,unassigned
Q96MF7,ENSG00000156831,HR,HR
Q96PM9,ENSG00000161642,unassigned,unassigned
Q96PZ2,ENSG00000166801,unassigned,unassigned
Q96Q15,ENSG00000157106,unassigned,unassigned
Q96Q83,ENSG00000166199,unassigned,unassigned
Q96RL1,ENSG00000087206,HR,HR
Q96RU2,ENSG00000048028,unassigned,unassigned
Q96S55,ENSG00000124535,FA,FA
Q96SB8,ENSG00000163029,HR,HR
Q96T60,ENSG00000039650,BER,BER
Q99436,ENSG00000136930,unassigned,unassigned
Q99459,ENSG00000096401,unassigned,unassigned
Q99497,ENSG00000116288,unassigned,unassigned
Q99504,ENSG00000158161,unassigned,unassigned
Q99598,ENSG00000116918,NHEJ,NHEJ
Q99708,ENSG00000101773,HR,HR
Q99728,ENSG00000138376,HR,HR
Q99801,ENSG00000167034,HR,HR
Q99873,ENSG00000126457,HR,HR
Q99986,ENSG00000100749,unassigned,unassigned
Q9BQ15,ENSG00000139579,HR,HR
Q9BQ69,ENSG00000133315,unassigned,unassigned
Q9BQI6,ENSG00000133302,HR,HR
Q9BRQ6,ENSG00000159685,unassigned,unassigned
Q9BTA9,ENSG00000095787,unassigned,unassigned
Q9BTE7,ENSG00000137692,unassigned,unassigned
Q9BUA3,ENSG00000168005,unassigned,unassigned
Q9BVC6,ENSG00000110108,unassigned,unassigned
Q9BVW5,ENSG00000075131,HR,HR
Q9BX63,ENSG00000136492,HR,HR
Q9BXW9,ENSG00000144554,HR,HR
Q9BYT3,ENSG00000130413,unassigned,unassigned
Q9BYW2,ENSG00000181555,HR,HR
Q9BZF9,ENSG00000137831,unassigned,unassigned
Q9C0C2,ENSG00000149115,NHEJ,NHEJ
Q9C0J8,ENSG00000136709,unassigned,unassigned
Q9H0W9,ENSG00000182919,HR,HR
Q9H1E3,ENSG00000069275,HR,HR
Q9H1I8,ENSG00000100325,unassigned,unassigned
Q9H2F5,ENSG00000120616,HR,HR
Q9H2K8,ENSG00000135090,unassigned,unassigned
Q9H4A3,ENSG00000060237,unassigned,unassigned
Q9H4L7,ENSG00000163104,HR,HR
Q9H8M2,ENSG00000028310,HR,HR
Q9H967,ENSG00000092470,unassigned,unassigned
Q9H981,ENSG00000113812,HR,HR
Q9H993,ENSG00000146476,unassigned,unassigned
Q9H9A7,ENSG00000178966,HR,HR
Q9H9Q4,ENSG00000187736,NHEJ,NHEJ
Q9HAW4,ENSG00000092853,HR,HR
Q9HCE5,ENSG00000145388,NER,NER
Q9HCI7,ENSG00000174579,NHEJ,NHEJ
Q9HCS7,ENSG00000076924,HR,HR
Q9HCU8,ENSG00000175482,HR,HR
Q9NPD8,ENSG00000077152,HR,HR
Q9NPF5,ENSG00000178028,HR,HR
Q9NRF9,ENSG00000148229,HR,HR
Q9NRR5,ENSG00000160803,HR,HR
Q9NRY2,ENSG00000148153,HR,HR
Q9NRZ9,ENSG00000119969,HR,HR
Q9NS56,ENSG00000197579,HR,HR
Q9NS91,ENSG00000070950,HR,HR
Q9NSY0,ENSG00000185189,unassigned,unassigned
Q9NTI5,ENSG00000083642,HR,HR
Q9NUA8,ENSG00000184677,unassigned,unassigned
Q9NUW8,ENSG00000042088,BER,BER
Q9NVH0,ENSG00000081177,HR,HR
Q9NVI1,ENSG00000140525,HR,HR
Q9NVI7,ENSG00000197785,unassigned,unassigned
Q9NWY4,ENSG00000056050,HR,HR
Q9NXL9,ENSG00000111877,HR,HR
Q9NXV6,ENSG00000168564,unassigned,unassigned
Q9NXX6,ENSG00000107672,HR,HR
Q9NYB0,ENSG00000166848,HR,HR
Q9NYF8,ENSG00000029363,unassigned,unassigned
Q9NYP3,ENSG00000159147,unassigned,unassigned
Q9NYZ3,ENSG00000075218,unassigned,unassigned
Q9NZ71,ENSG00000258366,HR,HR
Q9NZC9,ENSG00000138375,HR,HR
Q9NZJ0,ENSG00000143476,NER,NER
Q9NZM5,ENSG00000105373,unassigned,unassigned
Q9P287,ENSG00000107949,HR,HR
Q9UBB9,ENSG00000100109,HR,HR
Q9UBL3,ENSG00000129691,HR,HR
Q9UBT6,ENSG00000122008,BER,BER
Q9UBU8,ENSG00000185787,HR,HR
Q9UBZ4,ENSG00000169188,BER,BER
Q9UGP5,ENSG00000166169,BER,BER
Q9UHC1,ENSG00000119684,HR,HR
Q9UI95,ENSG00000116670,HR,HR
Q9UIG0,ENSG00000009954,unassigned,unassigned
Q9UKT4,ENSG00000112029,HR,HR
Q9UKW4,ENSG00000134215,unassigned,unassigned
Q9ULG1,ENSG00000128908,HR,HR
Q9ULU4,ENSG00000101040,HR,HR
Q9UM54,ENSG00000196586,unassigned,unassigned
Q9UMS4,ENSG00000110107,HR,HR
Q9UNA4,ENSG00000101751,BER,BER
Q9UNS1,ENSG00000111602,HR,HR
Q9UQ84,ENSG00000174371,HR,HR
Q9Y230,ENSG00000183207,unassigned,unassigned
Q9Y2K1,ENSG00000126804,unassigned,unassigned
Q9Y2K7,ENSG00000173120,NHEJ,NHEJ
Q9Y3S1,ENSG00000165238,unassigned,unassigned
Q9Y3Z3,ENSG00000101347,HR,HR
Q9Y4A5,ENSG00000196367,NHEJ,NHEJ
Q9Y620,ENSG00000197275,HR,HR
Q9Y6I4,ENSG00000140455,unassigned,unassigned
Q9Y6X9,ENSG00000133422,unassigned,unassigned
