Model,Lambda,InnerMeanGroupMAE,OuterConnGroup
LDHA_LDHB,3,9.29188227773341,10
LDHA_LDHB,1,9.48568943072263,10
LDHA_LDHB,0.3,9.6004367565913,10
LDHA_LDHB,0.1,9.63580862927388,10
L_conversion_4,3,9.672454256692,10
GO_metabolism_128,3,10.2335955950145,10
L_conversion_4,1,10.2883615575267,10
L_conversion_4,0.3,10.6688017975054,10
L_conversion_4,0.1,10.8436675665928,10
GO_metabolism_128,1,11.4837198146392,10
GO_metabolism_128,0.3,13.612899899361,10
GO_metabolism_128,0.1,15.6540838875374,10
LDHA_LDHB,100,8.48719515619611,11
L_conversion_4,30,8.51265107462969,11
L_conversion_4,100,8.52762993670607,11
LDHA_LDHB,30,8.55815386942154,11
GO_metabolism_128,30,8.59787806521643,11
GO_metabolism_128,100,8.60206064824001,11
GO_metabolism_128,10,8.61210313873346,11
LDHA_LDHB,10,8.65981662418898,11
L_conversion_4,10,8.68561500597133,11
LDHA_LDHB,3,8.75649727502941,11
GO_metabolism_128,3,8.76445870584105,11
LDHA_LDHB,1,8.93374444321593,11
LDHA_LDHB,0.3,9.03081677571066,11
LDHA_LDHB,0.1,9.06073535158999,11
L_conversion_4,3,9.11086288172694,11
GO_metabolism_128,1,9.49444968719081,11
L_conversion_4,1,9.55090529212066,11
L_conversion_4,0.3,9.94541671405949,11
L_conversion_4,0.1,10.1075903220911,11
GO_metabolism_128,0.3,10.7896519589359,11
GO_metabolism_128,0.1,11.5535732327313,11
LDHA_LDHB,10,8.86813935554345,12
LDHA_LDHB,30,8.95571462882458,12
LDHA_LDHB,3,9.0330151836456,12
L_conversion_4,10,9.05426594434658,12
L_conversion_4,30,9.07221485322734,12
LDHA_LDHB,100,9.16772100651224,12
LDHA_LDHB,1,9.22638135442377,12
L_conversion_4,100,9.24782609808333,12
LDHA_LDHB,0.3,9.32245754545072,12
L_conversion_4,3,9.32417469536631,12
LDHA_LDHB,0.1,9.35249142854256,12
GO_metabolism_128,100,9.36735245902213,12
GO_metabolism_128,30,9.41595957697318,12
GO_metabolism_128,10,9.5083085197417,12
GO_metabolism_128,3,9.82894147810057,12
L_conversion_4,1,9.97635584561022,12
L_conversion_4,0.3,10.4384750632265,12
L_conversion_4,0.1,10.6100750737784,12
GO_metabolism_128,1,10.8730765526779,12
GO_metabolism_128,0.3,13.7701557992227,12
GO_metabolism_128,0.1,16.2368773828922,12
LDHA_LDHB,3,9.44230009110647,13
LDHA_LDHB,10,9.54217747075807,13
LDHA_LDHB,1,9.57019125460159,13
LDHA_LDHB,0.3,9.63875594290798,13
LDHA_LDHB,30,9.64711228652806,13
LDHA_LDHB,0.1,9.66011062607496,13
LDHA_LDHB,100,9.69206661495041,13
L_conversion_4,100,9.71748402279737,13
L_conversion_4,30,9.7418900342108,13
GO_metabolism_128,100,9.74952219339071,13
L_conversion_4,10,9.82357832359166,13
GO_metabolism_128,30,9.82618415328108,13
GO_metabolism_128,10,9.98223627718339,13
L_conversion_4,3,10.0435557215407,13
L_conversion_4,1,10.3324741989605,13
GO_metabolism_128,3,10.4157978555753,13
L_conversion_4,0.3,10.6844695063077,13
L_conversion_4,0.1,10.8099666611352,13
GO_metabolism_128,1,11.6229978333311,13
GO_metabolism_128,0.3,14.0913487880681,13
GO_metabolism_128,0.1,16.1704785016613,13
L_conversion_4,3,8.75276687029175,14
L_conversion_4,10,8.83194022473463,14
L_conversion_4,1,8.8336426905575,14
L_conversion_4,0.3,8.97519554498213,14
L_conversion_4,0.1,9.0623194038058,14
L_conversion_4,30,9.10978186178845,14
LDHA_LDHB,30,9.12798888861023,14
LDHA_LDHB,10,9.16336260638348,14
LDHA_LDHB,3,9.1935342715439,14
LDHA_LDHB,100,9.24331293203638,14
L_conversion_4,100,9.27613917227576,14
LDHA_LDHB,1,9.31367715500461,14
LDHA_LDHB,0.3,9.39445915895055,14
GO_metabolism_128,100,9.40577408477677,14
LDHA_LDHB,0.1,9.42271622965691,14
GO_metabolism_128,30,9.48083287286976,14
GO_metabolism_128,10,9.63689671905732,14
GO_metabolism_128,3,10.095047786471,14
GO_metabolism_128,1,11.302252878696,14
GO_metabolism_128,0.3,13.5751563337136,14
GO_metabolism_128,0.1,15.2790700014724,14
LDHA_LDHB,30,9.24996366959172,15
L_conversion_4,30,9.25783596649163,15
LDHA_LDHB,10,9.29873881261561,15
L_conversion_4,10,9.33186073037537,15
LDHA_LDHB,3,9.33760619116065,15
LDHA_LDHB,100,9.34430412092594,15
L_conversion_4,100,9.38773352506266,15
GO_metabolism_128,100,9.48717260017849,15
LDHA_LDHB,1,9.4931210825969,15
GO_metabolism_128,30,9.53753423715963,15
LDHA_LDHB,0.3,9.57837391848571,15
LDHA_LDHB,0.1,9.60533078353404,15
GO_metabolism_128,10,9.6456577107788,15
L_conversion_4,3,9.71037487315941,15
GO_metabolism_128,3,9.99204564611921,15
L_conversion_4,1,10.1383153434678,15
L_conversion_4,0.3,10.482405597696,15
L_conversion_4,0.1,10.6374210107075,15
GO_metabolism_128,1,10.9197348032314,15
GO_metabolism_128,0.3,12.9032228554939,15
GO_metabolism_128,0.1,14.6410842246101,15
