Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
GO6_huber,0.01,7.88416408485847,6
Core4_huber,0.01,8.0848532830186,6
Mechanism10_ridge,10,8.20725001930025,6
All16_ridge,10,8.37444114405668,6
Core4_huber,0.03,8.41098462586833,6
All16_ridge,3,8.46587545772753,6
Mechanism10_ridge,3,8.60148029044734,6
Mechanism10_ridge,0.1,8.65719403067684,6
GO6_huber,0.03,8.75844444665287,6
Mechanism10_ridge,1,8.79310333602236,6
GO6_knn,7,8.79960796026479,6
GO6_ridge,3,8.81225383001636,6
Core4_ridge,10,8.85719012352215,6
Mechanism10_ridge,30,8.86388993197629,6
Core4_ridge,3,8.9372604342068,6
GO6_ridge,10,8.99954819783088,6
All16_ridge,30,9.01136294288026,6
Mechanism10_ridge,0.3,9.02177427181918,6
GO6_ridge,1,9.1926753441043,6
All16_ridge,1,9.20110943548189,6
Mechanism10_ridge,100,9.22649616044907,6
Core4_ridge,30,9.22902319901336,6
Core4_ridge,1,9.23195605567491,6
All16_ridge,100,9.28658500123079,6
GO6_knn,5,9.29795145863271,6
GO6_ridge,30,9.30196580810335,6
Core4_ridge,100,9.36509494117633,6
GO6_ridge,100,9.39186022304683,6
Core4_huber,0.1,9.39807776899186,6
MedianBaseline,0,9.43408859177761,6
GO6_huber,0.1,9.54582187660165,6
Core4_huber,0.3,9.65529266303929,6
GO6_huber,0.3,9.70544676548053,6
All16_ridge,0.1,9.70938055607138,6
Core4_huber,1,9.73514815768245,6
GO6_huber,1,9.75039998641077,6
All16_ridge,0.3,9.75508033246788,6
Core4_ridge,0.3,9.81129406726617,6
RNA128_knn,7,10.1515559619276,6
RNA128_knn,5,10.3391525556523,6
Core4_ridge,0.1,10.3808649573486,6
GO6_knn,3,10.7542946774598,6
BalancedMedianBaseline,0,11.0806680848918,6
GO6_ridge,0.3,11.1444275274493,6
RNA128_knn,3,12.9514940336368,6
GO6_ridge,0.1,13.2448856228499,6
Core4_huber,0.01,8.59306587158715,7
Mechanism10_ridge,100,8.95833735464921,7
MedianBaseline,0,8.97430725631377,7
All16_ridge,100,8.97601491634169,7
Core4_ridge,100,8.97808906357185,7
GO6_ridge,100,9.00434249962479,7
Mechanism10_ridge,30,9.0087215905242,7
Core4_ridge,30,9.0494297796379,7
All16_ridge,30,9.054055103997,7
Mechanism10_ridge,10,9.06664651883491,7
Core4_ridge,3,9.09414862957735,7
Core4_ridge,10,9.10765724632247,7
GO6_ridge,30,9.1211712673919,7
All16_ridge,10,9.15616650620212,7
Core4_huber,0.03,9.17075785581735,7
Mechanism10_ridge,0.1,9.20737154053715,7
GO6_huber,0.01,9.25027299841748,7
GO6_ridge,10,9.26676829720578,7
GO6_knn,5,9.28380653409318,7
Core4_huber,1,9.29778294049444,7
GO6_huber,1,9.31102595413935,7
Core4_huber,0.3,9.33185223320286,7
Mechanism10_ridge,0.3,9.3363993829207,7
Mechanism10_ridge,3,9.36168610953102,7
GO6_huber,0.3,9.37492812029935,7
Core4_huber,0.1,9.38809189887439,7
Core4_ridge,1,9.41126909374216,7
GO6_ridge,3,9.42059677588674,7
Mechanism10_ridge,1,9.48960165461632,7
All16_ridge,3,9.49188088503276,7
GO6_knn,7,9.50223035968716,7
GO6_huber,0.1,9.50903244304503,7
GO6_huber,0.03,9.5483293885795,7
GO6_ridge,1,9.81872245828897,7
Core4_ridge,0.3,9.93577394585848,7
All16_ridge,1,10.065016083323,7
RNA128_knn,5,10.1562315695301,7
RNA128_knn,7,10.3102009726937,7
GO6_knn,3,10.3235117361082,7
Core4_ridge,0.1,10.401452688949,7
BalancedMedianBaseline,0,10.620886749428,7
GO6_ridge,0.3,10.7208641934236,7
All16_ridge,0.3,11.0614598594596,7
GO6_ridge,0.1,11.8402642865561,7
RNA128_knn,3,12.5906104762892,7
All16_ridge,0.1,12.6412582020969,7
Mechanism10_ridge,10,8.63455603152111,8
All16_ridge,10,8.64161588295169,8
Mechanism10_ridge,30,8.83246673399763,8
BalancedMedianBaseline,0,8.89237966187649,8
All16_ridge,30,9.04766665155012,8
Mechanism10_ridge,100,9.17906270248748,8
Core4_huber,0.01,9.2488243686643,8
All16_ridge,100,9.26401757131378,8
GO6_huber,0.01,9.33002133403566,8
GO6_huber,1,9.40332475458827,8
Core4_huber,1,9.40850940017963,8
GO6_ridge,100,9.4112430611755,8
