release,release_date,filename,url,md5_hash
DepMap Public 25Q3,2025-09-25,ScreenGeneEffectUncorrected.csv,,87b17cb29cdce052c79b322ee1cea01f
DepMap Public 25Q3,2025-09-25,ScreenNaiveGeneScore.csv,,ce0d3c5bb8ab0844107e70ce9b3f0d53
DepMap Public 25Q3,2025-09-25,ScreenGeneDependency.csv,,020168d1b7b5cfab98e70ccad01d27fd
DepMap Public 25Q3,2025-09-25,CRISPRScreenMap.csv,,660871c09b697afa11b02f87a8996a35
DepMap Public 25Q3,2025-09-25,CRISPRGeneEffect.csv,,ad2fcd4af2e8e2cf28a9fc49f0c822da
DepMap Public 25Q3,2025-09-25,CRISPRGeneEffectUncorrected.csv,,790bf5e827ae81d1938bf7b04cd0124a
DepMap Public 25Q3,2025-09-25,CRISPRInferredLibraryEffect.csv,,600e310905d0dd8cbb8d74c54b2f52d5
DepMap Public 25Q3,2025-09-25,CRISPRInitialOffset.csv,,6b48e038f497b6d9a5d8aef6e5da72b1
DepMap Public 25Q3,2025-09-25,CRISPRGeneDependency.csv,,4cff08ca439440782afe646303d5784b
DepMap Public 25Q3,2025-09-25,CRISPRInferredGuideEfficacy.csv,,bd645054d312b642711189f080ff9c9b
DepMap Public 25Q3,2025-09-25,CRISPRInferredModelGrowthRate.csv,,10da31c7b7c98a722152f42c2bb8b30e
DepMap Public 25Q3,2025-09-25,CRISPRInferredModelEfficacy.csv,,f2c0d8737bc6755f9f7f5d5d712e52fd
DepMap Public 25Q3,2025-09-25,CRISPRInferredSequenceOverdispersion.csv,,e4a694cf53efc35e92d6adc26ecb5d2b
DepMap Public 25Q3,2025-09-25,CRISPRInferredCommonEssentials.csv,,106d87fad497a60430d2bf75fcbc5d7a
DepMap Public 25Q3,2025-09-25,AchillesCommonEssentialControls.csv,,3aff5af7acc908a459ce32c36959cb92
DepMap Public 25Q3,2025-09-25,AchillesNonessentialControls.csv,,75edb9c1aa3bff283fb8df95a87de8df
DepMap Public 25Q3,2025-09-25,AvanaRawReadcounts.csv,,66871dfdc0d941f7e4d77e92cd651173
DepMap Public 25Q3,2025-09-25,HumagneRawReadcounts.csv,,9d1cdc16ed4280c0539a57ae0b22046e
DepMap Public 25Q3,2025-09-25,KYRawReadcounts.csv,,92c509bf5880febfab811e9a38ca95ea
DepMap Public 25Q3,2025-09-25,AvanaLogfoldChange.csv,,4b0442de74db4913779eedae6b4944f2
DepMap Public 25Q3,2025-09-25,HumagneLogfoldChange.csv,,21b8bf8de51c8b6832d07d877c75e441
DepMap Public 25Q3,2025-09-25,KYLogfoldChange.csv,,867450b781a5110e1dcdaf1a1e67246c
DepMap Public 25Q3,2025-09-25,AvanaGuideMap.csv,,5d3ee9efa33f3c2da801b1c7826d414c
DepMap Public 25Q3,2025-09-25,HumagneGuideMap.csv,,89e1b038076c446832e9b4fdb24ab974
DepMap Public 25Q3,2025-09-25,KYGuideMap.csv,,57cee32fa01451890bed56d7eabc939a
DepMap Public 25Q3,2025-09-25,AchillesScreenQCReport.csv,,5c7fcb8c437abcad2e75b7563ac25639
