ReferenceKey,Ensembl,MedianLog2TPM
GTEx_v8_Lung,ENSG00000173120,5.9658002440781
GTEx_v8_Lung,ENSG00000101347,5.94983679658203
GTEx_v8_Lung,ENSG00000097007,6.03504223872822
GTEx_v8_Lung,ENSG00000189403,6.63102635335571
GTEx_v8_Lung,ENSG00000132646,6.18538671393109
GTEx_v8_Lung,ENSG00000079246,6.84805905912919
GTEx_v8_Lung,ENSG00000129084,6.59606414455646
GTEx_v8_Lung,ENSG00000164104,6.61060947391695
GTEx_v8_Lung,ENSG00000100804,6.93697465981951
GTEx_v8_Lung,ENSG00000175793,6.47758209031223
GTEx_v8_Lung,ENSG00000137693,6.31896763068912
GTEx_v8_Lung,ENSG00000179262,6.5591441314469
GTEx_v8_Lung,ENSG00000119318,6.51242690244744
GTEx_v8_Lung,ENSG00000165280,6.57555665778822
GTEx_v8_Lung,ENSG00000116030,6.46188191510301
GTEx_v8_Lung,ENSG00000100603,6.27445285048398
GTEx_v8_Lung,ENSG00000163565,6.57045703130631
GTEx_v8_Lung,ENSG00000104419,6.72402105817243
GTEx_v8_Lung,ENSG00000108465,6.18785930084717
GTEx_v8_Lung,ENSG00000069275,6.86006670105386
GTEx_v8_Lung,ENSG00000185189,6.47145188115592
GTEx_v8_Lung,ENSG00000110107,6.07045612834906
GTEx_v8_Lung,ENSG00000101182,7.89770023210376
GTEx_v8_Lung,ENSG00000160789,7.2708406115367
GTEx_v8_Lung,ENSG00000196419,7.85325191394855
GTEx_v8_Lung,ENSG00000069399,7.03060995486159
GTEx_v8_Lung,ENSG00000149273,8.67405948478023
GTEx_v8_Lung,ENSG00000161970,8.96450740607196
GTEx_v8_Lung,ENSG00000130726,7.20443862851162
GTEx_v8_Lung,ENSG00000110108,7.75305731059899
GTEx_v8_Lung,ENSG00000105373,7.37458397473983
GTEx_v8_Lung,ENSG00000185787,7.04775104115859
GSE181540_HS_input,ENSG00000134333,9.09535346961019
GSE181540_HS_input,ENSG00000288299,
GSE181540_HS_input,ENSG00000111716,6.9032322645654
GSE181540_HS_input,ENSG00000166796,-1
GSE181540_HS_input,ENSG00000171989,-1
GSE181540_HS_input,ENSG00000166816,-0.268990696823428
GSE181540_HS_input,ENSG00000197785,2.51812479157578
GSE181540_HS_input,ENSG00000106399,2.94599942395552
GSE181540_HS_input,ENSG00000087088,3.2483436279152
