ConnGroup,LogLoss,Model,candidate_lambda,OuterConnGroup
5,0.548220122812417,ME2,1,1
17,0.685745334468493,ME2,1,1
3,0.599318673514734,ME2,1,1
14,0.565212325699525,ME2,1,1
15,0.824976712279368,ME2,1,1
6,0.594614713267262,ME2,1,1
13,0.709441387503458,ME2,1,1
16,0.670821912022745,ME2,1,1
19,0.726696388705382,ME2,1,1
8,0.605316061779771,ME_P,0.05,1
9,0.519653090570184,ME_P,0.05,1
10,0.536208512275426,ME_P,0.05,1
18,0.573131905241451,ME_P,0.05,1
7,0.52490476249915,ME_P,0.05,1
11,0.619416858062856,ME_P,0.05,1
12,1.01952179535623,ME_P,0.05,1
2,0.535392454706186,ME_P,0.05,1
4,0.590567390912864,ME_P,0.05,1
5,0.605172926648066,ME_P,0.05,1
17,0.46045442968259,ME_P,0.05,1
3,0.580123712603718,ME_P,0.05,1
14,0.524469532697022,ME_P,0.05,1
15,0.691381162308,ME_P,0.05,1
6,0.550366613178293,ME_P,0.05,1
13,0.498607398369602,ME_P,0.05,1
16,0.573061605230662,ME_P,0.05,1
19,0.586761389914315,ME_P,0.05,1
8,0.605318877559705,ME_P,0.1,1
9,0.51965525136754,ME_P,0.1,1
10,0.536215694468172,ME_P,0.1,1
18,0.573137433663063,ME_P,0.1,1
7,0.524908443473547,ME_P,0.1,1
11,0.619409085668239,ME_P,0.1,1
12,1.01949634689277,ME_P,0.1,1
2,0.535390286622495,ME_P,0.1,1
4,0.590561207971294,ME_P,0.1,1
5,0.60516560362493,ME_P,0.1,1
17,0.460461511785218,ME_P,0.1,1
3,0.58011842218786,ME_P,0.1,1
14,0.52446756579303,ME_P,0.1,1
15,0.691380292503658,ME_P,0.1,1
6,0.550360349549502,ME_P,0.1,1
13,0.498612622722846,ME_P,0.1,1
16,0.573062483762544,ME_P,0.1,1
19,0.586763858765475,ME_P,0.1,1
8,0.605330140335381,ME_P,0.3,1
9,0.519663894792728,ME_P,0.3,1
10,0.536244417127665,ME_P,0.3,1
18,0.573159543341818,ME_P,0.3,1
7,0.524923170122573,ME_P,0.3,1
11,0.619378025004267,ME_P,0.3,1
12,1.01939462556355,ME_P,0.3,1
2,0.535381622411397,ME_P,0.3,1
4,0.590536492477733,ME_P,0.3,1
5,0.605136328198596,ME_P,0.3,1
17,0.460489834722372,ME_P,0.3,1
3,0.580097273624797,ME_P,0.3,1
14,0.524459704670683,ME_P,0.3,1
15,0.69137681841459,ME_P,0.3,1
6,0.550335308403202,ME_P,0.3,1
13,0.498633517606853,ME_P,0.3,1
16,0.573066001469667,ME_P,0.3,1
19,0.586773734662233,ME_P,0.3,1
8,0.605369555680654,ME_P,1,1
9,0.519694149710546,ME_P,1,1
10,0.536344869510985,ME_P,1,1
18,0.573236876759558,ME_P,1,1
7,0.524974747815181,ME_P,1,1
11,0.619269675833735,ME_P,1,1
12,1.01903951192027,ME_P,1,1
2,0.535351399793483,ME_P,1,1
4,0.59045019284045,ME_P,1,1
5,0.605034073758649,ME_P,1,1
17,0.460588896109096,ME_P,1,1
3,0.58002341839279,ME_P,1,1
14,0.524432272387603,ME_P,1,1
15,0.691364723571816,ME_P,1,1
6,0.550247832518654,ME_P,1,1
13,0.498706617842397,ME_P,1,1
16,0.573078358426523,ME_P,1,1
19,0.586808306451905,ME_P,1,1
8,0.581724788421598,ME2P,0.05,1
9,0.514733031562189,ME2P,0.05,1
10,0.518335247966341,ME2P,0.05,1
18,0.631805899903883,ME2P,0.05,1
7,0.546313215930493,ME2P,0.05,1
11,0.651577780263605,ME2P,0.05,1
12,1.19260511200408,ME2P,0.05,1
2,0.524040680373953,ME2P,0.05,1
4,0.595234288178323,ME2P,0.05,1
5,0.610447269294111,ME2P,0.05,1
17,0.463378772777429,ME2P,0.05,1
3,0.582362267295646,ME2P,0.05,1
14,0.487965908369416,ME2P,0.05,1
15,0.71470600957465,ME2P,0.05,1
6,0.699739113804239,ME2P,0.05,1
13,0.520380392408201,ME2P,0.05,1
16,0.563703221383135,ME2P,0.05,1
19,0.606930965032518,ME2P,0.05,1
8,0.581729195471863,ME2P,0.1,1
9,0.514735966724548,ME2P,0.1,1
10,0.518343420060981,ME2P,0.1,1
18,0.631804799668718,ME2P,0.1,1
7,0.54631398147842,ME2P,0.1,1
11,0.651566363842184,ME2P,0.1,1
12,1.19256229102496,ME2P,0.1,1
2,0.524039428754614,ME2P,0.1,1
4,0.595228130002307,ME2P,0.1,1
5,0.610439966857997,ME2P,0.1,1
17,0.463385699163262,ME2P,0.1,1
3,0.582356458800675,ME2P,0.1,1
14,0.487966574897394,ME2P,0.1,1
15,0.714702683718736,ME2P,0.1,1
6,0.699723056295647,ME2P,0.1,1
13,0.520384209083743,ME2P,0.1,1
16,0.563705039356326,ME2P,0.1,1
19,0.606931757590989,ME2P,0.1,1
8,0.581746821192663,ME2P,0.3,1
9,0.514747705742374,ME2P,0.3,1
10,0.518376101663407,ME2P,0.3,1
18,0.631800409966434,ME2P,0.3,1
7,0.546317057067924,ME2P,0.3,1
11,0.651520740558978,ME2P,0.3,1
12,1.19239113550342,ME2P,0.3,1
2,0.524034428759142,ME2P,0.3,1
4,0.595203513262282,ME2P,0.3,1
5,0.610410773504999,ME2P,0.3,1
17,0.463413399422798,ME2P,0.3,1
3,0.58233323950341,ME2P,0.3,1
14,0.487969243275352,ME2P,0.3,1
15,0.714689390684747,ME2P,0.3,1
6,0.699658857662561,ME2P,0.3,1
13,0.52039947583637,ME2P,0.3,1
16,0.563712313181518,ME2P,0.3,1
19,0.606934931819967,ME2P,0.3,1
8,0.581808479967562,ME2P,1,1
9,0.514788771757525,ME2P,1,1
10,0.518490401962269,ME2P,1,1
18,0.631785187205843,ME2P,1,1
7,0.546327989683894,ME2P,1,1
11,0.651361591490841,ME2P,1,1
12,1.19179370359567,ME2P,1,1
2,0.524017010250149,ME2P,1,1
4,0.595117555382436,ME2P,1,1
5,0.610308802867547,ME2P,1,1
17,0.463510283823001,ME2P,1,1
3,0.58225215658335,ME2P,1,1
14,0.487978611071042,ME2P,1,1
15,0.7146429956817,ME2P,1,1
6,0.699434557299971,ME2P,1,1
13,0.520452910043713,ME2P,1,1
16,0.563737795829987,ME2P,1,1
19,0.606946091809029,ME2P,1,1
8,0.700401379837189,XEN,0.05,1
9,0.585908524174474,XEN,0.05,1
10,0.701993207359513,XEN,0.05,1
18,0.761465570865212,XEN,0.05,1
7,0.681088970678425,XEN,0.05,1
11,0.684921022413689,XEN,0.05,1
12,1.27933514415944,XEN,0.05,1
2,0.545982596060821,XEN,0.05,1
4,0.59020372014633,XEN,0.05,1
5,0.546596003975826,XEN,0.05,1
17,0.685067980655738,XEN,0.05,1
3,0.591524862172801,XEN,0.05,1
14,0.579091184819675,XEN,0.05,1
15,0.843893430693317,XEN,0.05,1
6,0.734404019005105,XEN,0.05,1
13,0.690775252769766,XEN,0.05,1
