ReferenceKey,Model,n_group_ids,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
tendon_nondiabetic,ME2,1,112,22,0.196428571428571,0.393611658222504,0.197183086793933,0.197183086793933
GTEx_v8_Lung,ME2,1,280,21,0.075,0.387994373886471,0.312994373886471,0.312994373886471
GSE181540_HS_input,ME2,1,70,14,0.2,0.443788659608538,0.243788659608538,0.243788659608538
GSE181540_adjacent_NS_input,ME2,1,76,25,0.328947368421053,0.46110615981371,0.132158791392658,0.132158791392658
GTEx_v8_Hippocampus,ME2,1,146,25,0.171232876712329,0.374962214614215,0.203729337901886,0.203729337901886
GSE114691_control_placenta,ME2,1,228,8,0.0350877192982456,0.387207320707292,0.352119601409047,0.352119601409047
sperm_GroupI,ME2,1,276,5,0.0181159420289855,0.435405743233095,0.41728980120411,0.41728980120411
GSE132714_BPH,ME2,1,280,128,0.457142857142857,0.397693568178557,-0.0594492889642999,0.0594492889642999
TCGA_PRAD_primary,ME2,1,281,129,0.459074733096086,0.416564885545191,-0.0425098475508943,0.0425098475508943
TCGA_LIHC_normal,ME2,1,134,69,0.514925373134328,0.38312341411768,-0.131801959016648,0.131801959016648
TCGA_LIHC_primary,ME2,1,186,88,0.473118279569893,0.39866304307655,-0.0744552364933426,0.0744552364933426
TCGA_ESCA_ESCC,ME2,1,288,82,0.284722222222222,0.40751481575671,0.122792593534488,0.122792593534488
MCF7_DMSO7d,ME2,1,167,87,0.520958083832335,0.473054948214306,-0.0479031356180293,0.0479031356180293
MDAMB468_DMSO7d,ME2,1,175,106,0.605714285714286,0.430641676441378,-0.175072609272908,0.175072609272908
GSE283812_T47D_vehicle,ME2,1,180,103,0.572222222222222,0.49928462510727,-0.0729375971149525,0.0729375971149525
GSE103520_MCF10A_control,ME2,1,155,62,0.4,0.321553459860312,-0.0784465401396884,0.0784465401396884
HCT116_control,ME2,3,733,303,0.413369713506139,0.460284141379663,0.0469144278735243,0.0469144278735243
GSE163787_TALL104,ME2,1,192,34,0.177083333333333,0.473450346381339,0.296367013048006,0.296367013048006
GSE203529_HEK293T_WT,ME2,1,268,38,0.141791044776119,0.446358871669254,0.304567826893135,0.304567826893135
HepG2_DMSO24h,ME2,1,303,228,0.752475247524752,0.288615410746908,-0.463859836777845,0.463859836777845
GSE171750_A549_untreated,ME2,1,175,86,0.491428571428572,0.396984939545969,-0.094443631882602,0.094443631882602
PC3M_DMSO,ME2,1,177,28,0.15819209039548,0.420638888906606,0.262446798511126,0.262446798511126
GSE266884_MES28_vector_control,ME2,1,320,220,0.6875,0.34584907326096,-0.34165092673904,0.34165092673904
GSE119834_NSC,ME2,1,307,164,0.534201954397394,0.302878709641436,-0.231323244755958,0.231323244755958
RKO_DMSO,ME2,1,193,90,0.466321243523316,0.438184889183997,-0.0281363543393194,0.0281363543393194
GSE275256_HMC3_vehicle,ME2,1,287,141,0.491289198606272,0.413881570438368,-0.0774076281679039,0.0774076281679039
HK2_untreated,ME2,2,432,230,0.532407407407407,0.315147477493559,-0.217259929913848,0.217259929913848
HUVEC_untreated,ME2,1,323,172,0.532507739938081,0.372532132092178,-0.159975607845902,0.159975607845902
