Model,ConnGroup,AP,LogLoss,Brier,ROC
ME,9,0.534064545668899,0.59976278937235,0.204424316111453,0.727563343594601
ME,10,0.60951279599075,0.707898866258615,0.257213405461652,0.588982679812963
ME,11,0.350259612236911,0.673712104555657,0.240397745157377,0.516050529747351
ME,12,0.715818859221255,1.06895944186562,0.41756258109321,0.417017543859649
ME,13,0.63835468867811,0.680782829029645,0.243917778772983,0.644107656127515
ME,14,0.292554678123871,0.618428826378145,0.213248086865966,0.601629913710451
ME,15,0.669255585186163,0.814288706532725,0.306578091278746,0.564021776406036
ME,16,0.640295909123075,0.669980386717813,0.238594030734564,0.651887810140237
ME,17,0.609694672081817,0.686165327851417,0.246511418891886,0.603711260079666
ME,18,0.594957228523913,0.70803868332774,0.257369102329719,0.557942315970728
ME,19,0.681281213672649,0.715103785672504,0.26058315021586,0.623556137378716
ME2,1,0.379349309363493,0.566936540803009,0.188427772970533,0.714646464646465
ME2,2,0.352545471617468,0.51106381936435,0.161234523869824,0.830299687442545
ME2,3,0.641153016850182,0.611942790967169,0.210002112267843,0.785046728971963
ME2,4,0.270445997467497,0.550870861629445,0.180749091322995,0.625454545454546
ME2,5,0.14653932334428,0.501245153255345,0.15624484352571,0.817045454545455
ME2,6,0.0694705677464298,0.577843704881859,0.193071996689673,0.677490774907749
ME2,7,0.613960313266752,0.675071013155775,0.241094691961516,0.642804116321933
ME2,8,0.547558040730932,0.70783887504228,0.256901363239969,0.559141885819233
ME2,9,0.534064545668899,0.597378456877331,0.203360305995334,0.727563343594601
ME2,10,0.596220575203243,0.697300981045362,0.251975516192301,0.582546715469081
ME2,11,0.359581159880666,0.667590717309081,0.237431243535886,0.532738386308068
ME2,12,0.715818859221255,1.05423246853623,0.41175085508815,0.417017543859649
ME2,13,0.63835468867811,0.690566003599176,0.248756624855908,0.644107656127515
ME2,14,0.292554678123871,0.59092006251691,0.20005059229041,0.601629913710451
ME2,15,0.652087319817088,0.846325310357116,0.320208655484843,0.5323859739369
ME2,16,0.640295909123075,0.665972764092038,0.236616049681258,0.651887810140237
ME2,17,0.609694672081817,0.690286099152136,0.248460925094551,0.603711260079666
ME2,18,0.594957228523913,0.78597141399962,0.292886419042946,0.557942315970728
ME2,19,0.681281213672649,0.726046680325307,0.265582806451761,0.623556137378716
ME_P,1,0.756541260671696,0.508862951014907,0.168929663480133,0.867676767676768
ME_P,2,0.662189103945433,0.491659150396886,0.160622837328073,0.92388306674021
ME_P,3,0.637367803369133,0.591494652945118,0.203226191025108,0.806853582554517
ME_P,4,0.522462982469667,0.546116454535335,0.185514465042654,0.775206611570248
ME_P,5,0.310782340757036,0.555375279516176,0.189584020516142,0.805681818181818
ME_P,6,0.0486234180549762,0.568377411539884,0.194662216158458,0.719557195571956
ME_P,7,0.822408560812974,0.545021957546932,0.181782846085472,0.824352344869957
ME_P,8,0.821638018584694,0.575740355172383,0.194339120457988,0.796569106326443
ME_P,9,0.646098737686954,0.515205835639023,0.16870867908056,0.794873312810798
ME_P,10,0.926077463006704,0.485491686549352,0.15626385550896,0.922251799443092
ME_P,11,0.565178305084781,0.61750899150165,0.214220617422439,0.71320782396088
ME_P,12,0.914536113686531,0.992882047418664,0.359573026389496,0.767076023391813
ME_P,13,0.853248456413857,0.486437488152638,0.158104087453918,0.877711000783904
ME_P,14,0.664776908094356,0.523539779084723,0.174492126200586,0.912032598274209
ME_P,15,0.880395830327317,0.714422671215809,0.254759841038867,0.815554269547325
ME_P,16,0.791053707368294,0.559700332174447,0.187891187690379,0.789859762675297
ME_P,17,0.915368394369211,0.488718009321256,0.156924670941088,0.911007480812203
ME_P,18,0.901664370465652,0.530053269908332,0.175932241519331,0.887171760654326
ME_P,19,0.862206266999923,0.593684127782039,0.202973256543068,0.825773910365009
ME2P,1,0.755355861041057,0.501773858163091,0.16589521773778,0.866161616161616
ME2P,2,0.665452222737127,0.482650110195261,0.156690718338541,0.92719249862107
ME2P,3,0.64983746565309,0.594939571251682,0.204625306752901,0.812604840642224
ME2P,4,0.53283853610193,0.552560159447606,0.187993742499596,0.778842975206612
ME2P,5,0.310434981684982,0.563899534327492,0.192945730502343,0.809090909090909
ME2P,6,0.0506447137271747,0.69473754432561,0.245014420184808,0.719557195571956
ME2P,7,0.823205241561504,0.539196827502467,0.179189374676423,0.825376305549867
ME2P,8,0.821006757592706,0.565579913837062,0.190476400043794,0.795904810284866
ME2P,9,0.650840196247561,0.513423371872941,0.168012026656376,0.800201278711816
ME2P,10,0.923614484214656,0.479662827983902,0.153368768659331,0.920202798549938
ME2P,11,0.566614520043223,0.616102718278329,0.21361471832538,0.714081499592502
ME2P,12,0.914722671666483,1.02655357733836,0.371022626760274,0.768245614035088
ME2P,13,0.855431403689369,0.493850063050507,0.162295393237431,0.879148157825973
ME2P,14,0.667133224230253,0.509946333710376,0.168684324213984,0.911073825503356
ME2P,15,0.874211980245963,0.744493625671347,0.266126179544137,0.805062585733882
