Type,Model,dropped_group,LogLoss,AP
S2 (Train Drop),ME2P,16,0.582735107428607,0.705419303539002
S2 (Train Drop),MP,17,0.578406687748315,0.688295150837528
S2 (Train Drop),ME_P,17,0.573798456608759,0.696811657156283
S2 (Train Drop),ME2P,17,0.587524462344067,0.6983374906165
S2 (Train Drop),MP,18,0.575722120288707,0.689936356466069
S2 (Train Drop),ME_P,18,0.571527070800355,0.69745417509725
S2 (Train Drop),ME2P,18,0.582663980904196,0.698058370851614
S2 (Train Drop),MP,19,0.572018812646402,0.691937328143118
S2 (Train Drop),ME_P,19,0.567156534667918,0.699804053368261
S2 (Train Drop),ME2P,19,0.58195849498385,0.701423802782365
