Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
GO6_ridge,0.1,10.4105837530642,5
RNA128_knn,3,13.4691762850139,5
Core4_huber,0.01,7.34236620884895,6
GO6_huber,0.01,7.57552776479031,6
Mechanism10_ridge,0.1,7.66264603953307,6
All16_ridge,10,8.22272673728777,6
Mechanism10_ridge,10,8.25650781984899,6
Mechanism10_ridge,0.3,8.31228048157428,6
GO6_ridge,3,8.31572713518528,6
Core4_ridge,3,8.46378169253331,6
Core4_huber,0.03,8.48107159250683,6
All16_ridge,3,8.51277394760661,6
All16_ridge,0.1,8.52431569904973,6
Mechanism10_ridge,1,8.64093552343877,6
Mechanism10_ridge,3,8.72040081103456,6
GO6_huber,0.03,8.76042170256928,6
Mechanism10_ridge,30,8.76607494471883,6
Core4_ridge,10,8.867152705537,6
All16_ridge,1,8.8880373779492,6
Core4_ridge,1,8.92391980918376,6
All16_ridge,30,8.94191368895673,6
GO6_ridge,1,8.95142764225252,6
GO6_ridge,10,8.9564831692753,6
All16_ridge,0.3,8.95718081731081,6
GO6_knn,7,9.10193825094381,6
Mechanism10_ridge,100,9.19172043276889,6
Core4_ridge,30,9.23420222703891,6
GO6_knn,5,9.25681701348127,6
All16_ridge,100,9.26276603349421,6
GO6_ridge,30,9.28635221694113,6
Core4_ridge,100,9.36691926174201,6
GO6_ridge,100,9.38715307891621,6
Core4_huber,0.1,9.42959348542564,6
MedianBaseline,0,9.43408859177761,6
GO6_huber,0.1,9.54001887975349,6
Core4_huber,0.3,9.66413007393712,6
GO6_huber,0.3,9.70318990773443,6
Core4_huber,1,9.7376661034179,6
GO6_huber,1,9.74975245705328,6
Core4_ridge,0.3,9.76080012198915,6
RNA128_knn,7,10.4823994005087,6
Core4_ridge,0.1,10.5154655266792,6
RNA128_knn,5,10.5701137631347,6
GO6_knn,3,10.6853114668313,6
BalancedMedianBaseline,0,11.0806680848918,6
GO6_ridge,0.3,11.2853830691056,6
RNA128_knn,3,13.2792295508814,6
GO6_ridge,0.1,13.5071426856663,6
GO6_knn,5,8.78696706382474,7
Core4_huber,0.01,8.91614761847643,7
Mechanism10_ridge,100,8.95305235098972,7
MedianBaseline,0,8.97430725631377,7
All16_ridge,100,8.97534352175121,7
Core4_ridge,100,8.99068183836211,7
Mechanism10_ridge,30,8.99835219142347,7
GO6_ridge,100,9.01177515040627,7
All16_ridge,30,9.05491413354774,7
Mechanism10_ridge,10,9.06699134493878,7
Core4_ridge,30,9.08771660586148,7
GO6_ridge,30,9.14452418615142,7
All16_ridge,10,9.17086327269129,7
Core4_ridge,10,9.20144650201878,7
Core4_ridge,3,9.28472635088415,7
Core4_huber,1,9.30425084490497,7
GO6_huber,1,9.31504231216779,7
GO6_ridge,10,9.32845643816324,7
Core4_huber,0.3,9.35333212336288,7
GO6_huber,0.3,9.3882510245066,7
Core4_huber,0.03,9.40409653173185,7
Core4_ridge,1,9.44517493802865,7
Core4_huber,0.1,9.45335245850782,7
Mechanism10_ridge,3,9.46715651541295,7
GO6_knn,7,9.54622940653327,7
GO6_huber,0.1,9.54950559453651,7
GO6_ridge,3,9.56653496961301,7
All16_ridge,3,9.58665488933048,7
GO6_huber,0.01,9.61251204677385,7
GO6_huber,0.03,9.69379248725841,7
Mechanism10_ridge,1,9.80499685550934,7
Core4_ridge,0.3,9.82523044982039,7
Mechanism10_ridge,0.3,9.92458986032844,7
Mechanism10_ridge,0.1,9.96941561624913,7
GO6_ridge,1,10.0384781288146,7
RNA128_knn,5,10.1730401810432,7
GO6_knn,3,10.1805092153962,7
Core4_ridge,0.1,10.2836267053725,7
All16_ridge,1,10.3280809967975,7
RNA128_knn,7,10.465584318057,7
BalancedMedianBaseline,0,10.620886749428,7
GO6_ridge,0.3,10.9653715171363,7
All16_ridge,0.3,11.6554851605895,7
GO6_ridge,0.1,12.047278617795,7
RNA128_knn,3,12.7333537411613,7
All16_ridge,0.1,13.5260519165263,7
All16_ridge,10,8.71195553601926,8
Mechanism10_ridge,30,8.71319037104921,8
Mechanism10_ridge,10,8.85386892253235,8
BalancedMedianBaseline,0,8.89237966187649,8
All16_ridge,30,8.97483222512655,8
Mechanism10_ridge,100,9.13610532722747,8
All16_ridge,100,9.23830903870564,8
GO6_huber,1,9.40370599838302,8
Core4_huber,1,9.41364156018054,8
GO6_ridge,100,9.41543918791579,8
Core4_ridge,100,9.43266248109085,8
GO6_huber,0.3,9.45005753505528,8
GO6_ridge,30,9.46978396284384,8
Core4_huber,0.3,9.48025902328124,8
Core4_ridge,30,9.51658924782731,8
GO6_ridge,10,9.52168355267824,8
GO6_huber,0.1,9.55704879220926,8
GO6_ridge,3,9.5611974971535,8
Core4_huber,0.01,9.5876410434264,8
Core4_ridge,10,9.61235660645785,8
GO6_huber,0.01,9.62597408082032,8
Core4_huber,0.1,9.6311781883435,8
Core4_ridge,3,9.68397613144761,8
GO6_huber,0.03,9.68502377310751,8
MedianBaseline,0,9.72294901081641,8
Core4_huber,0.03,9.83833129362003,8
All16_ridge,3,9.99019130241703,8
Mechanism10_ridge,3,10.0453157219928,8
Core4_ridge,1,10.0499533173637,8
GO6_ridge,1,10.0670631761579,8
Mechanism10_ridge,0.1,10.1452136381807,8
GO6_knn,7,10.2717979797562,8
GO6_knn,5,10.5991392978249,8
Core4_ridge,0.3,10.6006555123103,8
Mechanism10_ridge,0.3,10.7022923995202,8
Mechanism10_ridge,1,10.785665727618,8
Core4_ridge,0.1,11.0798198407248,8
RNA128_knn,5,11.1691783922691,8
All16_ridge,1,11.2865759958625,8
RNA128_knn,7,11.445393640692,8
GO6_ridge,0.3,11.5958578982994,8
GO6_knn,3,12.22848629833,8
All16_ridge,0.3,12.3682515439622,8
GO6_ridge,0.1,13.0351909123997,8
All16_ridge,0.1,13.3345893095913,8
RNA128_knn,3,14.212062416707,8
Core4_ridge,0.1,7.51817187390671,9
Core4_ridge,0.3,7.63709879485421,9
All16_ridge,0.1,8.10815734690497,9
GO6_ridge,0.1,8.42291558609137,9
Core4_ridge,1,8.66401311944057,9
Mechanism10_ridge,3,8.67239752049196,9
All16_ridge,1,8.72276031273617,9
Mechanism10_ridge,1,8.7235825586917,9
All16_ridge,0.3,8.74063749027321,9
MedianBaseline,0,8.76028742109991,9
All16_ridge,3,8.90684911604663,9
Mechanism10_ridge,10,9.00210238351352,9
Mechanism10_ridge,0.3,9.07530924821155,9
Core4_huber,0.01,9.0885808610954,9
GO6_ridge,0.3,9.09160914385081,9
All16_ridge,10,9.22777728800289,9
Mechanism10_ridge,30,9.2469132287782,9
Mechanism10_ridge,0.1,9.26557215414999,9
Mechanism10_ridge,100,9.37076283620402,9
All16_ridge,30,9.37381926834775,9
All16_ridge,100,9.41905555176497,9
Core4_ridge,3,9.44984720418446,9
Core4_huber,1,9.48829629051277,9
GO6_huber,1,9.49204233793125,9
Core4_ridge,100,9.49300957718634,9
GO6_ridge,100,9.50197757151134,9
Core4_huber,0.3,9.5538251438838,9
GO6_huber,0.3,9.5692373015902,9
Core4_ridge,30,9.57828418932471,9
GO6_ridge,30,9.60914943401738,9
GO6_ridge,1,9.64774976614783,9
Core4_ridge,10,9.6481479164908,9
Core4_huber,0.1,9.68235578073591,9
GO6_huber,0.1,9.7416785976736,9
GO6_ridge,10,9.74740338339643,9
Core4_huber,0.03,9.75505932895934,9
GO6_ridge,3,9.791324093194,9
GO6_huber,0.03,10.1097044550678,9
GO6_huber,0.01,10.1119236269928,9
RNA128_knn,7,10.4812762387898,9
RNA128_knn,5,10.6931551797789,9
GO6_knn,5,10.9424447022636,9
BalancedMedianBaseline,0,11.052225503685,9
GO6_knn,7,11.1300145184821,9
GO6_knn,3,14.0034484066067,9
RNA128_knn,3,14.3841293021091,9
Mechanism10_ridge,10,7.44703954003482,10
Mechanism10_ridge,3,7.48251164988318,10
All16_ridge,10,7.74180109980266,10
All16_ridge,3,7.80507286005621,10
Mechanism10_ridge,1,7.94346657787227,10
Mechanism10_ridge,30,7.96357864275585,10
GO6_knn,7,8.17347906761543,10
All16_ridge,30,8.17888097692118,10
Core4_huber,0.01,8.29430343458418,10
Mechanism10_ridge,0.3,8.30924673755277,10
Mechanism10_ridge,0.1,8.32144750436663,10
GO6_ridge,10,8.40978108965613,10
GO6_ridge,3,8.42589693593417,10
Mechanism10_ridge,100,8.44867151559053,10
MedianBaseline,0,8.48118602652651,10
Core4_ridge,3,8.50798891571206,10
GO6_huber,0.01,8.51960175554996,10
All16_ridge,100,8.53930727308445,10
GO6_huber,0.03,8.55377832356875,10
GO6_ridge,30,8.57372728034462,10
Core4_ridge,10,8.58607549598399,10
GO6_ridge,100,8.69502795078378,10
Core4_ridge,30,8.69881619604008,10
All16_ridge,1,8.71180461410876,10
Core4_huber,0.03,8.73642995196557,10
Core4_ridge,100,8.74903396058419,10
GO6_huber,0.1,8.87451786684969,10
GO6_huber,0.3,8.9492461699439,10
Core4_ridge,1,8.98086686250607,10
Core4_huber,0.1,9.00126804063643,10
GO6_huber,1,9.00455552395794,10
Core4_huber,0.3,9.01111158981995,10
Core4_huber,1,9.02565002745079,10
GO6_ridge,1,9.16670978337997,10
GO6_knn,5,9.34135441722072,10
Core4_ridge,0.3,9.56302705970161,10
RNA128_knn,7,9.58149879255412,10
Core4_ridge,0.1,10.0739812144867,10
GO6_knn,3,10.176267705035,10
