Entry	Gene Names (primary)	Gene Names	Protein names
B5MD39	GGTLC3	GGTLC3	Glutathione hydrolase light chain 3 (Gamma-glutamyltransferase light chain 3)
B6SEH8	ERVV-1	ERVV-1 ENVV1	Endogenous retrovirus group V member 1 Env polyprotein (HERV-V_19q13.41 provirus ancestral Env polyprotein 1)
B6SEH9	ERVV-2	ERVV-2 ENVV2	Endogenous retrovirus group V member 2 Env polyprotein (HERV-V_19q13.41 provirus ancestral Env polyprotein 2)
B7Z1M9	C2CD4D	C2CD4D FAM148D	C2 calcium-dependent domain-containing protein 4D
B7Z368	LINC02881	LINC02881 C10orf142	Uncharacterized protein encoded by LINC02881 (Long intergenic non-protein coding RNA 2881)
B7Z6K7	ZNF814	ZNF814	Zinc finger protein 814
B7ZW38	HNRNPCL3	HNRNPCL3	Heterogeneous nuclear ribonucleoprotein C-like 3
C0HLS1	SCRIB	SCRIB	SCRIB overlapping open reading frame protein (oSCRIB)
C0HMG9			Pluripotency-associated Lin28b uORF-encoded microprotein (PLUM)
C9J202	ALG1L2	ALG1L2	Putative glycosyltransferase ALG1L2 (EC 2.4.1.-)
C9J3V5	TEX22	TEX22	Testis-expressed protein 22
C9J7I0	UMAD1	UMAD1 RPA3-AS1 RPA3OS	UBAP1-MVB12-associated (UMA)-domain containing protein 1 (RPA3 antisense RNA 1) (RPA3 opposite strand)
C9JBD0	KRABD1	KRABD1 KRBOX1	KRAB domain-containing protein 1
C9JG80	NPIPB4	NPIPB4	Nuclear pore complex-interacting protein family member B4
C9JI98	TMEM238	TMEM238	Transmembrane protein 238
C9JJ37	BTBD19	BTBD19	BTB/POZ domain-containing protein 19
C9JL84	HHLA1	HHLA1	HERV-H LTR-associating protein 1
C9JN71	ZNF878	ZNF878	Zinc finger protein 878
C9JQI7	TMEM232	TMEM232	Transmembrane protein 232
C9JTQ0	ANKRD63	ANKRD63	Ankyrin repeat domain-containing protein 63
C9JVW0	INAFM1	INAFM1 PRR24	Putative transmembrane protein INAFM1 (InaF-motif-containing protein 1) (Proline-rich protein 24)
D3DTV9	PRAC2	PRAC2 C17orf93 HOXB-AS5 HOXB13-AS1 NCRNA00253	Protein PRAC2 (Prostate, rectum and colon expressed gene protein 2)
D6RBM5	USP17L23	USP17L23	Ubiquitin carboxyl-terminal hydrolase 17-like protein 23
D6REC4	CFAP99	CFAP99	Cilia- and flagella-associated protein 99
D6RF30	GOLGA8K	GOLGA8K	Golgin subfamily A member 8K
D6RGX4	FAM90A26	FAM90A26 FAM90A26P	Protein FAM90A26
E5RG02	PRSS46P	PRSS46P PRSS46	Putative serine protease 46 (EC 3.4.21.-) (Serine protease 46 pseudogene)
E5RHQ5	NPIPB11	NPIPB11	Nuclear pore complex-interacting protein family member B11
E5RIL1	UPK3BL2	UPK3BL2	Uroplakin-3b-like protein 2
E5RJ46	LINC02906	LINC02906 C8orf87	Putative uncharacterized protein LINC02906 (Long intergenic non-protein coding RNA 2906)
E5RJM6	ANKRD65	ANKRD65	Ankyrin repeat domain-containing protein 65
E5RQL4	FTCDNL1	FTCDNL1 FONG	Formiminotransferase N-terminal subdomain-containing protein (Formiminotransferase-cyclodeaminase N-terminal-like protein)
E7ERA6	RNF223	RNF223	RING finger protein 223
E7EW31	PROB1	PROB1 C5orf65	Proline-rich basic protein 1
E9PGG2	ANHX	ANHX	Anomalous homeobox protein
E9PI22	PRR23D1	PRR23D1	Proline-rich protein 23D1
E9PJ23	NPIPB6	NPIPB6	Nuclear pore complex-interacting protein family member B6
E9PJI5	NPIPA7	NPIPA7	Nuclear pore complex-interacting protein family member A7
E9PKD4	NPIPA5	NPIPA5	Nuclear pore complex-interacting protein family member A5
E9PQR5	NPIPB8	NPIPB8	Nuclear pore complex-interacting protein family member B8
F2Z333	FNDC10	FNDC10 C1orf233	Fibronectin type III domain-containing protein 10
F5GYI3	UBAP1L	UBAP1L	Ubiquitin-associated protein 1-like (UBAP-1L)
F5H284	PPIAL4D	PPIAL4D	Peptidyl-prolyl cis-trans isomerase A-like 4D (PPIase A-like 4D) (EC 5.2.1.8)
F5H4A9	C3orf80	C3orf80	Uncharacterized membrane protein C3orf80
F5H4B4	FAM227A	FAM227A	Protein FAM227A
F8VTS6	RFPL4AL1	RFPL4AL1	Ret finger protein-like 4A-like protein 1
F8W0I5	NPIPB12	NPIPB12	Nuclear pore complex-interacting protein family member B12
F8W1W9	NPIPB9	NPIPB9	Nuclear pore complex-interacting protein family member B9
F8WBI6	GOLGA8N	GOLGA8N	Golgin subfamily A member 8N
F8WCM5	INS-IGF2	INS-IGF2	Insulin, isoform 2 (INS-IGF2 readthrough transcript protein)
G3V211	LINC01619	LINC01619 C12orf79	Uncharacterized protein encoded by LINC01619
H0UI37	TSTD3	TSTD3	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3 (Rhodanese domain-containing protein 3)
H0Y7S4	PRAMEF26	PRAMEF26	PRAME family member 26
H0YKK7	GOLGA6L19	GOLGA6L19	Putative golgin subfamily A member 6-like protein 19
H0YM25	GOLGA6L22	GOLGA6L22	Golgin subfamily A member 6-like protein 22
H3BPF8	GOLGA8S	GOLGA8S	Golgin subfamily A member 8S
H3BPM6	MKRN2OS	MKRN2OS C3orf83 MKRN2-AS1	MKRN2 opposite strand protein (MKRN2 antisense RNA 1) (MKRN2 antisense gene protein 1)
H3BQJ8	LY6L	LY6L	Lymphocyte antigen 6L (Lymphocyte antigen 6 complex locus protein L)
H3BQL2	GOLGA8T	GOLGA8T	Golgin subfamily A member 8T
H3BQW9	FAM229A	FAM229A	Protein FAM229A
H3BR10	SMLR1	SMLR1	Small leucine-rich protein 1
H3BTG2	TEX46	TEX46 C1orf234	Testis-expressed protein 46
H3BU77	CCDC179	CCDC179	Coiled-coil domain-containing protein 179
H3BUK9	POTEB2	POTEB2	POTE ankyrin domain family member B2
H3BV12	GOLGA8Q	GOLGA8Q	Golgin subfamily A member 8Q
H7BZ55	CROCC2	CROCC2	Ciliary rootlet coiled-coil protein 2
H7C241	CLDN34	CLDN34	Claudin-34
H7C350	CCDC188	CCDC188	Coiled-coil domain-containing protein 188
