Entry	Gene Names (primary)	Gene Names	Protein names
P01023	A2M	A2M CPAMD5 FWP007	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)
P01024	C3	C3 CPAMD1	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]
P01031	C5	C5 CPAMD4	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5b (Complement C5 alpha' chain)]
P01033	TIMP1	TIMP1 CLGI TIMP	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)
P01034	CST3	CST3	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)
P01036	CST4	CST4	Cystatin-S (Cystatin-4) (Cystatin-SA-III) (Salivary acidic protein 1)
P01037	CST1	CST1	Cystatin-SN (Cystain-SA-I) (Cystatin-1) (Salivary cystatin-SA-1)
P01040	CSTA	CSTA STF1 STFA	Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A, N-terminally processed]
P01042	KNG1	KNG1 BDK KNG	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]
P01100	FOS	FOS G0S7	Protein c-Fos (Cellular oncogene fos) (Fos proto-oncogene, AP-1 transcription factor subunit) (G0/G1 switch regulatory protein 7) (Proto-oncogene c-Fos) (Transcription factor AP-1 subunit c-Fos)
P01106	MYC	MYC BHLHE39	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)
P01111	NRAS	NRAS HRAS1	GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras)
P01112	HRAS	HRAS HRAS1	GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]
P01116	KRAS	KRAS KRAS2 RASK2	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]
P01127	PDGFB	PDGFB PDGF2 SIS	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)
P01130	LDLR	LDLR	Low-density lipoprotein receptor (LDL receptor)
P01133	EGF	EGF	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]
P01135	TGFA	TGFA	Protransforming growth factor alpha [Cleaved into: Transforming growth factor alpha (TGF-alpha) (EGF-like TGF) (ETGF) (TGF type 1)]
P01137	TGFB1	TGFB1 TGFB	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]
P01138	NGF	NGF NGFB	Beta-nerve growth factor (Beta-NGF)
P01148	GNRH1	GNRH1 GNRH GRH LHRH	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadorelin) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]
P01160	NPPA	NPPA ANP PND	Natriuretic peptides A (Atrial natriuretic factor prohormone) (proANF) (Atrial natriuretic peptide prohormone) (preproANP) (proANP) (Atriopeptigen) (Cardiodilatin) (CDD) (preproCDD-ANF) [Cleaved into: Long-acting natriuretic peptide (LANP) (Long-acting natriuretic hormone) (LANH) (Pro atrial natriuretic factor 1-30) (proANF 1-30) (Pro atrial natriuretic peptide 1-30) (proANP 1-30); Vessel dilator (VSDL) (Pro atrial natriuretic factor 31-67) (proANF 31-67) (Pro atrial natriuretic peptide 31-67) (proANP 31-67); Kaliuretic peptide (KP) (Pro atrial natriuretic factor 79-98) (proANF 79-98) (Pro atrial natriuretic peptide 79-98) (proANP 79-98); Urodilatin (URO) (CDD 95-126) (CDD-ANP (95-126)) (Pro atrial natriuretic peptide 95-126) (proANP 95-126); Auriculin-C (Atrial natriuretic factor 1-33) (ANF 1-33); Auriculin-D (Atrial natriuretic factor 3-33) (ANF 3-33); Atrial natriuretic peptide (ANP) (Alpha-atrial natriuretic peptide) (Alpha-hANP) (Atrial natriuretic factor) (ANF) (CDD-ANF) (CDD-ANP (99-126)) (Cardionatrin) (Pro atrial natriuretic factor 99-126) (proANF 99-126); Auriculin-B (Atrial natriuretic factor 8-33) (ANF 8-33); Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II); Atriopeptin-3 (Atriopeptin III)]
P01178	OXT	OXT OT	Oxytocin-neurophysin 1 proprotein (OT-NPI) (pro-oxytocin/neurophysin) (pro-OXT) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1]
P01185	AVP	AVP ARVP VP	Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin]
P01189	POMC	POMC	Pro-opiomelanocortin (POMC) (Corticotropin-lipotropin) [Cleaved into: NPP; Melanotropin gamma (Gamma-MSH); Potential peptide; Corticotropin (Adrenocorticotropic hormone) (ACTH); Melanocyte-stimulating hormone alpha (Alpha-MSH) (Melanotropin alpha); Corticotropin-like intermediary peptide (CLIP); Lipotropin beta (Beta-LPH); Lipotropin gamma (Gamma-LPH); Melanocyte-stimulating hormone beta (Beta-MSH) (Melanotropin beta); Beta-endorphin; Met-enkephalin]
P01210	PENK	PENK	Proenkephalin-A [Cleaved into: Synenkephalin; Met-enkephalin (Opioid growth factor) (OGF); PENK(114-133); PENK(143-183); Met-enkephalin-Arg-Gly-Leu; Leu-enkephalin; PENK(237-258); Met-enkephalin-Arg-Phe; Neuropeptide BAM22 (Bovine adrenal medulla peptide 22); Neuropeptide BAM20 (Bovine adrenal medulla peptide 20); Neuropeptide BAM8-22 (Bovine adrenal medulla peptide 8-22) (BAM(8-22))]
P01213	PDYN	PDYN	Proenkephalin-B (Beta-neoendorphin-dynorphin) (Preprodynorphin) [Cleaved into: Alpha-neoendorphin; Beta-neoendorphin; Big dynorphin (Big Dyn); Dynorphin A(1-17) (Dyn-A17) (Dynorphin A); Dynorphin A(1-13); Dynorphin A(1-8); Leu-enkephalin; Rimorphin (Dynorphin B) (Dyn-B) (Dynorphin B(1-13)); Leumorphin (Dynorphin B-29)]
P01215	CGA	CGA	Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain)
P01222	TSHB	TSHB	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain) (Thyrotropin alfa)
P01225	FSHB	FSHB	Follitropin subunit beta (Follicle-stimulating hormone beta subunit) (FSH-B) (FSH-beta) (Follitropin beta chain)
P01229	LHB	LHB	Lutropin subunit beta (Lutropin beta chain) (Luteinizing hormone subunit beta) (LH-B) (LSH-B) (LSH-beta)
P01236	PRL	PRL	Prolactin (PRL)
P01241	GH1	GH1	Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone)
P01242	GH2	GH2	Growth hormone variant (GH-V) (Growth hormone 2) (Placenta-specific growth hormone)
P01258	CALCA	CALCA CALC1	Calcitonin [Cleaved into: Calcitonin (CT); Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)]
P01266	TG	TG	Thyroglobulin (Tg)
P01270	PTH	PTH	Parathyroid hormone (PTH) (Parathormone) (Parathyrin)
P01275	GCG	GCG	Pro-glucagon [Cleaved into: Glicentin; Glicentin-related polypeptide (GRPP); Oxyntomodulin (OXM) (OXY); Glucagon; Glucagon-like peptide 1 (GLP-1) (Incretin hormone); Glucagon-like peptide 1(7-37) (GLP-1(7-37)); Glucagon-like peptide 1(7-36) (GLP-1(7-36)); Glucagon-like peptide 2 (GLP-2)]
P01282	VIP	VIP	VIP peptides [Cleaved into: Intestinal peptide PHV-42 (Peptide histidine valine 42) (PHV-42); Intestinal peptide PHM-27 (Peptide histidine methioninamide 27) (PHM-27); Vasoactive intestinal peptide (VIP) (Vasoactive intestinal polypeptide)]
P01286	GHRH	GHRH GHRF	Somatoliberin (Growth hormone-releasing factor) (GRF) (Growth hormone-releasing hormone) (GHRH) (Somatocrinin) (Somatorelin) (Sermorelin)
P01298	PPY	PPY PNP	Pancreatic polypeptide prohormone (PH) (Pancreatic polypeptide Y) (Obinepitide) [Cleaved into: Pancreatic polypeptide (HPP) (PP); Pancreatic icosapeptide (PI)]
P01303	NPY	NPY	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]
P01308	INS	INS	Insulin [Cleaved into: Insulin B chain; Insulin A chain]
P01344	IGF2	IGF2 IGF-2 PP1446	Insulin-like growth factor 2 (Insulin-like growth factor II) (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II Ala-25 Del; Preptin]
P01350	GAST	GAST GAS	Gastrin [Cleaved into: Gastrin-71 (Gastrin component I); Gastrin-52 (G52); Big gastrin (Gastrin component II) (Gastrin-34) (G34); Gastrin (Gastrin component III) (Gastrin-17) (G17); Gastrin-14 (G14); Gastrin-6 (G6)]
P01374	LTA	LTA TNFB TNFSF1	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)
P01375	TNF	TNF TNFA TNFSF2	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]
P01563	IFNA2	IFNA2 IFNA2A IFNA2B IFNA2C	Interferon alpha-2 (IFN-alpha-2) (Interferon alpha-A) (LeIF A)
P01567	IFNA7	IFNA7	Interferon alpha-7 (IFN-alpha-7) (Interferon alpha-J) (LeIF J) (Interferon alpha-J1) (IFN-alpha-J1)
P01568	IFNA21	IFNA21	Interferon alpha-21 (IFN-alpha-21) (Interferon alpha-F) (LeIF F)
P01570	IFNA14	IFNA14	Interferon alpha-14 (IFN-alpha-14) (Interferon alpha-H) (LeIF H) (Interferon lambda-2-H)
P01571	IFNA17	IFNA17	Interferon alpha-17 (IFN-alpha-17) (Interferon alpha-88) (Interferon alpha-I') (LeIF I) (Interferon alpha-T)
P01574	IFNB1	IFNB1 IFB IFNB	Interferon beta (IFN-beta) (Fibroblast interferon)
P01579	IFNG	IFNG	Interferon gamma (IFN-gamma) (Immune interferon)
P01583	IL1A	IL1A IL1F1	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)
P01584	IL1B	IL1B IL1F2	Interleukin-1 beta (IL-1 beta) (Catabolin)
P01588	EPO	EPO	Erythropoietin (Epoetin)
P01589	IL2RA	IL2RA	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)
P01591	JCHAIN	JCHAIN IGCJ IGJ	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)
P01593	IGKV1D-33	IGKV1D-33	Immunoglobulin kappa variable 1D-33 (Ig kappa chain V-I region AG) (Ig kappa chain V-I region Bi) (Ig kappa chain V-I region Lay) (Ig kappa chain V-I region Ni) (Ig kappa chain V-I region Rei) (Ig kappa chain V-I region Roy) (Ig kappa chain V-I region Scw) (Ig kappa chain V-I region WAT)
P01594	IGKV1-33	IGKV1-33	Immunoglobulin kappa variable 1-33 (Ig kappa chain V-I region AU) (Ig kappa chain V-I region Ka)
P01597	IGKV1-39	IGKV1-39	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)
P01602	IGKV1-5	IGKV1-5	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)
P01615	IGKV2D-28	IGKV2D-28	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)
P01619	IGKV3-20	IGKV3-20	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)
P01699	IGLV1-44	IGLV1-44	Immunoglobulin lambda variable 1-44 (Ig lambda chain V-I region MEM) (Ig lambda chain V-I region VOR)
P01700	IGLV1-47	IGLV1-47	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)
P01701	IGLV1-51	IGLV1-51	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)
P01704	IGLV2-14	IGLV2-14	Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL)
P01705	IGLV2-23	IGLV2-23	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)
P01706	IGLV2-11	IGLV2-11	Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN)
P01709	IGLV2-8	IGLV2-8	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)
P01721	IGLV6-57	IGLV6-57	Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT)
P01730	CD4	CD4	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)
P01732	CD8A	CD8A MAL	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)
P01742	IGHV1-69	IGHV1-69	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)
P01764	IGHV3-23	IGHV3-23	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)
P01768	IGHV3-30	IGHV3-30	Immunoglobulin heavy variable 3-30 (Ig heavy chain V-III region BUR) (Ig heavy chain V-III region CAM) (Ig heavy chain V-III region GA) (Ig heavy chain V-III region NIE)
P01772	IGHV3-33	IGHV3-33	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)
P01780	IGHV3-7	IGHV3-7	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)
P01814	IGHV2-70	IGHV2-70	Immunoglobulin heavy variable 2-70 (Ig heavy chain V-II region COR) (Ig heavy chain V-II region DAW) (Ig heavy chain V-II region OU) (Ig heavy chain V-II region SESS)
P01817	IGHV2-5	IGHV2-5	Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE)
P01825	IGHV4-59	IGHV4-59	Immunoglobulin heavy variable 4-59 (Ig heavy chain V-II region NEWM)
P01833	PIGR	PIGR	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) (Hepatocellular carcinoma-associated protein TB6) [Cleaved into: Secretory component]
P01834	IGKC	IGKC	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)
P01848	TRAC	TRAC TCRA	T cell receptor alpha chain constant
P01850	TRBC1	TRBC1	T cell receptor beta constant 1
P01854	IGHE	IGHE	Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND)
P01857	IGHG1	IGHG1	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)
P01859	IGHG2	IGHG2	Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE)
P01860	IGHG3	IGHG3	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)
P01861	IGHG4	IGHG4	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)
P01871	IGHM	IGHM	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)
P01876	IGHA1	IGHA1	Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO)
P01877	IGHA2	IGHA2	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)
P01880	IGHD	IGHD	Immunoglobulin heavy constant delta (Ig delta chain C region) (Ig delta chain C region NIG-65) (Ig delta chain C region WAH)
P01889	HLA-B	HLA-B HLAB	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)
P01893	HLA-H	HLA-H HLAH	Putative HLA class I histocompatibility antigen, alpha chain H (HLA-12.4) (HLA-AR) (MHC class I antigen H)
P01903	HLA-DRA	HLA-DRA HLA-DRA1	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)
P01906	HLA-DQA2	HLA-DQA2 HLA-DXA	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)
P01909	HLA-DQA1	HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)
P01911	HLA-DRB1	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)
P01920	HLA-DQB1	HLA-DQB1 HLA-DQB	HLA class II histocompatibility antigen, DQ beta 1 chain (MHC class II antigen DQB1)
P02008	HBZ	HBZ HBZ2	Hemoglobin subunit zeta (HBAZ) (Hemoglobin zeta chain) (Zeta-globin)
P02042	HBD	HBD	Hemoglobin subunit delta (Delta-globin) (Hemoglobin delta chain)
P02100	HBE1	HBE1 HBE	Hemoglobin subunit epsilon (Epsilon-globin) (Hemoglobin epsilon chain)
P02144	MB	MB	Myoglobin (Nitrite reductase MB) (EC 1.7.-.-) (Pseudoperoxidase MB) (EC 1.11.1.-)
P02452	COL1A1	COL1A1	Collagen alpha-1(I) chain (Alpha-1 type I collagen)
P02458	COL2A1	COL2A1	Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin]
P02461	COL3A1	COL3A1	Collagen alpha-1(III) chain
P02462	COL4A1	COL4A1	Collagen alpha-1(IV) chain [Cleaved into: Arresten]
P02489	CRYAA	CRYAA CRYA1 HSPB4	Alpha-crystallin A chain (Heat shock protein beta-4) (HspB4) (Heat shock protein family B member 4) [Cleaved into: Alpha-crystallin A(1-172); Alpha-crystallin A(1-168); Alpha-crystallin A(1-162)]
P02511	CRYAB	CRYAB CRYA2 HSPB5	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Heat shock protein family B member 5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)
P02533	KRT14	KRT14	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)
P02538	KRT6A	KRT6A K6A KRT6D	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)
P02545	LMNA	LMNA LMN1	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]
P02549	SPTA1	SPTA1 SPTA	Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)
P02585	TNNC2	TNNC2	Troponin C, skeletal muscle
P02647	APOA1	APOA1	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]
P02649	APOE	APOE	Apolipoprotein E (Apo-E)
P02652	APOA2	APOA2	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]
P02654	APOC1	APOC1	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]
P02655	APOC2	APOC2 APC2	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]
P02656	APOC3	APOC3	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)
P02671	FGA	FGA	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]
P02675	FGB	FGB	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]
P02679	FGG	FGG PRO2061	Fibrinogen gamma chain
P02686	MBP	MBP	Myelin basic protein (MBP) (Myelin A1 protein) (Myelin membrane encephalitogenic protein)
P02689	PMP2	PMP2	Myelin P2 protein (Peripheral myelin protein 2)
P02708	CHRNA1	CHRNA1 ACHRA CHNRA	Acetylcholine receptor subunit alpha
P02724	GYPA	GYPA GPA MNS	Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a)
P02730	SLC4A1	SLC4A1 AE1 DI EPB3	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)
P02741	CRP	CRP PTX1	C-reactive protein [Cleaved into: C-reactive protein(1-205)]
P02743	APCS	APCS PTX2	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]
P02745	C1QA	C1QA	Complement C1q subcomponent subunit A
P02746	C1QB	C1QB	Complement C1q subcomponent subunit B
P02747	C1QC	C1QC C1QG	Complement C1q subcomponent subunit C
P02748	C9	C9	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]
P02749	APOH	APOH B2G1	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)
P02750	LRG1	LRG1 LRG	Leucine-rich alpha-2-glycoprotein (LRG)
P02751	FN1	FN1 FN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]
P02753	RBP4	RBP4 PRO2222	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]
P02760	AMBP	AMBP HCP ITIL	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]
P02763	ORM1	ORM1 AGP1	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)
P02765	AHSG	AHSG FETUA PRO2743	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]
P02766	TTR	TTR PALB	Transthyretin (ATTR) (Prealbumin) (TBPA)
P02768	ALB	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Albumin
P02771	AFP	AFP HPAFP	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)
P02774	GC	GC	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)
P02775	PPBP	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]
P02776	PF4	PF4 CXCL4 SCYB4	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]
