"BaseAccession"	"Reviewed"	"Entry Name"	"Protein names"	"Gene Names (primary)"	"Gene Ontology IDs"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Protein families"	"Domain [FT]"
"Q99801"	"reviewed"	"NKX31_HUMAN"	"Homeobox protein Nkx-3.1 (Homeobox protein NK-3 homolog A)"	"NKX3-1"	"GO:0000122; GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001656; GO:0001756; GO:0003700; GO:0004879; GO:0005634; GO:0005654; GO:0006351; GO:0006355; GO:0006357; GO:0006974; GO:0007431; GO:0007507; GO:0008284; GO:0008584; GO:0008656; GO:0010628; GO:0010629; GO:0030154; GO:0030331; GO:0030521; GO:0032880; GO:0033574; GO:0035907; GO:0042826; GO:0043565; GO:0043569; GO:0045892; GO:0045893; GO:0045931; GO:0045944; GO:0048754; GO:0050680; GO:0051781; GO:0051897; GO:0060037; GO:0060442; GO:0060664; GO:0060770; GO:0071347; GO:0071356; GO:0071383; GO:0071456; GO:0071466; GO:0090734; GO:0097162; GO:0140297; GO:0140416; GO:1990837; GO:2000836; GO:2001244"	"androgen receptor signaling pathway [GO:0030521]; branching involved in prostate gland morphogenesis [GO:0060442]; branching morphogenesis of an epithelial tube [GO:0048754]; cell differentiation [GO:0030154]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to xenobiotic stimulus [GO:0071466]; DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; dorsal aorta development [GO:0035907]; epithelial cell proliferation involved in salivary gland morphogenesis [GO:0060664]; heart development [GO:0007507]; male gonad development [GO:0008584]; metanephros development [GO:0001656]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial cell proliferation involved in prostate gland development [GO:0060770]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pharyngeal system development [GO:0060037]; positive regulation of androgen secretion [GO:2000836]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of protein localization [GO:0032880]; regulation of transcription by RNA polymerase II [GO:0006357]; response to testosterone [GO:0033574]; salivary gland development [GO:0007431]; somitogenesis [GO:0001756]"	"chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of DNA damage [GO:0090734]"	"cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; histone deacetylase binding [GO:0042826]; MADS box domain binding [GO:0097162]; nuclear estrogen receptor binding [GO:0030331]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; transcription regulator inhibitor activity [GO:0140416]"	"NK-3 homeobox family"	""
"Q99873"	"reviewed"	"ANM1_HUMAN"	"Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1) (Interferon receptor 1-bound protein 4)"	"PRMT1"	"GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005765; GO:0005829; GO:0006338; GO:0006355; GO:0006479; GO:0006974; GO:0007166; GO:0008170; GO:0008276; GO:0008284; GO:0008327; GO:0008380; GO:0016274; GO:0018216; GO:0019082; GO:0019899; GO:0030510; GO:0031175; GO:0034709; GO:0035241; GO:0035242; GO:0042054; GO:0042802; GO:0043066; GO:0044020; GO:0045648; GO:0045652; GO:0045653; GO:0045727; GO:0046329; GO:0046985; GO:0048273; GO:0048738; GO:0051260; GO:0061431; GO:0106080; GO:1900745; GO:1904047; GO:1904263; GO:1905168"	"cardiac muscle tissue development [GO:0048738]; cell surface receptor signaling pathway [GO:0007166]; cellular response to methionine [GO:0061431]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; negative regulation of apoptotic process [GO:0043066]; negative regulation of JNK cascade [GO:0046329]; negative regulation of megakaryocyte differentiation [GO:0045653]; neuron projection development [GO:0031175]; peptidyl-arginine methylation [GO:0018216]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of hemoglobin biosynthetic process [GO:0046985]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of translation [GO:0045727]; protein homooligomerization [GO:0051260]; protein methylation [GO:0006479]; regulation of BMP signaling pathway [GO:0030510]; regulation of DNA-templated transcription [GO:0006355]; regulation of megakaryocyte differentiation [GO:0045652]; RNA splicing [GO:0008380]; viral protein processing [GO:0019082]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"enzyme binding [GO:0019899]; GATOR1 complex binding [GO:0106080]; histone H4R3 methyltransferase activity [GO:0044020]; histone methyltransferase activity [GO:0042054]; identical protein binding [GO:0042802]; methyl-CpG binding [GO:0008327]; mitogen-activated protein kinase p38 binding [GO:0048273]; N-methyltransferase activity [GO:0008170]; protein methyltransferase activity [GO:0008276]; protein-arginine N-methyltransferase activity [GO:0016274]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; RNA binding [GO:0003723]; S-adenosyl-L-methionine binding [GO:1904047]"	"Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family"	"DOMAIN 50..361; /note=""SAM-dependent MTase PRMT-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01015"""
"Q99986"	"reviewed"	"VRK1_HUMAN"	"Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)"	"VRK1"	"GO:0000785; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005795; GO:0005829; GO:0006338; GO:0006468; GO:0006974; GO:0007077; GO:0007165; GO:0015030; GO:0016301; GO:0019901; GO:0030576; GO:0031175; GO:0031492; GO:0035175; GO:0042393; GO:0046777; GO:0051301; GO:0072354; GO:0090166; GO:0106310; GO:0120187; GO:0141003; GO:2001222"	"Cajal body organization [GO:0030576]; cell division [GO:0051301]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; Golgi disassembly [GO:0090166]; mitotic nuclear membrane disassembly [GO:0007077]; neuron projection development [GO:0031175]; positive regulation of protein localization to chromatin [GO:0120187]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of neuron migration [GO:2001222]; signal transduction [GO:0007165]"	"Cajal body [GO:0015030]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi stack [GO:0005795]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"ATP binding [GO:0005524]; histone binding [GO:0042393]; histone H2AX kinase activity [GO:0141003]; histone H3S10 kinase activity [GO:0035175]; histone H3T3 kinase activity [GO:0072354]; kinase activity [GO:0016301]; nucleosomal DNA binding [GO:0031492]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]"	"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, VRK subfamily"	"DOMAIN 37..317; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""
"Q9BQ15"	"reviewed"	"SOSB1_HUMAN"	"SOSS complex subunit B1 (Nucleic acid-binding protein 2) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2B) (Sensor of single-strand DNA complex subunit B1) (Sensor of ssDNA subunit B1) (SOSS-B1) (Single-stranded DNA-binding protein 1) (hSSB1)"	"NABP2"	"GO:0000724; GO:0000781; GO:0003677; GO:0003697; GO:0005634; GO:0005654; GO:0006281; GO:0006974; GO:0010212; GO:0035861; GO:0044818; GO:0070182; GO:0070200; GO:0070876; GO:0098505; GO:1904355"	"DNA damage response [GO:0006974]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; establishment of protein localization to telomere [GO:0070200]; mitotic G2/M transition checkpoint [GO:0044818]; positive regulation of telomere capping [GO:1904355]; response to ionizing radiation [GO:0010212]"	"chromosome, telomeric region [GO:0000781]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]; SOSS complex [GO:0070876]"	"DNA binding [GO:0003677]; DNA polymerase binding [GO:0070182]; G-rich strand telomeric DNA binding [GO:0098505]; single-stranded DNA binding [GO:0003697]"	"SOSS-B family, SOSS-B1 subfamily"	""
"Q9BQ69"	"reviewed"	"MACD1_HUMAN"	"ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)"	"MACROD1"	"GO:0005634; GO:0005654; GO:0005739; GO:0006974; GO:0016798; GO:0019213; GO:0042278; GO:0051725; GO:0061463; GO:0140291; GO:0140293"	"DNA damage response [GO:0006974]; peptidyl-glutamate ADP-deribosylation [GO:0140291]; protein de-ADP-ribosylation [GO:0051725]; purine nucleoside metabolic process [GO:0042278]"	"mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"ADP-ribosylglutamate hydrolase activity [GO:0140293]; deacetylase activity [GO:0019213]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; O-acetyl-ADP-ribose deacetylase activity [GO:0061463]"	"MacroD-type family, MacroD1/2-like subfamily"	"DOMAIN 141..322; /note=""Macro""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00490"""
"Q9BQI6"	"reviewed"	"SLF1_HUMAN"	"SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)"	"SLF1"	"GO:0000724; GO:0000781; GO:0000786; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006974; GO:0016925; GO:0031334; GO:0031625; GO:0032204; GO:0034184; GO:0035861; GO:0042405; GO:0044877; GO:0140588; GO:1990166; GO:2000781"	"chromatin looping [GO:0140588]; DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of maintenance of mitotic sister chromatid cohesion [GO:0034184]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to site of double-strand break [GO:1990166]; protein sumoylation [GO:0016925]; regulation of telomere maintenance [GO:0032204]"	"centrosome [GO:0005813]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; nuclear inclusion body [GO:0042405]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]"	"protein-containing complex binding [GO:0044877]; ubiquitin protein ligase binding [GO:0031625]"	""	"DOMAIN 12..77; /note=""BRCT 1""; DOMAIN 119..196; /note=""BRCT 2"""
"Q9BQP7"	"reviewed"	"MGME1_HUMAN"	"Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-)"	"MGME1"	"GO:0005739; GO:0005759; GO:0006264; GO:0008297; GO:0017108; GO:0043504; GO:0045145"	"mitochondrial DNA repair [GO:0043504]; mitochondrial DNA replication [GO:0006264]"	"mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]"	"5'-flap endonuclease activity [GO:0017108]; single-stranded DNA 5'-3' DNA exonuclease activity [GO:0045145]; single-stranded DNA exodeoxyribonuclease activity [GO:0008297]"	"MGME1 family"	""
"Q9BRQ6"	"reviewed"	"MIC25_HUMAN"	"MICOS complex subunit MIC25 (Coiled-coil-helix cristae morphology protein 1) (Coiled-coil-helix-coiled-coil-helix domain-containing protein 6)"	"CHCHD6"	"GO:0001401; GO:0005739; GO:0005743; GO:0006974; GO:0007007; GO:0042407; GO:0044284; GO:0061617; GO:0140275"	"cristae formation [GO:0042407]; DNA damage response [GO:0006974]; inner mitochondrial membrane organization [GO:0007007]"	"MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; SAM complex [GO:0001401]"	""	"MICOS complex subunit Mic19 family, Metazoan Mic25 subfamily"	"DOMAIN 194..235; /note=""CHCH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01150"""
"Q9BRT9"	"reviewed"	"SLD5_HUMAN"	"DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]"	"GINS4"	"GO:0000727; GO:0000811; GO:0005634; GO:0005654; GO:0005737; GO:0006260; GO:0006261; GO:0071162"	"DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; double-strand break repair via break-induced replication [GO:0000727]"	"CMG complex [GO:0071162]; cytoplasm [GO:0005737]; GINS complex [GO:0000811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	""	"GINS4/SLD5 family"	""
"Q9BTA9"	"reviewed"	"WAC_HUMAN"	"WW domain-containing adapter protein with coiled-coil"	"WAC"	"GO:0000993; GO:0003682; GO:0005634; GO:0005654; GO:0005681; GO:0006338; GO:0006351; GO:0006974; GO:0010506; GO:0016239; GO:0016607; GO:0031571; GO:0032435; GO:0045893; GO:1904263"	"chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of macroautophagy [GO:0016239]; positive regulation of TORC1 signaling [GO:1904263]; regulation of autophagy [GO:0010506]"	"nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]"	"chromatin binding [GO:0003682]; RNA polymerase II complex binding [GO:0000993]"	""	"DOMAIN 129..162; /note=""WW""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224"""
"Q9BTE7"	"reviewed"	"DCNL5_HUMAN"	"DCN1-like protein 5 (DCNL5) (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5) (Squamous cell carcinoma-related oncogene 5)"	"DCUN1D5"	"GO:0000151; GO:0001558; GO:0005634; GO:0005819; GO:0006974; GO:0031624; GO:0032182; GO:0045116; GO:0097602; GO:2000434; GO:2000436"	"DNA damage response [GO:0006974]; positive regulation of protein neddylation [GO:2000436]; protein neddylation [GO:0045116]; regulation of cell growth [GO:0001558]; regulation of protein neddylation [GO:2000434]"	"nucleus [GO:0005634]; spindle [GO:0005819]; ubiquitin ligase complex [GO:0000151]"	"cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]"	""	"DOMAIN 46..232; /note=""DCUN1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00574"""
"Q9BUA3"	"reviewed"	"SPNDC_HUMAN"	"Spindlin interactor and repressor of chromatin-binding protein (SPIN1-docking protein) (SPIN-DOC)"	"SPINDOC"	"GO:0005634; GO:0006351; GO:0006974; GO:0010835; GO:0045892; GO:0090734"	"DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of protein ADP-ribosylation [GO:0010835]"	"nucleus [GO:0005634]; site of DNA damage [GO:0090734]"	""	""	""
"Q9BUH6"	"reviewed"	"PAXX_HUMAN"	"Protein PAXX (Paralog of XRCC4 and XLF) (XRCC4-like small protein)"	"PAXX"	"GO:0005634; GO:0005654; GO:0005737; GO:0006303; GO:0006974; GO:0035861; GO:0042802; GO:0042803; GO:0060090; GO:0070182; GO:0070419"	"DNA damage response [GO:0006974]; double-strand break repair via nonhomologous end joining [GO:0006303]"	"cytoplasm [GO:0005737]; nonhomologous end joining complex [GO:0070419]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]"	"DNA polymerase binding [GO:0070182]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]"	"XRCC4-XLF family, PAXX subfamily"	"DOMAIN 37..79; /note=""PISA""; /evidence=""ECO:0000305"""
"Q9BVC6"	"reviewed"	"TM109_HUMAN"	"Voltage-gated monoatomic cation channel TMEM109 (Mitsugumin-23) (Mg23) (Transmembrane protein 109)"	"TMEM109"	"GO:0005640; GO:0022843; GO:0033017; GO:0034702; GO:0042771; GO:0043069; GO:0070062; GO:0071480"	"cellular response to gamma radiation [GO:0071480]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of programmed cell death [GO:0043069]"	"extracellular exosome [GO:0070062]; monoatomic ion channel complex [GO:0034702]; nuclear outer membrane [GO:0005640]; sarcoplasmic reticulum membrane [GO:0033017]"	"voltage-gated monoatomic cation channel activity [GO:0022843]"	""	""
"Q9BVW5"	"reviewed"	"TIPIN_HUMAN"	"TIMELESS-interacting protein"	"TIPIN"	"GO:0000076; GO:0000785; GO:0003677; GO:0005634; GO:0005654; GO:0005737; GO:0008284; GO:0031297; GO:0031298; GO:0031573; GO:0033262; GO:0043111; GO:0043596; GO:0044770; GO:0051301"	"cell cycle phase transition [GO:0044770]; cell division [GO:0051301]; DNA replication checkpoint signaling [GO:0000076]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; positive regulation of cell population proliferation [GO:0008284]; regulation of nuclear cell cycle DNA replication [GO:0033262]; replication fork arrest [GO:0043111]; replication fork processing [GO:0031297]"	"chromatin [GO:0000785]; cytoplasm [GO:0005737]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]"	"DNA binding [GO:0003677]"	"CSM3 family"	""
"Q9BX46"	"reviewed"	"RBM24_HUMAN"	"RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding region-containing protein 6)"	"RBM24"	"GO:0000381; GO:0003197; GO:0003730; GO:0005634; GO:0005654; GO:0005829; GO:0006397; GO:0006974; GO:0008380; GO:0010830; GO:0010831; GO:0030154; GO:0035925; GO:0043488; GO:0045663; GO:0048255; GO:0061157; GO:0061158; GO:0097157; GO:1902811; GO:1905870; GO:1990715; GO:1990825; GO:2000738; GO:2000766"	"3'-UTR-mediated mRNA destabilization [GO:0061158]; cell differentiation [GO:0030154]; DNA damage response [GO:0006974]; endocardial cushion development [GO:0003197]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA stabilization [GO:0048255]; negative regulation of cytoplasmic translation [GO:2000766]; positive regulation of 3'-UTR-mediated mRNA stabilization [GO:1905870]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of skeletal muscle fiber differentiation [GO:1902811]; positive regulation of stem cell differentiation [GO:2000738]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA stability [GO:0043488]; regulation of myotube differentiation [GO:0010830]; RNA splicing [GO:0008380]"	"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"mRNA 3'-UTR AU-rich region binding [GO:0035925]; mRNA 3'-UTR binding [GO:0003730]; mRNA CDS binding [GO:1990715]; pre-mRNA intronic binding [GO:0097157]; sequence-specific mRNA binding [GO:1990825]"	""	"DOMAIN 11..88; /note=""RRM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00176"""
"Q9BX63"	"reviewed"	"FANCJ_HUMAN"	"Fanconi anemia group J protein (EC 5.6.2.3) (BRCA1-associated C-terminal helicase 1) (BRCA1-interacting protein C-terminal helicase 1) (BRCA1-interacting protein 1) (DNA 5'-3' helicase FANCJ)"	"BRIP1"	"GO:0000077; GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0005654; GO:0005657; GO:0005737; GO:0006281; GO:0006289; GO:0006302; GO:0006357; GO:0016887; GO:0031965; GO:0035825; GO:0043139; GO:0046872; GO:0051539; GO:0106300; GO:0160225; GO:1990918"	"DNA damage checkpoint signaling [GO:0000077]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; double-strand break repair involved in meiotic recombination [GO:1990918]; homologous recombination [GO:0035825]; nucleotide-excision repair [GO:0006289]; protein-DNA covalent cross-linking repair [GO:0106300]; regulation of transcription by RNA polymerase II [GO:0006357]"	"cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]"	"4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; G-quadruplex unwinding activity [GO:0160225]; metal ion binding [GO:0046872]"	"DEAD box helicase family, DEAH subfamily"	"DOMAIN 11..442; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541"""
"Q9BXW9"	"reviewed"	"FACD2_HUMAN"	"Fanconi anemia group D2 protein (Protein FACD2)"	"FANCD2"	"GO:0000785; GO:0000793; GO:0005634; GO:0005654; GO:0005730; GO:0007129; GO:0010332; GO:0016604; GO:0031573; GO:0036297; GO:0070182; GO:1990918"	"double-strand break repair involved in meiotic recombination [GO:1990918]; homologous chromosome pairing at meiosis [GO:0007129]; interstrand cross-link repair [GO:0036297]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; response to gamma radiation [GO:0010332]"	"chromatin [GO:0000785]; condensed chromosome [GO:0000793]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"DNA polymerase binding [GO:0070182]"	"Fanconi anemia protein FANCD2 family"	""
"Q9BYT3"	"reviewed"	"STK33_HUMAN"	"Serine/threonine-protein kinase 33 (EC 2.7.11.1)"	"STK33"	"GO:0002177; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0007283; GO:0018107; GO:0032435; GO:0044773; GO:0046777; GO:0048471; GO:0106310; GO:1902915; GO:1905198"	"manchette assembly [GO:1905198]; mitotic DNA damage checkpoint signaling [GO:0044773]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein polyubiquitination [GO:1902915]; peptidyl-threonine phosphorylation [GO:0018107]; protein autophosphorylation [GO:0046777]; spermatogenesis [GO:0007283]"	"cytoplasm [GO:0005737]; manchette [GO:0002177]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]"	"ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]"	"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily"	"DOMAIN 116..381; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""
"Q9BYW2"	"reviewed"	"SETD2_HUMAN"	"Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP)"	"SETD2"	"GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0006298; GO:0006355; GO:0006368; GO:0010038; GO:0010468; GO:0010508; GO:0010569; GO:0010793; GO:0016279; GO:0018023; GO:0032465; GO:0032727; GO:0034340; GO:0034728; GO:0035987; GO:0043014; GO:0043279; GO:0045778; GO:0046872; GO:0046975; GO:0048863; GO:0051607; GO:0140938; GO:0140955; GO:1902850; GO:1905634"	"defense response to virus [GO:0051607]; endodermal cell differentiation [GO:0035987]; microtubule cytoskeleton organization involved in mitosis [GO:1902850]; mismatch repair [GO:0006298]; nucleosome organization [GO:0034728]; peptidyl-lysine trimethylation [GO:0018023]; positive regulation of autophagy [GO:0010508]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of ossification [GO:0045778]; regulation of cytokinesis [GO:0032465]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of gene expression [GO:0010468]; regulation of mRNA export from nucleus [GO:0010793]; regulation of protein localization to chromatin [GO:1905634]; response to alkaloid [GO:0043279]; response to metal ion [GO:0010038]; response to type I interferon [GO:0034340]; stem cell differentiation [GO:0048863]; transcription elongation by RNA polymerase II [GO:0006368]"	"chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"alpha-tubulin binding [GO:0043014]; histone H3 methyltransferase activity [GO:0140938]; histone H3K36 methyltransferase activity [GO:0046975]; histone H3K36 trimethyltransferase activity [GO:0140955]; metal ion binding [GO:0046872]; protein-lysine N-methyltransferase activity [GO:0016279]"	"Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, SET2 subfamily"	"DOMAIN 1494..1548; /note=""AWS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00562""; DOMAIN 1550..1667; /note=""SET""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00190""; DOMAIN 1674..1690; /note=""Post-SET""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00155""; DOMAIN 2389..2422; /note=""WW""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00224"""
"Q9BZF9"	"reviewed"	"UACA_HUMAN"	"Uveal autoantigen with coiled-coil domains and ankyrin repeats"	"UACA"	"GO:0003779; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0005856; GO:0008630; GO:0008631; GO:0050728; GO:0070062; GO:1901223"	"intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; negative regulation of inflammatory response [GO:0050728]; negative regulation of non-canonical NF-kappaB signal transduction [GO:1901223]"	"cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"actin binding [GO:0003779]"	""	""
